sample_index,PLS1,PLS2,condition
78,-3.3284169446227296,-5.707891838326406,C-lim
79,-2.3682149622144486,-11.46489345027402,C-lim
80,-3.631885701502414,-4.794235024351185,C-lim
81,-2.894268415466117,-7.62297018283025,C-lim
82,-3.7821339644023717,-3.1667797366793455,C-lim
83,-3.3447352968697457,-7.685916666251935,C-lim
84,-3.5443946233479626,-4.943297911358848,C-lim
85,-5.119660097990504,1.9859685850373376,C-lim
86,-4.03679489849121,-5.349699410921237,C-lim
87,-4.748283791148849,0.7724521439924613,C-lim
88,-4.386887154082351,-3.5454107077634927,C-lim
89,-2.933682340576692,-9.29754583671242,C-lim
90,-3.6641776824843753,-5.115916798138565,C-lim
91,-4.6802959254153835,-1.6125053462094119,C-lim
92,-4.864954240468868,0.11885309060743474,C-lim
93,-4.892895085452387,0.5848147791072664,C-lim
94,-7.029720716326384,9.300270519420971,C-lim
95,-6.425126265985401,8.269976873626957,C-lim
96,-5.804066397449747,5.653076748355433,C-lim
97,-4.042800802528161,-3.2943717698568595,C-lim
98,-4.666040938308066,-2.2664081963145604,C-lim
99,-5.103050748354027,2.7715260126609667,C-lim
100,4.396214276291616,0.7800848751833286,N-lim
101,5.539837983125184,-2.487582325027375,N-lim
102,3.774969111852896,4.773313044288527,N-lim
103,4.821654553832776,-0.026447324592745756,N-lim
104,3.773834749405695,3.4650872908947674,N-lim
105,3.7103709734183594,4.923635723298269,N-lim
106,3.9238481146944784,2.549800570110823,N-lim
107,4.669239801273753,-0.9577148155245261,N-lim
108,4.531447698507604,1.6533776620426277,N-lim
109,5.469601306431084,-4.2906476640152125,N-lim
110,3.547869692217477,5.848739441927678,N-lim
111,5.295972491050126,-1.9702677953648353,N-lim
112,4.557801332287078,1.08615030363581,N-lim
113,5.351087867739082,-2.805851354095577,N-lim
114,5.76957587489303,-2.132020712158757,N-lim
115,3.6343103981131786,6.189177244085231,N-lim
116,4.682994182708733,-0.0338692785833274,N-lim
117,4.011915089224507,2.9717392692605666,N-lim
118,3.099037901590718,8.015647026277797,N-lim
119,3.695136548500617,4.089538706863198,N-lim
120,5.748213368603554,-4.599075555702129,N-lim
121,3.3714821384146,6.28879787967389,N-lim
122,3.3853319439524405,6.497713284311163,N-lim
123,4.145736385304459,2.7725152833709865,N-lim
124,3.891710172095761,3.9965238256577456,N-lim
125,4.483357816935232,0.7137300537207291,N-lim
126,5.177479993851622,0.059975338230465844,N-lim
127,4.284508609089876,2.5437906202463836,N-lim
128,4.900979017691676,-0.11770220825510067,N-lim
129,5.291167736222172,-1.9451097383903686,N-lim
130,5.225132274636524,-0.9599706151836737,N-lim
131,5.170370449721552,0.4173139813204949,N-lim
132,4.950181310362623,-1.6395248995311893,N-lim
133,3.923415229709012,3.0202979298891495,N-lim
134,6.137849483568033,-5.763497198954459,N-lim
135,4.219092662715317,1.3757846264051532,N-lim
136,4.630905076055449,-0.1732681279292398,N-lim
137,4.550369735974805,2.3973125772674173,N-lim
138,4.776131452916571,-0.7264740989213503,N-lim
139,5.343757565696037,-2.4029924769524165,N-lim
140,3.64856274369835,4.180872424924394,N-lim
141,5.1407850770722625,-0.3972776411442865,N-lim
142,4.596932729992318,1.466834720699064,N-lim
143,4.130508776733484,4.184690655507663,N-lim
144,5.211977740365387,-0.017071937642465077,N-lim
145,5.379952006275333,-1.9322620836015385,N-lim
146,4.919766790424212,-1.4688740931515318,N-lim
147,4.633337329416654,1.31486350430262,N-lim
148,5.113512840390186,-0.8011920288735143,N-lim
149,2.5833937894560814,11.200100688407923,N-lim
150,5.968983691360079,-4.946453875147981,N-lim
151,4.265795664487084,1.1644658183807024,N-lim
152,5.224851877898735,-3.033443859160909,N-lim
153,4.722422323943231,0.5499478630672274,N-lim
154,5.279811847882267,-2.7108520700680607,N-lim
155,5.109118717766616,-2.079222081936909,N-lim
156,3.5334793927909427,4.609263797942141,N-lim
157,4.987329869282362,-0.9785606299042033,N-lim
158,4.976786633703695,-1.947372459396206,N-lim
159,3.274196599523851,7.658482345262691,N-lim
160,4.224096242351002,2.7535846990129262,N-lim
161,2.9792533382244177,8.5997277064956,N-lim
162,4.152013063280042,2.119412068346781,N-lim
163,6.017681861280683,-6.119108941601051,N-lim
164,5.374570463720697,-3.3149975309763917,N-lim
165,4.056063934495907,4.461791877513612,N-lim
166,4.84851632796209,0.5890354966282403,N-lim
167,4.251614897979548,3.6044958460939545,N-lim
168,2.7964716101055083,7.651880133649396,N-lim
169,6.208905758318626,-6.704916516190683,N-lim
