,0
728,5.28E-01
729,5.28E-01
730,5.28E-01
731,5.28E-01
732,5.30E-01
733,5.30E-01
734,5.30E-01
735,5.31E-01
736,5.31E-01
737,5.31E-01
738,5.32E-01
739,5.35E-01
740,5.36E-01
741,5.37E-01
742,5.38E-01
743,5.38E-01
744,5.38E-01
745,5.38E-01
746,5.38E-01
747,5.39E-01
748,5.39E-01
749,5.39E-01
750,5.39E-01
751,5.40E-01
752,5.41E-01
753,5.41E-01
754,5.42E-01
755,5.42E-01
756,5.42E-01
757,5.42E-01
758,5.43E-01
759,5.44E-01
760,5.44E-01
761,5.44E-01
762,5.45E-01
763,5.45E-01
764,5.47E-01
765,5.47E-01
766,5.47E-01
767,5.47E-01
768,5.47E-01
769,5.47E-01
770,5.47E-01
771,5.48E-01
772,5.48E-01
773,5.50E-01
774,5.50E-01
775,5.50E-01
776,5.50E-01
777,5.52E-01
778,5.52E-01
779,5.52E-01
780,5.52E-01
781,5.53E-01
782,5.53E-01
783,5.53E-01
784,5.53E-01
785,5.54E-01
786,5.54E-01
787,5.54E-01
788,5.54E-01
789,5.54E-01
790,5.55E-01
791,5.55E-01
792,5.55E-01
793,5.55E-01
794,5.56E-01
795,5.56E-01
796,5.57E-01
797,5.57E-01
798,5.57E-01
799,5.57E-01
800,4.55E-01
801,4.77E-01
802,4.88E-01
803,4.90E-01
804,4.99E-01
805,5.04E-01
806,5.06E-01
807,5.06E-01
808,5.07E-01
809,5.07E-01
810,5.08E-01
811,5.10E-01
812,5.11E-01
813,5.13E-01
814,5.14E-01
815,5.14E-01
816,5.17E-01
817,5.18E-01
818,5.18E-01
819,5.18E-01
820,5.19E-01
821,5.19E-01
822,5.20E-01
823,5.20E-01
824,5.21E-01
825,5.24E-01
826,5.25E-01
827,5.25E-01
828,5.28E-01
829,5.28E-01
830,5.28E-01
831,5.28E-01
832,5.30E-01
833,5.30E-01
834,5.30E-01
835,5.31E-01
836,5.31E-01
837,5.31E-01
838,5.32E-01
839,5.35E-01
840,5.36E-01
841,5.37E-01
842,5.38E-01
843,5.38E-01
844,5.38E-01
845,5.38E-01
846,5.38E-01
847,5.39E-01
848,5.39E-01
849,5.39E-01
850,5.39E-01
851,5.40E-01
852,5.41E-01
853,5.41E-01
854,5.42E-01
855,5.42E-01
856,5.42E-01
857,5.42E-01
858,5.43E-01
859,5.44E-01
860,5.44E-01
861,5.45E-01
862,5.45E-01
863,5.47E-01
864,5.47E-01
865,5.47E-01
866,5.47E-01
867,5.47E-01
868,5.47E-01
869,5.47E-01
870,5.48E-01
871,5.48E-01
872,5.50E-01
873,5.50E-01
874,5.50E-01
875,5.50E-01
876,5.52E-01
877,5.52E-01
878,5.52E-01
879,5.52E-01
880,5.53E-01
881,5.53E-01
882,5.53E-01
883,5.53E-01
884,5.54E-01
885,5.54E-01
886,5.54E-01
887,5.54E-01
888,5.54E-01
889,5.55E-01
890,5.55E-01
891,5.55E-01
892,5.55E-01
893,5.56E-01
894,5.56E-01
895,5.57E-01
896,5.57E-01
897,5.57E-01
898,5.57E-01
899,5.57E-01
900,4.55E-01
901,4.77E-01
902,4.88E-01
903,4.90E-01
904,4.99E-01
905,5.04E-01
906,5.06E-01
907,5.06E-01
908,5.07E-01
909,5.07E-01
910,5.08E-01
911,5.10E-01
912,5.11E-01
913,5.13E-01
914,5.14E-01
915,5.14E-01
916,5.17E-01
917,5.18E-01
918,5.18E-01
919,5.18E-01
920,5.19E-01
921,5.19E-01
922,5.20E-01
923,5.20E-01
924,5.24E-01
925,5.25E-01
926,5.25E-01
927,5.28E-01
928,5.28E-01
929,5.28E-01
930,5.28E-01
931,5.30E-01
932,5.30E-01
933,5.31E-01
934,5.31E-01
935,5.31E-01
936,5.32E-01
937,5.36E-01
938,5.37E-01
939,5.38E-01
940,5.38E-01
941,5.38E-01
942,5.38E-01
943,5.38E-01
944,5.39E-01
945,5.39E-01
946,5.39E-01
947,5.40E-01
948,5.41E-01
949,5.41E-01
950,5.42E-01
951,5.42E-01
952,5.42E-01
953,5.42E-01
954,5.43E-01
955,5.44E-01
956,5.44E-01
957,5.45E-01
958,5.45E-01
959,5.47E-01
960,5.47E-01
961,5.47E-01
962,5.47E-01
963,5.47E-01
964,5.47E-01
965,5.47E-01
966,5.48E-01
967,5.48E-01
968,5.50E-01
969,5.50E-01
970,5.50E-01
971,5.50E-01
972,5.52E-01
973,5.52E-01
974,5.52E-01
975,5.52E-01
976,5.53E-01
977,5.53E-01
978,5.53E-01
979,5.54E-01
980,5.54E-01
981,5.54E-01
982,5.54E-01
983,5.54E-01
984,5.55E-01
985,5.55E-01
986,5.55E-01
987,5.55E-01
988,5.56E-01
989,5.56E-01
990,5.57E-01
991,5.57E-01
992,5.57E-01
993,5.57E-01
994,5.57E-01
995,5.58E-01
996,5.59E-01
997,5.60E-01
998,5.61E-01
999,5.61E-01
