generation,kcat_index,mu_log10_kcat
33,kcat_2,3.4835094533929634
34,kcat_2,3.4862529052152946
35,kcat_2,3.4866052970915096
36,kcat_2,3.47356998453564
37,kcat_2,3.469579857313741
38,kcat_2,3.477431381692493
39,kcat_2,3.4768688309066844
40,kcat_2,3.4830848173537907
41,kcat_2,3.485821537161877
42,kcat_2,3.492730767196516
43,kcat_2,3.4871263219778075
44,kcat_2,3.4881182437450873
45,kcat_2,3.4890324447444163
46,kcat_2,3.486348930651012
47,kcat_2,3.482761194593814
48,kcat_2,3.4868490493242077
49,kcat_2,3.488703361669525
0,kcat_3,3.7271919242141673
1,kcat_3,3.722937311117788
2,kcat_3,3.7126876250907874
3,kcat_3,3.7207757043785943
4,kcat_3,3.715540205668637
5,kcat_3,3.72814329253881
6,kcat_3,3.7213994138011857
7,kcat_3,3.7337926222031435
8,kcat_3,3.7197534260128955
9,kcat_3,3.72721612591238
10,kcat_3,3.7354859109968395
11,kcat_3,3.72237167957475
12,kcat_3,3.735151604647608
13,kcat_3,3.7384728227859054
14,kcat_3,3.728926717093009
15,kcat_3,3.7320481292085557
16,kcat_3,3.726440245165711
17,kcat_3,3.726860629732009
18,kcat_3,3.71786186921982
19,kcat_3,3.718074537672615
20,kcat_3,3.7166778693563383
21,kcat_3,3.7166196645780625
22,kcat_3,3.719702106175654
23,kcat_3,3.7214465269029287
24,kcat_3,3.7235811812586084
25,kcat_3,3.720254462203603
26,kcat_3,3.733864634360857
27,kcat_3,3.7350812440545513
28,kcat_3,3.735293714369758
29,kcat_3,3.7425697075243676
30,kcat_3,3.7390347765579928
31,kcat_3,3.73602170818798
32,kcat_3,3.7443565975385695
33,kcat_3,3.741779298628348
34,kcat_3,3.7348486982167093
35,kcat_3,3.734425883060538
36,kcat_3,3.745777452495119
37,kcat_3,3.7455683966823385
38,kcat_3,3.746706329752568
39,kcat_3,3.743498747471574
40,kcat_3,3.746735381260974
41,kcat_3,3.7472437767442934
42,kcat_3,3.7463702960877217
43,kcat_3,3.7541864260733444
44,kcat_3,3.7516395828104643
45,kcat_3,3.7470243758729236
46,kcat_3,3.7384456106643005
47,kcat_3,3.744102875119016
48,kcat_3,3.757841935757715
49,kcat_3,3.756680433948588
0,kcat_4,4.76252929025075
1,kcat_4,4.770637814279788
2,kcat_4,4.725169186694779
3,kcat_4,4.711924666017803
4,kcat_4,4.686059157455663
5,kcat_4,4.661698298062117
6,kcat_4,4.663809790496857
7,kcat_4,4.6589624680202855
8,kcat_4,4.664572443087674
9,kcat_4,4.66342823441413
10,kcat_4,4.648917507711679
11,kcat_4,4.662020364408433
12,kcat_4,4.654263471642984
13,kcat_4,4.655167046000154
14,kcat_4,4.647239747797137
15,kcat_4,4.660521444415808
16,kcat_4,4.666249335438104
17,kcat_4,4.647792576545111
18,kcat_4,4.654335292548939
19,kcat_4,4.65221976073977
20,kcat_4,4.647352787914607
21,kcat_4,4.650472788542071
22,kcat_4,4.6516516496526
23,kcat_4,4.650618801587791
24,kcat_4,4.6517409771423335
25,kcat_4,4.651228336683707
26,kcat_4,4.65503662155819
27,kcat_4,4.652922401383878
28,kcat_4,4.650444201525038
29,kcat_4,4.661158851030716
30,kcat_4,4.657617200010991
31,kcat_4,4.662878541962266
32,kcat_4,4.665707094928823
33,kcat_4,4.6678112836369525
34,kcat_4,4.671426713215357
35,kcat_4,4.672077036147433
36,kcat_4,4.672132607268728
37,kcat_4,4.673292652367619
38,kcat_4,4.674179936085439
39,kcat_4,4.6714642912250754
40,kcat_4,4.666586426558948
41,kcat_4,4.673181175533412
42,kcat_4,4.669900335519829
43,kcat_4,4.6729937476716366
44,kcat_4,4.663057355580913
45,kcat_4,4.659524818379343
46,kcat_4,4.652354451244276
47,kcat_4,4.6551346996249645
48,kcat_4,4.6510967616272385
49,kcat_4,4.652329574244081
0,kcat_5,4.718752958268447
1,kcat_5,4.720016848226853
2,kcat_5,4.697161648690928
3,kcat_5,4.695336691536987
4,kcat_5,4.703429018022566
5,kcat_5,4.678432972021576
6,kcat_5,4.669165101231089
7,kcat_5,4.672289497545417
8,kcat_5,4.6688991272235745
9,kcat_5,4.66591126264608
10,kcat_5,4.667523228004674
11,kcat_5,4.671364306460331
12,kcat_5,4.668585571710554
13,kcat_5,4.658712194516569
14,kcat_5,4.671780979574576
15,kcat_5,4.651656925612646
16,kcat_5,4.659634344199169
17,kcat_5,4.665244021111823
18,kcat_5,4.6656518405428224
19,kcat_5,4.670979099719369
20,kcat_5,4.667764859171329
21,kcat_5,4.663591368514544
22,kcat_5,4.675831468039658
23,kcat_5,4.673489043300126
24,kcat_5,4.680248566871025
25,kcat_5,4.670911750885979
26,kcat_5,4.675752146488012
27,kcat_5,4.677968486280212
28,kcat_5,4.674280725842768
29,kcat_5,4.678137442378323
30,kcat_5,4.684693442195567
31,kcat_5,4.6936924812696414
32,kcat_5,4.694603301236953
33,kcat_5,4.691692163666883
34,kcat_5,4.68549545097829
35,kcat_5,4.679609123382679
36,kcat_5,4.684341712024329
37,kcat_5,4.688360561768993
38,kcat_5,4.681325051008728
39,kcat_5,4.67855822328487
40,kcat_5,4.67278213480762
41,kcat_5,4.672415429767116
42,kcat_5,4.670332531809452
43,kcat_5,4.661977354893007
44,kcat_5,4.66669978339686
45,kcat_5,4.665559389520465
46,kcat_5,4.676065619070723
47,kcat_5,4.674288125334931
48,kcat_5,4.67525968067712
49,kcat_5,4.676907342374139
0,kcat_6,4.371707917156724
1,kcat_6,4.382456137941288
2,kcat_6,4.382776308983638
3,kcat_6,4.416722243995494
4,kcat_6,4.398081258488723
5,kcat_6,4.407712573520571
6,kcat_6,4.409462148050768
7,kcat_6,4.400162967783668
8,kcat_6,4.411964096096296
9,kcat_6,4.416637179278975
10,kcat_6,4.418745377063645
11,kcat_6,4.415139119389553
12,kcat_6,4.431578439723065
13,kcat_6,4.4332338833926945
14,kcat_6,4.441568730843461
15,kcat_6,4.4620963686093695
16,kcat_6,4.463725529023066
17,kcat_6,4.467792580950251
18,kcat_6,4.467391735299331
19,kcat_6,4.473351252818181
20,kcat_6,4.469390895961223
21,kcat_6,4.472332805232853
22,kcat_6,4.474892004456454
23,kcat_6,4.477336590808696
24,kcat_6,4.472172123283304
25,kcat_6,4.463708399725277
26,kcat_6,4.462080373831156
27,kcat_6,4.462481698574492
28,kcat_6,4.463690804511723
29,kcat_6,4.475903222369005
30,kcat_6,4.476331277321452
31,kcat_6,4.483463276500266
32,kcat_6,4.475173972413296
33,kcat_6,4.4811373346028365
34,kcat_6,4.483966951131039
35,kcat_6,4.488213024647077
36,kcat_6,4.4768982689258525
37,kcat_6,4.4790317309250165
38,kcat_6,4.485768450540298
39,kcat_6,4.488933766253501
40,kcat_6,4.496713646707931
41,kcat_6,4.492294255626771
42,kcat_6,4.490264255500227
43,kcat_6,4.493284155221873
44,kcat_6,4.494496501175695
45,kcat_6,4.492926705142598
46,kcat_6,4.499979868198888
47,kcat_6,4.498588150939131
48,kcat_6,4.498281028291029
49,kcat_6,4.4980339569207795
0,kcat_7,3.6474038907819315
1,kcat_7,3.6377903480936964
2,kcat_7,3.6316119160126146
