Gene_ID,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17
b4219,1.14E-05,1.21E-05,8.46E-06,8.85E-06,9.49E-06,1.13E-05,1.15E-05,1.09E-05,6.66E-06,7.04E-06,8.55E-06,7.34E-06,1.19E-05,1.13E-05,1.37E-05,8.25E-06,1.07E-05
b1778,2.16E-05,2.10E-05,1.97E-05,2.57E-05,3.11E-05,3.11E-05,2.44E-05,2.86E-05,2.91E-05,2.64E-05,2.18E-05,2.07E-05,1.80E-05,2.16E-05,2.09E-05,2.52E-05,1.78E-05
b3189,1.08E-05,2.10E-05,2.11E-05,5.87E-06,6.79E-06,9.92E-06,1.07E-05,8.87E-06,8.69E-06,7.21E-06,5.83E-06,5.16E-06,9.14E-06,6.16E-06,5.87E-06,6.81E-06,8.96E-06
b0678,9.15E-06,1.89E-05,1.07E-05,1.17E-05,1.39E-05,2.35E-05,1.34E-05,9.35E-06,1.50E-05,1.52E-05,1.40E-05,1.24E-05,1.10E-05,1.62E-05,4.27E-05,1.10E-05,1.20E-05
b2518,0.000193706,0.000313557,0.000738544,0.000286348,0.000381581,0.000286995,0.000287643,0.000254603,0.000351132,0.000274686,0.000198889,0.000137343,0.000240351,0.00045997,0.000238407,0.000492362,0.000310966
b4245,0.000147727,1.51E-05,1.49E-05,0.000125045,0.000221591,0.000158487,0.000195418,0.000109632,0.000334421,0.000200944,0.000123591,0.000119519,0.0001707,0.000146273,0.000168374,0.00021054,0.000178552
b0131,1.10E-05,8.98E-06,1.03E-05,4.45E-06,6.12E-06,6.54E-06,6.36E-06,7.19E-06,5.09E-06,3.83E-06,2.51E-06,1.54E-06,7.75E-06,4.51E-06,3.45E-06,5.09E-06,7.97E-06
b2564,1.07E-05,1.65E-05,1.48E-05,1.06E-05,1.05E-05,1.46E-05,1.25E-05,1.30E-05,1.15E-05,1.23E-05,1.72E-05,1.72E-05,2.98E-05,2.44E-05,2.28E-05,2.68E-05,2.62E-05
b3916,2.41E-05,2.29E-05,2.46E-05,1.38E-05,1.67E-05,1.86E-05,2.11E-05,1.34E-05,2.34E-05,1.59E-05,1.48E-05,1.36E-05,2.61E-05,1.60E-05,1.93E-05,1.38E-05,3.30E-05
b2926,0.000664644,0.000961664,0.001015225,0.000494222,0.000511265,0.000511265,0.000569695,0.000467442,0.000513699,0.000447965,0.000355451,0.000355451,0.000679252,0.00041875,0.000496657,0.000462573,0.000764462
b4041,3.20E-06,6.16E-06,3.65E-06,2.69E-06,2.94E-06,3.22E-06,3.15E-06,4.62E-06,4.39E-06,3.98E-06,4.29E-06,4.71E-06,3.61E-06,3.31E-06,2.96E-06,2.90E-06,4.26E-06
b4226,0.000138769,0.000238398,0.000211965,9.30E-05,0.000126569,0.000133177,0.000125553,0.00011132,9.81E-05,8.95E-05,7.37E-05,6.86E-05,0.000159609,0.000136227,0.00011742,0.000133686,0.000153001
b2501,1.00E-06,1.18E-06,8.32E-07,1.04E-06,8.21E-07,1.56E-06,1.10E-06,9.37E-07,1.90E-06,1.56E-06,1.68E-06,1.62E-06,1.43E-06,1.08E-06,9.18E-07,9.42E-07,1.52E-06
b2615,3.23E-07,3.84E-07,4.18E-07,1.46E-07,1.56E-07,1.15E-07,1.76E-07,1.21E-07,9.32E-08,1.01E-07,9.19E-08,7.56E-08,1.27E-07,8.05E-08,1.13E-07,9.68E-08,1.09E-07
b0242,1.13E-05,1.35E-05,8.61E-06,7.23E-06,7.92E-06,8.05E-06,9.15E-06,9.95E-06,1.04E-05,9.38E-06,7.74E-06,6.87E-06,1.17E-05,1.02E-05,6.41E-06,8.36E-06,1.17E-05
b4177,0.00011396,0.000217771,8.16E-05,9.94E-05,8.86E-05,9.87E-05,0.000107194,0.000101909,0.000139543,0.000111211,7.97E-05,7.59E-05,0.000131509,7.67E-05,7.93E-05,9.35E-05,0.000111634
b0945,2.56E-05,8.60E-06,8.33E-06,1.02E-05,1.58E-05,1.46E-05,1.70E-05,1.17E-05,1.61E-05,8.25E-06,5.09E-06,3.92E-06,1.58E-05,1.14E-05,9.80E-06,1.76E-05,2.00E-05
b3642,3.70E-07,2.91E-07,3.98E-08,2.77E-08,1.15E-07,5.27E-08,9.94E-08,1.23E-07,7.69E-08,3.65E-08,1.07E-08,2.35E-08,7.18E-08,8.88E-09,2.55E-08,1.46E-08,1.79E-08
b2780,1.59E-05,3.30E-05,1.92E-05,6.47E-06,1.11E-05,1.05E-05,1.26E-05,1.04E-05,1.17E-05,7.48E-06,5.82E-06,4.39E-06,1.29E-05,9.67E-06,7.91E-06,1.24E-05,1.52E-05
b0171,1.18E-05,1.38E-05,1.70E-05,7.33E-06,9.87E-06,9.14E-06,1.05E-05,9.52E-06,1.11E-05,7.02E-06,5.21E-06,3.71E-06,1.17E-05,1.04E-05,7.87E-06,1.13E-05,9.10E-06
b0120,2.96E-05,3.49E-05,2.37E-05,7.48E-06,1.42E-05,1.63E-05,1.37E-05,9.52E-06,1.30E-05,8.30E-06,5.63E-06,4.28E-06,1.58E-05,1.14E-05,8.24E-06,1.30E-05,1.75E-05
b1277,5.14E-06,8.81E-06,6.19E-06,3.19E-06,4.33E-06,5.50E-06,4.27E-06,4.52E-06,3.53E-06,2.51E-06,1.96E-06,1.51E-06,4.16E-06,3.12E-06,2.21E-06,3.06E-06,4.19E-06
b3041,6.17E-06,2.29E-05,3.75E-05,3.83E-06,5.83E-06,7.46E-06,1.05E-05,7.72E-06,4.42E-06,2.52E-06,2.89E-06,1.63E-06,5.53E-06,3.98E-06,4.37E-06,3.71E-06,4.63E-06
b2914,4.60E-05,7.40E-05,6.00E-05,3.93E-05,4.47E-05,3.89E-05,4.06E-05,4.28E-05,4.60E-05,3.68E-05,3.16E-05,2.65E-05,5.04E-05,3.49E-05,3.25E-05,3.61E-05,3.78E-05
b2942,0.000207602,0.000117402,0.000123368,5.89E-05,8.64E-05,0.000123845,0.000113346,0.00011263,0.000127663,8.69E-05,7.16E-05,6.06E-05,0.000190898,0.000107142,8.18E-05,0.000100221,0.000141742
b3591,3.01E-06,2.33E-06,3.13E-06,1.78E-06,2.73E-06,3.09E-06,3.07E-06,3.58E-06,3.30E-06,2.65E-06,2.24E-06,2.29E-06,3.64E-06,3.03E-06,2.59E-06,3.14E-06,3.72E-06
b2551,0.000406451,0.0001723,0.000245196,0.000150873,0.000231942,0.00027833,0.000234151,0.000254032,0.000220234,0.000153082,0.000113983,8.50E-05,0.000362271,0.000267285,0.000208085,0.000276121,0.000349017
b3528,6.12E-07,1.04E-05,6.04E-06,3.44E-06,9.89E-06,2.08E-06,1.62E-06,2.10E-06,4.25E-06,6.70E-06,9.36E-06,9.74E-06,9.28E-07,3.39E-06,4.03E-06,9.43E-06,1.22E-06
b0728,0.000103268,0.000263612,0.000268449,0.000326492,0.000234349,0.00025152,0.000193719,0.000307144,0.000256357,0.00021355,0.000173162,0.000156958,0.000194444,0.000253938,0.00012842,0.00028296,0.000192268
b2744,2.67E-06,3.57E-06,3.08E-06,2.21E-06,2.99E-06,2.27E-06,2.46E-06,3.09E-06,1.85E-06,2.10E-06,2.09E-06,1.87E-06,2.55E-06,2.55E-06,1.96E-06,2.51E-06,1.86E-06
b3708,1.02E-05,0.000737838,0.001282207,4.00E-05,2.75E-05,1.83E-05,1.74E-05,1.47E-05,3.58E-05,5.10E-05,5.06E-05,6.22E-05,1.08E-05,2.75E-05,2.31E-05,2.86E-05,1.16E-05
b3919,0.000123623,0.000125108,0.000161118,0.000128078,0.00012882,0.000122509,0.000123994,0.000113228,0.000154807,0.000117312,0.000105061,9.50E-05,0.000162974,0.000103576,0.00012288,0.000103947,0.000155178
b0008,0.000176524,0.000262654,0.000304156,0.000111713,0.00016089,0.000163164,0.00018761,0.000186473,0.000165438,0.000115409,8.10E-05,6.25E-05,0.000222005,0.00015151,0.0001282,0.000159753,0.000207793
b1260,7.29E-05,2.83E-05,2.52E-05,3.97E-05,4.22E-05,5.54E-05,6.31E-05,5.65E-05,6.03E-05,4.91E-05,3.90E-05,3.03E-05,5.26E-05,4.50E-05,4.36E-05,3.90E-05,6.41E-05
b1261,8.92E-05,1.25E-05,1.42E-05,3.68E-05,3.52E-05,5.66E-05,6.75E-05,6.78E-05,5.24E-05,4.59E-05,3.70E-05,2.75E-05,6.38E-05,6.50E-05,4.40E-05,5.15E-05,8.52E-05
b2827,6.34E-06,1.21E-05,1.13E-05,3.42E-06,4.96E-06,5.55E-06,5.88E-06,4.60E-06,4.86E-06,2.99E-06,2.96E-06,1.77E-06,5.91E-06,4.73E-06,2.75E-06,5.78E-06,7.23E-06
b3833,1.54E-05,2.89E-05,2.47E-05,9.49E-06,1.33E-05,1.38E-05,1.29E-05,1.35E-05,1.33E-05,1.27E-05,1.03E-05,8.92E-06,1.26E-05,1.13E-05,9.99E-06,1.39E-05,1.39E-05
b2498,0.000387094,0.000273322,0.000211991,0.000190214,0.000357762,0.000280877,0.000359096,0.000223101,0.000269766,0.000165326,0.000116439,9.73E-05,0.000292432,0.000310653,0.000239101,0.000430648,0.000332874
b4160,2.69E-05,3.12E-05,2.90E-05,1.50E-05,1.91E-05,2.13E-05,2.44E-05,2.50E-05,1.93E-05,1.82E-05,1.70E-05,1.79E-05,2.09E-05,2.39E-05,1.78E-05,2.19E-05,2.76E-05
b0893,4.20E-05,9.63E-05,5.83E-05,3.25E-05,3.18E-05,3.23E-05,3.54E-05,3.51E-05,3.41E-05,2.81E-05,2.21E-05,2.03E-05,5.25E-05,3.47E-05,2.34E-05,3.47E-05,4.63E-05
b0930,9.18E-05,9.65E-05,9.71E-05,5.29E-05,6.00E-05,6.65E-05,6.59E-05,5.81E-05,7.25E-05,5.90E-05,5.06E-05,4.44E-05,8.05E-05,6.95E-05,4.86E-05,6.68E-05,9.04E-05
b1719,1.56E-05,3.22E-05,1.91E-05,1.07E-05,1.47E-05,1.41E-05,1.57E-05,1.35E-05,2.27E-05,1.87E-05,1.72E-05,1.79E-05,1.74E-05,1.38E-05,1.08E-05,1.31E-05,1.85E-05
b2890,4.26E-05,8.03E-05,5.47E-05,2.59E-05,3.15E-05,3.32E-05,3.32E-05,2.55E-05,3.98E-05,2.99E-05,2.36E-05,2.05E-05,4.69E-05,3.23E-05,2.22E-05,3.23E-05,4.80E-05
b4129,8.19E-06,3.95E-05,1.16E-05,4.45E-06,5.63E-06,6.32E-06,6.54E-06,4.55E-06,7.22E-06,5.45E-06,4.71E-06,4.43E-06,7.96E-06,5.54E-06,4.17E-06,4.93E-06,6.89E-06
b4374,1.09E-06,1.12E-06,1.88E-06,1.49E-07,5.22E-07,3.46E-07,5.50E-07,4.95E-07,5.18E-07,2.06E-07,1.58E-07,1.16E-07,5.26E-07,3.92E-07,3.08E-07,4.31E-07,5.78E-07
b0957,0.001986025,0.002432746,0.002583448,0.001237902,0.001342855,0.002010245,0.001708843,0.001176007,0.002050612,0.001690005,0.001372457,0.001194845,0.001969879,0.001259431,0.001213682,0.0014801,0.001517775
b3821,3.53E-07,6.16E-07,5.52E-07,2.46E-07,2.38E-07,2.99E-07,2.97E-07,2.37E-07,2.68E-07,2.46E-07,2.28E-07,2.00E-07,4.02E-07,3.41E-07,3.01E-07,2.49E-07,3.65E-07
b2813,4.06E-07,6.32E-07,3.99E-07,2.14E-07,2.48E-07,2.30E-07,2.72E-07,2.97E-07,2.33E-07,1.71E-07,1.25E-07,9.76E-08,8.27E-07,6.29E-07,4.46E-07,5.40E-07,4.56E-07
b1584,1.50E-06,2.67E-06,2.16E-06,9.65E-07,1.40E-06,1.15E-06,1.25E-06,1.40E-06,1.72E-06,1.27E-06,1.04E-06,9.47E-07,1.47E-06,1.13E-06,8.74E-07,1.02E-06,1.39E-06
b2323,0.000223642,0.000387615,0.000380567,0.000181592,0.00021542,0.000225286,0.000231864,0.000234448,0.000211426,0.000188639,0.000166557,0.00015763,0.000204848,0.000208842,0.000198976,0.000234918,0.000206023
b1850,6.02E-05,8.09E-05,6.38E-05,3.91E-05,3.72E-05,4.99E-05,3.62E-05,4.23E-05,4.81E-05,3.97E-05,2.94E-05,2.08E-05,5.62E-05,3.93E-05,3.38E-05,4.54E-05,5.93E-05
b2290,1.67E-06,1.74E-06,3.43E-06,9.90E-07,1.64E-06,1.65E-06,1.82E-06,1.17E-06,1.31E-06,1.86E-06,1.71E-06,1.41E-06,8.91E-07,1.05E-06,9.85E-07,1.24E-06,1.04E-06
b1767,9.19E-06,1.05E-05,9.25E-06,4.64E-06,5.69E-06,6.61E-06,5.20E-06,4.53E-06,6.12E-06,5.82E-06,4.96E-06,4.10E-06,6.53E-06,6.15E-06,4.18E-06,5.18E-06,7.47E-06
b2097,3.60E-05,1.96E-05,2.22E-05,7.01E-05,7.07E-05,5.62E-05,5.60E-05,5.46E-05,5.96E-05,6.15E-05,7.01E-05,7.59E-05,4.62E-05,7.12E-05,7.49E-05,6.25E-05,4.12E-05
b4232,1.57E-05,5.38E-05,3.67E-05,3.10E-05,2.77E-05,1.86E-05,1.80E-05,4.02E-05,1.63E-05,1.52E-05,1.33E-05,1.01E-05,2.22E-05,2.02E-05,1.61E-05,3.02E-05,1.49E-05
b1779,0.000780452,0.000808628,0.000780452,0.000335285,0.00037473,0.000498701,0.000540963,0.000349372,0.000563504,0.000355007,0.000254985,0.000218639,0.000659299,0.000450803,0.000276399,0.000405723,0.001042482
b2927,1.86E-06,3.49E-06,2.57E-06,9.23E-07,1.33E-06,1.06E-06,1.84E-06,1.36E-06,1.40E-06,8.91E-07,6.50E-07,5.05E-07,1.07E-06,5.26E-07,4.62E-07,7.76E-07,1.17E-06
b2241,2.36E-07,7.69E-06,7.83E-06,2.55E-07,2.65E-07,2.65E-07,7.89E-06,3.12E-07,4.77E-07,2.78E-07,3.36E-07,1.61E-07,6.23E-07,2.68E-07,3.82E-07,2.60E-07,1.75E-07
b3870,0.000296995,0.000120919,0.000144255,8.27E-05,0.000107612,0.000117834,0.00017029,0.000119377,0.00019054,0.000132491,0.000116098,0.000116291,0.000177233,0.00015409,9.97E-05,0.000106648,0.000219853
b3925,3.10E-06,5.67E-06,6.62E-06,1.12E-06,1.97E-06,2.28E-06,4.41E-06,1.67E-06,1.48E-06,1.16E-06,9.80E-07,9.33E-07,2.17E-06,1.95E-06,1.77E-06,2.14E-06,2.59E-06
b0166,0.000182546,0.000138668,0.000120916,7.60E-05,7.97E-05,9.45E-05,0.000121251,0.000114552,9.65E-05,7.23E-05,6.10E-05,4.29E-05,0.00016111,0.000113547,6.73E-05,8.24E-05,0.000168144
b4015,0.000467629,0.000252772,0.000427606,0.004023291,0.002317078,0.001459759,0.001244903,0.000808871,0.001817853,0.003054331,0.003328167,0.003623068,0.000465522,0.002317078,0.00324391,0.002017965,0.000553992
b1661,1.18E-06,1.59E-06,1.12E-06,6.61E-07,3.74E-07,7.77E-07,4.22E-07,4.22E-07,6.86E-07,5.54E-07,4.31E-07,3.47E-07,9.51E-07,4.99E-07,4.19E-07,4.13E-07,5.38E-07
b0425,4.20E-07,1.04E-06,0,1.98E-07,2.76E-07,3.22E-07,1.01E-06,1.84E-07,2.74E-07,2.59E-07,5.29E-07,1.68E-07,0,0,8.84E-08,3.61E-07,0
b3752,1.09E-06,8.03E-06,5.15E-06,2.04E-06,2.66E-06,2.51E-06,2.98E-06,2.90E-06,3.26E-06,2.97E-06,2.79E-06,2.31E-06,1.09E-06,2.75E-06,2.29E-06,2.73E-06,2.08E-06
b2599,2.62E-05,1.12E-05,1.79E-05,1.78E-05,2.07E-05,2.53E-05,2.44E-05,1.88E-05,3.34E-05,4.34E-05,5.22E-05,5.60E-05,1.51E-05,2.51E-05,3.67E-05,2.32E-05,2.41E-05
b0125,2.13E-05,4.11E-05,2.67E-05,8.81E-06,1.18E-05,1.46E-05,1.39E-05,1.25E-05,1.12E-05,9.66E-06,7.17E-06,5.83E-06,1.56E-05,1.11E-05,1.12E-05,1.51E-05,1.95E-05
b0238,5.62E-05,9.56E-05,0.000122773,4.20E-05,5.37E-05,4.72E-05,5.90E-05,5.62E-05,5.25E-05,4.50E-05,3.02E-05,2.43E-05,6.49E-05,3.88E-05,2.79E-05,4.95E-05,4.94E-05
b2297,1.91E-05,4.45E-05,3.11E-05,1.45E-05,1.82E-05,2.06E-05,1.75E-05,5.84E-05,2.52E-05,2.48E-05,2.31E-05,2.33E-05,2.50E-05,1.89E-05,1.50E-05,1.88E-05,2.43E-05
b0902,3.14E-06,5.15E-06,4.30E-06,2.20E-06,2.65E-06,2.60E-06,2.56E-06,2.28E-06,2.39E-06,2.21E-06,2.24E-06,2.33E-06,2.03E-06,2.02E-06,2.11E-06,1.86E-06,2.06E-06
b0116,0.000209327,0.000499619,0.000361385,0.000150478,0.000199453,0.000215251,0.000171213,0.000402855,0.0002271,0.000181285,0.000148306,0.000123226,0.000250797,0.000213276,0.000149688,0.000236973,0.000234999
b0888,7.37E-05,9.14E-05,8.33E-05,3.50E-05,4.25E-05,5.12E-05,4.71E-05,5.58E-05,4.45E-05,3.27E-05,2.76E-05,2.14E-05,5.81E-05,4.74E-05,3.35E-05,4.28E-05,5.99E-05
b2316,2.76E-05,5.71E-05,4.66E-05,1.42E-05,2.29E-05,2.36E-05,2.88E-05,2.32E-05,2.36E-05,2.03E-05,1.79E-05,1.84E-05,2.05E-05,2.80E-05,1.41E-05,2.64E-05,3.28E-05
b1241,8.06E-05,9.09E-05,9.36E-05,7.49E-05,6.65E-05,0.000121813,8.61E-05,5.47E-05,0.000171788,0.000127019,0.000130142,0.000133266,0.000139513,9.92E-05,0.000105155,6.73E-05,0.000332123
b3433,0.000228646,6.40E-05,0.000112072,0.000138088,9.78E-05,0.000102816,0.000148345,0.000136837,0.000132334,8.18E-05,5.95E-05,4.28E-05,0.00017186,9.73E-05,7.73E-05,0.000102816,0.000179114
b2799,6.87E-07,3.87E-06,1.11E-06,3.50E-06,2.12E-06,1.96E-06,1.38E-06,1.69E-06,1.50E-06,2.56E-06,3.23E-06,4.11E-06,8.84E-07,2.24E-06,3.15E-06,2.21E-06,8.30E-07
b3945,8.90E-07,8.92E-07,5.87E-07,9.36E-07,6.72E-07,5.64E-07,5.90E-07,7.03E-07,7.78E-07,8.71E-07,1.04E-06,1.23E-06,3.62E-07,3.72E-07,8.51E-07,4.09E-07,2.87E-07
b3455,3.37E-06,2.85E-06,1.69E-06,2.81E-06,4.86E-06,5.81E-06,5.07E-06,3.98E-06,7.78E-06,7.19E-06,5.57E-06,5.07E-06,4.12E-06,4.12E-06,4.30E-06,5.95E-06,5.95E-06
b2913,0.000188534,1.51E-05,3.44E-05,7.75E-05,8.09E-05,0.000125311,0.000100612,0.000101292,0.000160888,0.000101292,6.87E-05,5.55E-05,0.000197598,5.01E-05,6.82E-05,7.18E-05,0.000127577
b3201,2.72E-05,3.54E-05,3.42E-05,1.52E-05,2.32E-05,1.93E-05,2.36E-05,2.35E-05,1.90E-05,1.61E-05,1.58E-05,1.46E-05,1.90E-05,1.81E-05,1.68E-05,1.85E-05,2.17E-05
b3882,1.01E-07,4.63E-08,0,4.15E-08,1.27E-08,6.30E-08,2.38E-07,4.82E-08,8.13E-08,6.14E-08,2.46E-08,1.16E-08,0,0,1.13E-08,3.60E-08,0
b2415,0.000412282,0.000278153,0.000318831,0.000158316,0.000197895,0.000362808,0.000224281,0.000208889,0.000341919,0.000225381,0.000163813,0.000105104,0.000173708,0.000289147,0.000205591,0.000252866,0.000443065
b3781,0.000348015,0.000435443,0.000421862,0.000185042,0.000241913,0.000332736,0.000303028,0.000288598,0.000247855,0.000212204,0.000190135,0.000170612,0.000356503,0.00033019,0.000342073,0.000296237,0.000419316
b3843,4.05E-06,1.18E-05,9.47E-06,4.70E-06,5.53E-06,5.27E-06,4.70E-06,6.01E-06,8.14E-06,8.32E-06,7.33E-06,7.96E-06,4.90E-06,6.64E-06,4.48E-06,4.81E-06,5.22E-06
b2528,2.41E-05,3.24E-05,3.24E-05,1.21E-05,1.41E-05,1.43E-05,1.98E-05,1.22E-05,1.76E-05,1.16E-05,7.24E-06,5.26E-06,3.40E-05,1.86E-05,1.28E-05,2.09E-05,2.97E-05
b2796,1.10E-06,4.55E-05,1.63E-05,9.39E-07,1.16E-06,1.10E-06,1.11E-06,5.57E-07,1.18E-06,1.01E-06,8.71E-07,8.30E-07,1.25E-06,1.19E-06,1.14E-06,1.17E-06,1.15E-06
b4208,2.98E-06,3.06E-06,8.10E-06,6.38E-06,9.03E-06,7.07E-06,5.29E-06,7.46E-06,1.22E-05,1.46E-05,1.27E-05,1.37E-05,5.15E-06,6.84E-06,4.44E-06,7.73E-06,5.39E-06
b3541,6.09E-06,7.21E-06,2.03E-05,6.48E-06,1.09E-05,9.38E-06,9.72E-06,1.10E-05,8.63E-06,8.13E-06,7.04E-06,6.26E-06,7.04E-06,9.27E-06,6.90E-06,1.10E-05,9.66E-06
b3725,1.88E-06,3.04E-06,2.68E-06,7.00E-07,1.38E-06,1.30E-06,1.95E-06,1.97E-06,1.62E-06,1.10E-06,8.76E-07,8.49E-07,1.79E-06,1.39E-06,8.04E-07,1.30E-06,1.31E-06
b1291,3.88E-07,3.91E-07,0,3.19E-08,2.13E-07,1.13E-07,1.63E-07,1.18E-07,1.26E-07,1.53E-07,9.33E-09,4.73E-08,0,0,4.52E-08,1.16E-07,0
b1095,3.19E-05,8.16E-05,7.91E-05,2.05E-05,3.02E-05,3.12E-05,3.56E-05,2.63E-05,3.14E-05,2.70E-05,2.32E-05,1.95E-05,4.40E-05,3.16E-05,3.23E-05,3.65E-05,3.77E-05
b3893,6.90E-08,1.33E-05,5.63E-08,2.58E-07,1.15E-07,2.59E-08,5.96E-08,4.02E-08,4.14E-08,6.50E-08,5.81E-08,8.50E-08,2.89E-08,7.17E-08,8.20E-08,6.87E-08,1.23E-08
b2925,0.000332442,0.000388701,0.000442403,0.000188469,0.000229896,0.000237057,0.000258282,0.000231431,0.00022606,0.000155736,0.00013758,0.000117378,0.000288969,0.000177728,0.000187702,0.000207904,0.000406602
b3617,2.86E-06,3.81E-05,2.60E-05,2.41E-06,2.18E-06,1.87E-06,1.79E-06,2.02E-06,1.71E-06,1.27E-06,1.11E-06,1.06E-06,3.00E-06,1.90E-06,1.44E-06,2.10E-06,2.39E-06
b3770,4.35E-05,2.31E-05,2.70E-05,2.08E-05,2.87E-05,3.05E-05,3.14E-05,3.26E-05,3.93E-05,2.38E-05,1.53E-05,1.32E-05,6.67E-05,2.72E-05,1.92E-05,3.26E-05,4.87E-05
b2800,1.04E-08,2.16E-07,0,5.31E-09,3.51E-07,1.37E-08,4.84E-07,1.95E-08,4.59E-09,1.11E-07,1.58E-08,1.53E-08,0,0,6.53E-08,1.24E-07,0
b1131,3.20E-05,2.39E-05,3.13E-05,1.18E-05,2.33E-05,2.54E-05,2.49E-05,2.51E-05,3.03E-05,1.81E-05,1.37E-05,1.11E-05,3.52E-05,2.51E-05,1.52E-05,3.26E-05,4.12E-05
b0754,0.000110884,2.87E-05,5.50E-05,4.58E-05,4.66E-05,6.90E-05,6.01E-05,4.37E-05,8.14E-05,4.42E-05,3.37E-05,2.77E-05,0.000125634,5.56E-05,5.27E-05,6.01E-05,0.000112465
b3738,1.92E-05,3.12E-05,4.13E-05,1.28E-05,3.10E-05,2.25E-05,3.50E-05,5.25E-05,4.69E-05,3.37E-05,2.25E-05,2.16E-05,3.90E-05,3.96E-05,2.63E-05,4.82E-05,5.29E-05
b3735,0.000127966,0.000197389,0.00026733,9.43E-05,0.000123822,0.000138328,0.000132111,0.000153352,0.000112424,9.38E-05,7.20E-05,4.99E-05,0.000132629,0.000121231,8.76E-05,0.000136774,0.000146099
b3733,3.84E-05,6.34E-05,7.64E-05,2.72E-05,3.80E-05,3.74E-05,4.00E-05,4.63E-05,4.06E-05,3.03E-05,2.35E-05,1.79E-05,3.46E-05,3.55E-05,2.58E-05,3.68E-05,3.74E-05
b3734,0.000241074,0.000398769,0.000551027,0.000183071,0.000273701,0.00031539,0.000299077,0.000320828,0.000273701,0.000222948,0.000178721,0.000138482,0.000273701,0.000284576,0.000195759,0.000331704,0.000317203
b3732,0.000401784,0.000704116,0.000809534,0.00026653,0.000393827,0.000417696,0.000439575,0.000507202,0.000399795,0.000332168,0.000242661,0.000180604,0.000393827,0.000403773,0.000240672,0.00042963,0.000397806
b4242,1.09E-06,2.57E-06,9.89E-07,2.82E-07,1.63E-06,1.56E-06,1.29E-06,1.81E-06,7.16E-07,8.55E-07,1.36E-06,2.24E-06,1.13E-06,8.21E-07,1.35E-06,1.36E-06,1.10E-06
b0185,6.36E-05,0.000132382,0.00011278,3.24E-05,4.69E-05,4.52E-05,5.11E-05,4.83E-05,4.66E-05,3.84E-05,3.24E-05,3.15E-05,4.52E-05,4.83E-05,3.86E-05,4.35E-05,5.20E-05
b3255,4.27E-05,0.00010085,7.32E-05,2.29E-05,3.24E-05,3.36E-05,3.66E-05,3.36E-05,3.14E-05,2.44E-05,2.08E-05,1.82E-05,3.83E-05,3.44E-05,2.76E-05,3.75E-05,3.96E-05
b2143,4.25E-06,5.62E-05,3.30E-06,4.06E-06,4.67E-06,4.70E-06,3.49E-06,3.09E-06,4.19E-06,5.24E-06,5.71E-06,7.33E-06,5.46E-06,5.40E-06,3.27E-06,3.87E-06,3.30E-06
b0720,0.000160531,0.000271026,0.000379436,0.000564985,0.000302298,0.000369012,0.000291874,0.000617105,0.000525373,0.000441981,0.000439896,0.000416963,0.00027728,0.000469083,0.000300213,0.000323146,0.00033357
b3816,4.60E-06,8.02E-06,5.86E-06,3.23E-06,3.80E-06,6.87E-06,5.50E-06,5.80E-06,8.35E-06,7.52E-06,1.05E-05,1.09E-05,3.04E-06,5.39E-06,5.83E-06,3.56E-06,4.92E-06
b0431,1.59E-05,4.02E-05,3.18E-05,1.41E-05,1.67E-05,1.84E-05,1.55E-05,2.89E-05,2.44E-05,1.88E-05,1.49E-05,1.40E-05,1.80E-05,1.70E-05,6.07E-06,1.82E-05,2.22E-05
b0432,4.33E-05,0.000127041,7.94E-05,3.50E-05,4.04E-05,3.61E-05,3.67E-05,7.28E-05,5.65E-05,3.70E-05,2.85E-05,3.07E-05,4.27E-05,3.53E-05,1.47E-05,4.16E-05,4.59E-05
b0430,2.98E-07,9.61E-07,2.27E-07,6.11E-07,6.73E-07,2.67E-07,5.00E-07,1.85E-06,1.27E-06,7.04E-07,9.03E-07,7.30E-07,1.10E-06,8.90E-07,3.09E-07,1.57E-06,1.93E-06
b0429,2.26E-06,5.38E-06,2.27E-06,9.83E-07,1.16E-06,1.04E-06,5.52E-07,1.02E-06,1.02E-06,6.42E-07,1.12E-06,4.57E-07,8.01E-07,1.21E-06,2.55E-07,7.26E-07,1.40E-06
b0733,5.73E-06,2.32E-05,1.10E-05,7.10E-06,6.64E-06,1.10E-05,8.60E-06,5.62E-06,1.24E-05,1.28E-05,1.47E-05,1.72E-05,1.10E-05,7.81E-06,6.57E-06,7.29E-06,1.14E-05
b0734,7.07E-07,3.28E-06,8.39E-07,8.70E-07,9.06E-07,1.45E-06,1.12E-06,1.34E-06,2.30E-06,2.19E-06,2.55E-06,3.40E-06,1.08E-06,7.38E-07,9.29E-07,8.16E-07,1.30E-06
b2414,0.001216245,0.000362842,0.001175607,0.001108844,0.001129163,0.001079817,0.001143677,0.001024665,0.000920167,0.000719878,0.000542811,0.000487659,0.001143677,0.001108844,0.000847598,0.001227856,0.001253981
b4070,1.24E-10,1.54E-09,2.55E-10,1.99E-09,1.61E-09,4.08E-10,3.19E-09,5.95E-10,1.36E-09,1.94E-10,7.38E-11,1.08E-09,5.50E-09,7.98E-09,1.01E-08,8.41E-09,7.75E-09
