Gene_ID,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17
b0724,4.11E-05,0.000149995,0.000102116,0.000117826,7.26E-05,7.67E-05,5.54E-05,8.68E-05,6.55E-05,6.99E-05,5.95E-05,5.80E-05,4.94E-05,8.53E-05,5.12E-05,9.73E-05,6.85E-05
b0480,6.04E-06,7.62E-06,8.99E-06,4.99E-06,6.22E-06,7.34E-06,6.38E-06,5.23E-06,5.76E-06,5.55E-06,5.28E-06,4.64E-06,5.61E-06,5.50E-06,5.55E-06,6.04E-06,4.90E-06
b0980,1.51E-07,2.38E-07,4.06E-07,8.45E-08,1.05E-07,1.36E-07,9.17E-08,1.15E-07,2.28E-07,1.85E-07,2.87E-07,3.04E-07,9.08E-08,1.08E-07,1.43E-07,1.05E-07,1.20E-07
b1015,1.28E-06,6.04E-06,2.32E-06,7.88E-07,1.50E-06,1.81E-06,1.01E-06,1.40E-06,2.52E-06,3.46E-06,2.67E-06,2.76E-06,9.78E-07,1.78E-06,1.11E-06,1.36E-06,9.08E-07
b4258,2.86E-05,5.16E-05,3.55E-05,1.38E-05,1.70E-05,1.73E-05,1.85E-05,1.73E-05,2.16E-05,1.61E-05,1.25E-05,1.08E-05,2.30E-05,1.97E-05,1.26E-05,1.75E-05,2.33E-05
b1713,8.34E-05,0.000128285,0.000100681,4.67E-05,6.62E-05,7.33E-05,7.75E-05,7.85E-05,0.000105492,9.37E-05,9.58E-05,8.56E-05,7.17E-05,7.88E-05,6.43E-05,7.02E-05,9.85E-05
b4013,4.46E-05,6.14E-06,6.00E-06,8.18E-06,1.18E-05,1.37E-05,1.52E-05,1.34E-05,1.48E-05,1.16E-05,9.78E-06,8.32E-06,2.74E-05,1.63E-05,1.39E-05,1.84E-05,2.10E-05
b3389,5.07E-06,4.12E-06,4.51E-06,3.53E-06,3.68E-06,3.94E-06,4.17E-06,4.51E-06,3.50E-06,3.76E-06,3.55E-06,2.88E-06,4.58E-06,4.27E-06,4.04E-06,4.09E-06,4.33E-06
b0151,2.56E-06,3.33E-06,0,8.32E-07,8.15E-06,1.86E-06,2.11E-06,5.23E-07,1.13E-06,8.87E-07,3.50E-06,5.03E-07,0,0,5.44E-07,1.37E-06,0
b0152,7.59E-07,6.58E-07,0,3.49E-07,7.77E-07,8.13E-07,5.01E-07,5.34E-07,7.40E-07,1.02E-06,2.52E-08,4.31E-07,0,0,2.38E-07,7.74E-07,0
b0092,8.48E-06,1.52E-05,1.02E-05,8.26E-06,7.74E-06,7.59E-06,7.84E-06,8.57E-06,6.31E-06,5.61E-06,4.88E-06,4.48E-06,1.03E-05,8.81E-06,7.41E-06,7.68E-06,8.75E-06
