,log10_kcat_mean,log10_kcat_std,log10_kcat_max,log10_kcat_max_std
TRE6PS,0.86332286,1,0.86332286,1
TREH,2.298853076,1,2.298853076,1
CYTK1,1.147629338,1.088887512,2.030140786,0.032512903
CYTK1_REV,1.147629338,1.088887512,2.031028745,0.0294172
CYTK2,1.147629338,1.088887512,2.031280366,0.029281335
CYTK2_REV,1.147629338,1.088887512,2.033274962,0.007754174
GK1,2.018074815,0.302071471,2.120779115,0.284075695
GK1_REV,2.018074815,0.302071471,2.114737686,0.286187811
HACD1,4.658011397,1,4.658011397,1
HACD1_REV,-0.468578575,2.6229202,3.001201685,2.608500413
HACD2,-0.468578575,2.6229202,3.144373208,2.500871689
HACD2_REV,-0.468578575,2.6229202,2.899619225,2.571028115
ACACCT,2.462397998,1,2.462397998,1
BUTCT,2.462397998,1,2.462397998,1
G1PTT,-0.143341868,1.603029906,1.279976972,0.260916156
TDPGDH,-0.762046667,1.032498833,0.150145552,0.9121035
UDPGALM,0.539362728,1.295092732,1.73334839,0.110620901
TDPDRE,1.591064607,1,1.591064607,1
TDPDRR,1.430169003,0.032228995,1.44821724,0.026701484
NDPK7,1.067594883,1.363619185,2.024883894,0.74801405
NDPK7_REV,1.067594883,1.363619185,2.057085962,0.693066475
AOBUTDs,0.537269985,0.228072842,0.792202197,0.049140831
GLYAT,-1.698970004,1,-1.698970004,1
GLYAT_REV,-1.698970004,1,-1.698970004,1
ADNUC,-0.745129992,1.067349287,-0.232802334,0.936351895
S7PI,-0.32878866,0.027758664,-0.313798981,0.023363496
TRPS3,0.841050483,0.788676305,1.733782927,0.217079471
FADRx,1.022084104,0.380891098,1.410680936,0.101736928
GTPDPK,1.630468622,0.508910795,1.986654495,0.218350523
NADN,1.738822494,2.184939467,2.787593438,1.916778543
NDPK2,1.067594883,1.363619185,2.129908302,0.56004187
NDPK2_REV,1.067594883,1.363619185,2.129908302,0.56004187
NDPK3,1.067594883,1.363619185,2.131379047,0.624382585
NDPK3_REV,1.067594883,1.363619185,2.08928803,0.631730411
NDPK4,1.067594883,1.363619185,2.048667759,0.693700018
NDPK4_REV,1.067594883,1.363619185,2.030360607,0.637222202
FCLT,-0.522878745,1,-0.522878745,1
PNTK,0.073742569,0.323970656,0.311734948,0.053023533
DPCOAK,-1.425493652,0.107638728,-1.363063189,0.087684281
KDOPS,0.581776958,0.541644469,1.558348411,0.541084197
KDOPP,-0.706066252,0.764673983,0.01162759,0.375655502
GSPMDA,0.322219295,1,0.322219295,1
DGK1,2.018074815,0.302071471,2.150986262,0.271259508
DGK1_REV,2.018074815,0.302071471,2.205359127,0.237005823
DTMPK,0.949390007,0,0.949390007,5.55E-16
DTMPK_REV,0.949390007,0,0.949390007,5.55E-16
NDPK1,1.067594883,1.363619185,2.008047488,0.748368963
NDPK1_REV,1.067594883,1.363619185,2.036243588,0.843815334
TRDR,1.259846258,0.260643676,1.447329045,0.13251571
PGMT,1.533974492,0.580201303,2.225071041,0.088555934
PGMT_REV,1.533974492,0.580201303,2.21503592,0.098392058
RHCCE,-0.7217892,0.535868666,-0.253014821,0.092621902
KG6PDC,1.806179974,1,1.806179974,1
BETALDHx,1.041392685,1,1.041392685,1
BETALDHy,1.041392685,1,1.041392685,1
MLTG3,0.963405339,1.885092461,2.520029872,0.160049078
NADTRHD,1.815425706,0.846888809,2.395044559,0.057889556
FMNRx2,1.531478917,1,1.531478917,1
ACPS1,-1.169125658,1.09321865,0.384049991,0.093654782
GMPS2,0.484299839,1,0.484299839,1
AMPN,1.046710843,0.745680847,1.434464883,0.63693542
ADCS,-0.565532152,0.947077486,0.179300871,0.243939903
UMPK,2.539759852,0.213508516,2.708280156,0.076515423
UMPK_REV,2.539759852,0.213508516,2.666861328,0.146523925
DDPGALA,-0.026872146,1,-0.026872146,1
DDPGALA_REV,-0.026872146,1,-0.026872146,1
UPPRT,0.260241766,0.44732841,0.483905971,0.387397767
CTPS2,0.561919685,0.617101759,1.137654525,0.025639141
NTD1,0.373908656,1.289831762,2.860660622,0.080558968
NTD7,0.750755012,1.33923132,2.854401974,0.109361968
PAPPT3,0.726727209,1,0.726727209,1
UAGPT3,0.131864875,0.516686881,0.805466728,0.457426159
GLYCLTDx,3.630653651,2.508542666,5.513308794,0.711069902
HPYRRy,5.066785843,0.549846037,5.726823269,0.219182105
ACODA,3.579783597,1,3.579783597,1
ADA,1.06069784,1,1.06069784,1
DADA,1.06069784,1,1.06069784,1
ADD,1.62081216,0.607199375,2.147502137,0.234560544
ADSS,0.029917714,0.247308407,0.290375345,0.227329445
AGDC,2.144682976,0.103290291,2.202525538,0.085575242
ASNN,1.656927921,1.346686001,2.925735041,0.630600994
ASNS2,0.46834733,1,0.46834733,1
ASPCT,2.120136055,0.5,2.430136055,0.392300905
MCOATA,0.471677632,2.680418296,2.954175171,0.609278427
MCOATA_REV,0.471677632,2.680418296,3.017648747,0.336072412
DAPE,2.10720997,1,2.10720997,1
DAPE_REV,1.255850421,1.2108798,2.030811965,0.301090287
HSK,1.26245109,1,1.26245109,1
SDPTA,1.380211242,1,1.380211242,1
SDPTA_REV,1.380211242,1,1.380211242,1
THRS,0.456157613,0.405361913,0.788404814,0.143778753
HSST,1.564902673,0,1.564902673,4.44E-16
PPNDH,3.286007122,1,3.286007122,1
DDPA,1.063069053,0.674694204,2.004305132,0.224933147
NMNDA,0.307398833,0.421848054,0.572247792,0.04667075
NNAM,0.626635638,0.318483856,0.898570245,0.270824568
P5CD,0.771569898,0.489152502,1.209593934,0.325175883
SPMDAT1,-0.399992419,0.412885899,-0.071563088,0.101358251
SPMDAT2,-0.399992419,0.412885899,-0.073766443,0.131833853
MALS,1.455231361,0.11825873,1.601696802,0.114958773
TRE6PP,1.167160515,0.002807659,1.168227425,0.002597047
ADPRDP,1.016421969,0.544153701,1.920258094,0.280258582
ARAI,1.286544456,1.268272426,3.118348282,0.623140987
ARAI_REV,2.38327665,1,2.38327665,1
GALS3,1.758675983,0.886082112,3.417713615,0.176336519
FCI,-1.140665717,0.401452386,-0.923881429,0.337888429
FCI_REV,-1.140665717,0.401452386,-0.931910477,0.342907083
FCLPA,1.278753601,1,1.278753601,1
FCLPA_REV,1.285557309,1,1.285557309,1
GALUi,1.003873059,0.835960014,1.904903101,0.110435268
U23GAAT,1.066858976,0.417007542,1.335189639,0.150902578
UAAGDS,0.113943352,1,0.113943352,1
UAMAS,0,1,0,1
