,log10_kcat_mean,log10_kcat_std,log10_kcat_max,log10_kcat_max_std
DHPS2,-0.962573502,1,-0.962573502,1
ALKP,1.092264763,1.429891131,3.970638139,0.654763336
ACACT6r,3.401734788,2.334710817,4.813579517,2.358777819
ACACT6r_REV,3.401734788,2.334710817,5.191251006,2.250470123
GLYOX3,0.416640507,1,0.416640507,1
FDMO4,-0.065501549,1,-0.065501549,1
ALAGLUE,0.424210897,0.811810735,1.159305018,0.162084485
ALAGLUE_REV,0.424210897,0.811810735,1.183641316,0.113854509
CYANSTpp,2.50851667,0.093543322,2.559030063,0.078732141
MCPST,1.096910013,1,1.096910013,1
NODOy,2.372576448,0.453498355,2.626535526,0.375720035
NODOx,2.372576448,0.453498355,2.572115724,0.407240513
42A12BOOXpp,0.855861446,0.577107845,1.06362027,0.538414093
TYROXDApp,0.901711486,0.30511439,1.060370969,0.260618418
METSOXR1,0.981792983,0.464851296,1.637386374,0.416443427
METSOXR2,0.981792983,0.464851296,1.687023259,0.397058213
DAPAL,1.633364723,0.552939397,2.35960697,0.347485578
AMPTASECG,1.241572271,1.069378153,2.975684647,0.006030444
LACZpp,2.128087029,0.708912562,3.427401024,0.121064954
GPDDA1pp,-0.298231191,1.391558698,1.665637522,0.766671292
FLVR,1.271222315,0.778101654,1.838296541,0.021563736
FDMO2,-0.065501549,1,-0.065501549,1
UDPGALPpp,1.984135206,0.739138252,2.946390309,0.365931175
UACGAMPpp,1.984135206,0.739138252,2.876539952,0.402217675
UACGALPpp,1.984135206,0.739138252,2.886229016,0.4112188
FEROpp,0.581634818,0.851447167,1.251177007,0.214613904
ACGAL1PPpp,1.659512942,0.47843008,2.122438459,0.051546321
CBLAT,-1.41195437,0.190105621,-1.290286773,0.146072389
CBLAT_REV,-1.79866742,0.401450735,-1.297723542,0.111562401
TDP,-0.361049688,0.330359995,0.162250524,0.093413848
ARABDI,-1.140665717,0.401452386,-0.907823333,0.327029727
ARABDI_REV,-1.140665717,0.401452386,-0.939939524,0.347667965
PSP_Lpp,-0.823908741,1,-0.823908741,1
PAPSR2,-0.474955193,1,-0.474955193,1
FACOAE160,-0.926425944,1.544462916,1.613632775,0.677761203
FACOAE140,-0.926425944,1.544462916,1.63028512,0.576779071
PPGPPDP,0.477121255,1,0.477121255,1
GUACYC,0.121897144,2.480401148,2.508377153,1.646118501
23PDE2pp,0.407505908,1.049145085,1.600227253,0.356686701
23PDE4pp,0.407505908,1.049145085,1.535545461,0.384066075
23PDE9pp,0.407505908,1.049145085,1.702453753,0.301960766
SARCOX,0.910412741,0.64893069,1.640634792,0.585612545
GDPDPK,1.630468622,0.508910795,1.967873624,0.263804544
GGPTRCS,0.773786445,1,0.773786445,1
ASNNpp,1.656927921,1.346686001,3.032343001,0.597951674
GLUNpp,0.959065756,1.271538185,2.699292759,0.650403183
DNTPPA,0.349496656,0.744761659,0.894107116,0.364591849
NTPP9,1.80559603,0.172127575,1.853791751,0.165242472
NTD10pp,0.750755012,1.33923132,2.827941712,0.184082131
NTD1pp,0.373908656,1.289831762,2.834212639,0.167396996
NTD2pp,0.750755012,1.33923132,2.85028369,0.134304441
NTD3pp,0.373908656,1.289831762,2.858424839,0.108656468
NTD4pp,0.750755012,1.33923132,2.811480857,0.237479843
NTD5pp,0.373908656,1.289831762,2.804801036,0.269917886
NTD6pp,0.373908656,1.289831762,2.841724037,0.153168979
NTD7pp,0.750755012,1.33923132,2.854603705,0.109403604
NTD9pp,0.750755012,1.33923132,2.859637242,0.111428894
PEAMNOpp,0.630786822,0.765545597,1.3157781,0.014581257
ARGDCpp,0.021110212,0.946096727,0.914739653,0.26853425
ALLPI,2.949177994,1.256079006,4.620578766,0.199088115
ALLPI_REV,2.949177994,1.256079006,4.584026029,0.197745725
GPDDA3pp,0.447158031,0,0.447158031,1.67E-16
GPDDA4pp,0.51851394,0,0.51851394,2.22E-16
GPDDA2pp,-0.298231191,1.391558698,1.684903189,0.759027422
HCYSMT2,-0.420216403,1,-0.420216403,1
ACGK,1.630278953,0.023897588,1.643183651,0.020113764
GLBRAN2,-0.823908741,1,-0.823908741,1
ASR,-0.807502733,0.215967783,-0.5929151,0.142418836
FALDH2,-0.193950362,1.04133523,1.518074181,1.032754016
FALDH2_REV,-0.193950362,1.04133523,1.175159704,1.127509449
CBIAT,-1.79866742,0.401450735,-1.30253427,0.120003006
CBIAT_REV,-1.79866742,0.401450735,-1.313714087,0.122168294
PPA2,1.726964796,2.170662295,2.595229714,1.989444855
3NTD7pp,0.521727566,0.761018435,1.007898765,0.066393961
3NTD4pp,0.521727566,0.761018435,1.019460871,0.040687189
3NTD2pp,0.521727566,0.761018435,1.015667769,0.048588526
3NTD9pp,0.521727566,0.761018435,1.017119697,0.04861243
23PDE7pp,0.407505908,1.049145085,1.564037415,0.353448612
HSTPT,0.305900442,1.886202933,3.14263376,0.56255468
MEPCT,0.842422681,0.842422681,1.381573197,0.64729645
GLUDy,0.522444234,1,0.522444234,1
GLUDy_REV,2.26245109,1,2.26245109,1
GLYCLTDy,5.380813592,0.5,5.710813592,0.375632799
LYSDC,1.477121255,1,1.477121255,1
NTPP5,1.80559603,0.172127575,1.888217266,0.151002097
ATPM,-0.083851366,1.09829463,2.569840368,0.202834784
NADPPPS,1.092264763,1.429891131,4.004376223,0.576631222
NTD3,0.373908656,1.289831762,2.824360524,0.213738467
GLYOX,2.596487134,1,2.596487134,1
GTPDPDP,0.320400363,0.832561083,1.019146484,0.042049874
RNDR2,1.11058971,1,1.11058971,1
XAND,1.503515003,0.781982732,1.965952249,0.396659592
HACD3,-0.468578575,2.6229202,2.420448264,2.755920146
HACD3_REV,-0.468578575,2.6229202,2.876051499,2.609245055
NNDMBRT,1.181787185,1.011878308,1.899861845,0.547956067
OMCDC,1.238397799,0.63434025,2.010767735,0.055855468
ABUTD,0.852461997,0.867499855,2.240349715,0.332956818
E4PD,2.301029996,1,2.301029996,1
E4PD_REV,2.26445835,0.036571646,2.28201274,0.032083152
DADK,0.821108565,1.690774796,1.734126955,1.423065997
DADK_REV,0.821108565,1.690774796,1.734126955,1.423065997
DUTPDP,1.310625112,0.678801231,1.87729251,0.163861121
NTP5,-0.310561357,0.335542736,0.193258097,0.046838317
MTAN,0.062766809,1.04864875,1.267357827,0.102885897
DPR,1.397940009,1,1.397940009,1
DHFR,1.264604724,0.630232335,2.076222658,0.164939164
DHFR_REV,1.268179124,0.94148526,2.275206677,0.087704714
PRAIi,1.630698201,0.425189317,1.979157152,0.238757992
TYRTA,1.674345054,1.362070744,3.170761642,0.439079
TYRTA_REV,1.986101419,0.839973384,2.540483852,0.631043107
SHKK,1.554282512,0.223868739,1.657262132,0.198777287
GLUSy,1.50475881,0.078084768,1.579075011,0.057638317
GUAPRT,0.52481939,1.370426863,1.961726373,0.336906875
PDH,0.66137168,1.56162995,2.340113008,0.778469145
NTD8,0.373908656,1.289831762,2.789095158,0.32385644
GALCTD,0.452603835,0.841597954,1.133995147,0.287018922
MLTG4,1.692128794,0.654653138,2.499983628,0.233550612
UDPGDC,-0.520002581,0.025152559,-0.507426301,0.021782755
PUNP4,1.693262912,0.351590172,1.986450577,0.188490228
PUNP4_REV,1.294299518,1.355893627,4.284589733,0.247405424
AMAOTr,-0.688129435,0.712690409,-0.040840871,0.096344169
AMAOTr_REV,-0.959655046,0.837404756,-0.147280712,0.325710056
NTD11pp,0.750755012,1.33923132,2.83037245,0.201540034
ACGS,-0.657577319,1,-0.657577319,1
PDE1,-2.73099577,0.352180248,-2.340582767,0.202877968
ALAALAr,0.920341601,0.673315436,1.549593921,0.331890389
ALAALAr_REV,0.800791754,0.594807091,1.546037863,0.270017717
ACACT1r,3.401734788,2.334710817,5.194250462,2.245881056
ACACT1r_REV,3.401734788,2.334710817,5.395084031,2.14453169
SUCOAS,1.316141065,0.497481926,1.769158883,0.114238476
SUCOAS_REV,2.303196057,1,2.303196057,1
NTP1,-0.083851366,1.09829463,2.581910009,0.158227019
GALKr,1.290496682,0.873856174,1.727424769,0.756781646
GALKr_REV,0.198680476,1.179134641,2.080727724,0.345055072
PANTS,0.235183501,0.148752487,0.399985484,0.171582692
DHQS,1.424333757,2.135997409,3.010315446,1.939312195
PGCD,2.706069058,0.732348641,3.474625874,0.221949067
ADSL1r,-0.304784237,0.517422543,0.064382892,0.283841581
ADSL1r_REV,-0.304784237,0.517422543,0.074620559,0.333873288
SERD_D,1.195899652,1,1.195899652,1
PFK,1.77815125,1,1.77815125,1
PGM,3.505149978,0,3.505149978,1.33E-15
PGM_REV,3.505149978,0,3.505149978,1.33E-15
TPI,2.86332286,1,2.86332286,1
TPI_REV,3.954651726,0.708903733,4.639033151,0.316074389
RPI,2.949177994,1.256079006,4.624493867,0.173925928
RPI_REV,4.596926814,1,4.596926814,1
PERD,0.146128036,1,0.146128036,1
PERD_REV,0.075366018,0.057727155,0.130668577,0.029435565
PYDAMK,-0.15490196,1,-0.15490196,1
FADRx2,1.271222315,0.778101654,1.834760744,0.03441614
PDE4,-2.659312521,0.359647352,-2.333834921,0.191124894
ATHRDHr,0.760422483,1,0.760422483,1
ATHRDHr_REV,0.537269985,0.228072842,0.789155901,0.051902358
LSERDHr,0.62324929,1,0.62324929,1
LSERDHr_REV,0.691835887,0.068586597,0.730244381,0.056823488
OBTFL,0.871848933,0.235361037,0.984822231,0.206474821
MMCD,-1.420216403,1,-1.420216403,1
GLNS,0.477121255,1,0.477121255,1
GTHS,0.644977213,0.019664762,0.65520289,0.016796976
AMALT2,1.929418926,0.698970004,2.362780328,0.54841313
MLTP1,1.219603923,0.406358604,1.584166995,0.240873345
MLTP1_REV,0.77815125,1,0.77815125,1
HXAND,-0.124938737,1,-0.124938737,1
UDPGPpp,1.939500412,0.650482733,2.866736245,0.41070088
PPPGO,-1.882728704,1,-1.882728704,1
CYSSADS,1.179172291,1.158526461,2.099573889,0.878739197
CPPPGO2,2.954242509,1,2.954242509,1
SUCBZL,0.418301291,0,0.418301291,5.55E-17
CYSDDS,1.857332496,1,1.857332496,1
LALDO3,-0.070581074,1,-0.070581074,1
NTP10,0.009198071,0.126713549,0.121176472,0.09494968
GPDDA4,0.51851394,0,0.51851394,2.22E-16
LPLIPAL2E180,3.08892253,0.147150479,3.206835736,0.135817881
AACPS6,-1.795880017,1,-1.795880017,1
IPDDI,0.545851061,0.70700197,0.998332322,0.543242574
IPDDI_REV,0.545851061,0.70700197,0.913492085,0.603897229
PLIPA1E160pp,-1.244125144,1,-1.244125144,1
AACPS8,-1.795880017,1,-1.795880017,1
HXCT,2.462397998,1,2.462397998,1
DURADx,-0.187086643,1,-0.187086643,1
DURADx_REV,-0.193820026,1,-0.193820026,1
G1PPpp,2.114776932,0.04659107,2.141799753,0.037953853
HISTP,1.84648199,1.400502641,2.9452677,0.759579314
LDH_D,1.993723037,0.874653057,3.895844782,0.624472926
LDH_D_REV,2.452715221,0.850173095,3.755270322,0.903406255
AMALT4,1.912648132,0.570225451,2.163547331,0.512061185
NTD11,0.750755012,1.33923132,2.844887354,0.155179812
ORNDC,-0.249696479,0.694296818,0.744716029,0.198787231
KAS15,-1.255724642,1.899177318,-0.192185344,1.573454368
3OAS161,-1.096910013,1,-1.096910013,1
EAR141y,1.130783926,0.846561996,2.038149045,0.233826639
EAR161x,0.706171054,1.057906526,1.845046177,0.179414093
FACOAE180,-0.926425944,1.544462916,1.54483109,0.785114051
FACOAE100,-0.926425944,1.544462916,1.627071074,0.649252603
3OAS141,-1.096910013,1,-1.096910013,1
3OAR121,0.879769383,0.851490296,1.882863199,0.3252752
CFAS160G,1.17121134,0.82878866,1.535878351,0.74425037
ALAALAD,0.838535425,1.608408752,2.781025425,0.219145926
PGPP160pp,1.380211242,1,1.380211242,1
PGPP180pp,1.380211242,1,1.380211242,1
PLIPA1E180pp,-1.244125144,1,-1.244125144,1
ACGAM1PPpp,1.659512942,0.47843008,2.120420554,0.050792411
AACTOOR,0.630786822,0.765545597,1.314233641,0.019327296
FMNRx,1.190331698,1,1.190331698,1
DHBS,0.740362689,1,0.740362689,1
MDDCP1pp,0.17608009,1.042280726,2.280018751,0.416184449
GUI2,0.380211242,1,0.380211242,1
GUI2_REV,1.129490219,0.8335496,1.856594072,0.718452172
GLYCK,2.544068044,1,2.544068044,1
MLTG5,1.692128794,0.654653138,2.453687415,0.297971223
GPDDA3,0.447158031,0,0.447158031,1.67E-16
SFGTHi,1.45484486,1,1.45484486,1
DHORDfum,1.313631708,0.882267944,1.719474963,0.783382396
THIORDXi,0.505149978,1,0.505149978,1
PPPGO3,-1.882728704,1,-1.882728704,1
PDX5POi,-1.059593204,0.940406796,-0.608197942,0.824989248
LPLIPAL2A141,3.08892253,0.147150479,3.201062268,0.138040701
EAR141x,0.706171054,1.057906526,1.871738758,0.168952921
EAR181x,0.706171054,1.057906526,1.881567006,0.155592951
EAR181y,1.130783926,0.846561996,2.019339716,0.238699392
FACOAE120,-0.926425944,1.544462916,1.612269816,0.655622861
3OAR120,0.879769383,0.851490296,1.900244402,0.308780555
3OAR120_REV,0.879769383,0.851490296,1.940895648,0.246780104
EAR180x,0.706171054,1.057906526,1.884875714,0.146489959
EAR180y,1.130783926,0.846561996,2.06620521,0.180639483
PGPP120,1.380211242,1,1.380211242,1
LALDO2x,5.066785843,0.549846037,5.763734747,0.194698757
ACONTb,0.716003344,1,0.716003344,1
ACONTb_REV,0.041392685,1,0.041392685,1
GLCP2,1.308552615,0.394738763,1.513816772,0.337172533
ASNS1,0.626125455,0.157778124,0.69554783,0.141684404
3OAR181,0.879769383,0.851490296,1.917625605,0.29031482
EAR121y,1.130783926,0.846561996,2.064071992,0.171386061
GTHRDHpp,1.095169351,1,1.095169351,1
MDDCP2pp,0.17608009,1.042280726,2.282331354,0.473474072
MDDCP3pp,0.17608009,1.042280726,2.236970014,0.496404114
3OAS181,-1.562915593,0.145005088,-1.357867244,0.057133917
EAR161y,1.130783926,0.846561996,2.057754618,0.180791721
MLDCP1App,2.204119983,1,2.204119983,1
EAR160y,1.130783926,0.846561996,2.068113355,0.170786783
3OAR141,0.879769383,0.851490296,1.90795353,0.302959112
3OAR161,0.879769383,0.851490296,1.911879423,0.290162246
EAR121x,0.706171054,1.057906526,1.851884618,0.202004729
LPLIPAL1A141pp,3.08892253,0.147150479,3.210574209,0.133171376
LPLIPAL1A180pp,3.08892253,0.147150479,3.211000078,0.132449292
ACONTa,0.72427587,1,0.72427587,1
ACONTa_REV,0.716003344,1,0.716003344,1
MLDCP2App,2.204119983,1,2.204119983,1
PGPP120pp,1.380211242,1,1.380211242,1
PGPP181pp,1.380211242,1,1.380211242,1
MDDCP5pp,0.17608009,1.042280726,2.274130852,0.431178093
MLDCP2Bpp,2.204119983,1,2.204119983,1
3OAR140,0.879769383,0.851490296,1.909916477,0.29663619
3OAR140_REV,0.879769383,0.851490296,1.931223573,0.262396813
3OAR160,0.879769383,0.851490296,1.931223573,0.262396813
3OAR160_REV,0.879769383,0.851490296,1.931223573,0.262396813
PGPP160,1.380211242,1,1.380211242,1
PGPP180,1.380211242,1,1.380211242,1
PGPP161,1.380211242,1,1.380211242,1
PGPP181,1.380211242,1,1.380211242,1
MDDCP4pp,0.17608009,1.042280726,2.256676028,0.417146375
CFAS160E,1.17121134,0.82878866,1.734787629,0.607677883
CFAS180E,1.17121134,0.82878866,1.535878351,0.74425037
CFAS180G,1.17121134,0.82878866,1.618757217,0.697562421
3OAR60,0.879769383,0.851490296,1.969911872,0.189533185
3OAR60_REV,0.879769383,0.851490296,1.950567723,0.229699051
3OAR80,0.879769383,0.851490296,1.950567723,0.229699051
3OAR80_REV,0.879769383,0.851490296,1.931223573,0.262396813
MLDCP3App,2.204119983,1,2.204119983,1
MLDCP1Bpp,2.204119983,1,2.204119983,1
LPLIPAL2E160,3.08892253,0.147150479,3.214312681,0.130364035
PGPP161pp,1.380211242,1,1.380211242,1
EAR160x,0.706171054,1.057906526,1.862397642,0.176164394
3OAS121,-1.096910013,1,-1.096910013,1
3OAR40,0.879769383,0.851490296,1.921551498,0.276797141
3OAR40_REV,0.879769383,0.851490296,1.931223573,0.262396813
3OAR100,0.879769383,0.851490296,1.921551498,0.276797141
3OAR100_REV,0.879769383,0.851490296,1.969911872,0.189533185
3OAS180,-1.096910013,1,-1.096910013,1
LPLIPAL1A120pp,3.08892253,0.147150479,3.202765745,0.135344981
LPLIPAL1A140pp,3.08892253,0.147150479,3.222121144,0.127400179
3OAR180,0.879769383,0.851490296,1.902207348,0.302629315
3OAR180_REV,0.879769383,0.851490296,1.871228177,0.340998606
NADHPO,1.872385418,0.048259584,1.89651521,0.041794025
NADH16pp,2.19699124,0.941460855,3.077366501,0.172812387
NADH18pp,2.19699124,0.941460855,3.041026702,0.190834209
OXCDC,1.863835682,0.080646991,1.907385057,0.067877751
LPLIPAL2A140,3.08892253,0.147150479,3.222121144,0.127400179
LPLIPAL2A160,3.08892253,0.147150479,3.213886812,0.131108366
LPLIPAL2A180,3.08892253,0.147150479,3.212609204,0.133308262
PLIPA1A120pp,-1.244125144,1,-1.244125144,1
PLIPA1A140pp,-1.244125144,1,-1.244125144,1
PLIPA1A141pp,-1.244125144,1,-1.244125144,1
PLIPA1A160pp,-1.244125144,1,-1.244125144,1
PLIPA1A180pp,-1.244125144,1,-1.244125144,1
LPLIPAL2A120,3.08892253,0.147150479,3.210148339,0.133888211
NADH17pp,2.19699124,0.941460855,3.039179257,0.198600283
DTARTD,1.29666519,1,1.29666519,1
LPLIPAL1A160pp,3.08892253,0.147150479,3.210574209,0.133171376
THRA,0.271841607,1,0.271841607,1
GLDBRAN2,-0.823908741,1,-0.823908741,1
HACD8,-0.468578575,2.6229202,2.755691931,2.664041111
HACD8_REV,-0.468578575,2.6229202,2.689525743,2.697924213
CTECOAI8,1.799340549,1,1.799340549,1
CTECOAI8_REV,1.799340549,1,1.799340549,1
CTECOAI6,1.799340549,1,1.799340549,1
CTECOAI6_REV,1.799340549,1,1.799340549,1
CDGR,-1.000886311,0.177690899,-0.866208023,0.028836059
MSAR,-0.677780705,0,-0.677780705,2.22E-16
SHCHCS3,2.195016903,0.027699568,2.20609673,0.025387074
SEPHCHCS,-0.761246524,0.313589623,-0.572931541,0.105971763
FORCT,0.66621923,0.032750774,0.685214679,0.02667932
FORCT_REV,0.654779857,0.026756202,0.679814552,0.023139564
HADPCOADH3,-0.468578575,2.6229202,3.055017181,2.58652114
HADPCOADH3_REV,-0.468578575,2.6229202,3.079340677,2.54481745
CTECOAI7,1.799340549,1,1.799340549,1
CTECOAI7_REV,1.799340549,1,1.799340549,1
EPMEACPR,1.130783926,0.846561996,2.025224015,0.282274486
AOXSr2,-1.688375355,0.466526605,-1.44578152,0.398491286
EGMEACPR,1.130783926,0.846561996,2.055478607,0.189249464
PMEACPE,0.789584822,0.38652961,1.180857331,0.157827283
CDGS,0.73239376,1,0.73239376,1
THFAT,1.223488785,0.118439857,1.309523563,0.016781287
FOMETRi,1.223488785,0.118439857,1.310953578,0.015435721
GDPTPDP,0.477121255,1,0.477121255,1
LIPATPT,-0.835920373,0.297210743,-0.611404255,0.041203125
ALDD19xr,1.985875357,1,1.985875357,1
ALDD19xr_REV,0.477972764,1.378110655,1.875354548,0.168142251
3OXCOAT,0.892094603,1,0.892094603,1
APCS,0.251076946,1.104948911,0.759353445,0.981105038
GHBDHx,3.123524981,1,3.123524981,1
GHBDHx_REV,3.123524981,1,3.123524981,1
APPLDHr,-1.698970004,1,-1.698970004,1
APPLDHr_REV,-1.698970004,1,-1.698970004,1
DHNPA2r,-1.662173103,0.516260855,-1.078950541,0.105812315
DHNPA2r_REV,-1.662173103,0.516260855,-1.079409251,0.069471035
PYK2,3.505692507,1,3.505692507,1
PYK3,3.505692507,1,3.505692507,1
PYK4,3.505692507,1,3.505692507,1
DHPTDNR,1.301029996,1,1.301029996,1
DHPTDNRN,1.301029996,1,1.301029996,1
PCNO,1.77815125,0.102012051,1.859361429,0.07149946
PCNO_REV,1.77815125,0.102012051,1.864358979,0.060424383
CYSTA,1.755272505,0.323908741,1.9366614,0.268355997
ACOAD1f,0.301029996,1,0.301029996,1
QUINDH,1.57634135,1,1.57634135,1
SHCHD2,0.985422607,1.0766443,3.710333081,0.363107355
G5SD,0.964934541,1.109275369,4.590522696,0.599952983
APRAUR,1.181547501,1.248296108,5.727148253,0.263397001
DB4PS,-0.348280178,1.345764926,1.585934948,0.160018624
UPPDC1,0.95144274,1.210426259,3.759830438,0.205683871
IMPC,0.358726717,1.359273849,2.739399113,0.116280855
IMPC_REV,0.358726717,1.359273849,2.729726646,0.142448135
ECOAH4,1.367653533,1.738420325,6.519583916,0.273701799
ECOAH4_REV,1.367653533,1.738420325,6.497842108,0.291221137
TMPPP,-0.279806329,1.561710059,2.903465034,0.0724408
IPPMIb,1.367653533,1.738420325,6.339600049,0.377712515
IPPMIb_REV,1.367653533,1.738420325,6.363100971,0.392281081
ECOAH6,1.367653533,1.738420325,6.534144972,0.260205211
ECOAH6_REV,1.367653533,1.738420325,6.585208449,0.197515785
PGL,1.244968471,1.456722069,4.440185618,0.239759972
TKT1,0.09158016,1.228029713,2.028512973,0.113433117
TKT1_REV,1.113943352,1,1.113943352,1
FMNAT,0.409691186,1.167472543,2.747517526,0.182065059
PTRCTA,0.710828841,1.014162965,2.438070445,0.036921175
DHAD2,1.367653533,1.738420325,6.299234034,0.375304918
FRD3,1.454902359,0.738005881,2.318255199,0.419195933
MOAT,0.380197967,0.9585964,1.695509637,0.088184136
USHD,0.702544969,1.380360975,3.731203546,0.285050909
LPADSS,1.029222445,1.003243657,3.194688123,0.236798616
TMDK1,0.505632993,1.069647604,3.965686376,0.02120704
PPCDC,0.95144274,1.210426259,3.762170654,0.191865209
FTHFD,1.088424481,1.223249557,3.926729334,0.211214191
EDD,1.367653533,1.738420325,6.347020915,0.373292586
DHAD1,1.367653533,1.738420325,6.335193958,0.3815584
IPPMIa,1.367653533,1.738420325,6.385851117,0.351364153
IPPMIa_REV,1.367653533,1.738420325,6.375986072,0.367188684
G3PD7,1.168718563,1.286201015,3.358327118,0.386634359
GLCS1,1.029222445,1.003243657,3.210693695,0.228209546
HEMEOS,-0.039383997,0.411746633,0.327691903,0.128180446
AGMT,0.450648218,1.116911026,1.175542931,0.640942205
ARGSS,0.376886893,1.47484136,5.197767617,1.279995926
AGPR,2.51851394,1,2.51851394,1
AGPR_REV,0.964934541,1.109275369,4.602074331,0.600387382
ALTRH,1.367653533,1.738420325,6.349535577,0.381232556
MACPD,-1.096910013,1,-1.096910013,1
DMQMT,-0.949969403,1.806388936,2.060082372,0.420945812
DNMPPA,0.702544969,1.380360975,3.842549423,0.15438166
HEX7,0.505632993,1.069647604,3.966929555,0.017404502
OPHBDC,0.95144274,1.210426259,3.760191765,0.188753867
OHPHM,-0.949969403,1.806388936,1.999526897,0.536430707
INSK,0.505632993,1.069647604,3.941675313,0.06080575
HEX4,-0.677780705,0,-0.677780705,2.22E-16
PYDXPP,0.925689517,1.414702113,6.086828689,1.063743422
PDXPP,0.925689517,1.414702113,6.221502066,1.016008147
ECOAH1,1.367653533,1.738420325,6.621611091,0.124196511
ECOAH1_REV,1.367653533,1.738420325,6.607000145,0.158893525
ECOAH2,1.367653533,1.738420325,6.541325723,0.253120894
ECOAH2_REV,1.367653533,1.738420325,6.54147539,0.252749
ECOAH3,1.367653533,1.738420325,6.526864444,0.267138016
ECOAH3_REV,1.367653533,1.738420325,6.504030438,0.288067118
CDPMEK,0.505632993,1.069647604,3.959947038,0.034675439
CMPN,-0.069193038,1.517500238,3.351932308,0.773235622
UDPG4E,1.73805555,1.474252424,4.571631298,0.314887814
UDPG4E_REV,1.73805555,1.474252424,4.620708757,0.3401018
CINNDO,0.444200516,1.366257467,3.077385069,0.351884716
DHPPD,0.985422607,1.0766443,3.703103404,0.377139884
DHCIND,0.985422607,1.0766443,3.63861845,0.420042703
CITL,0.442116082,1.07079873,2.65428565,0.156700517
SADT2,0.409691186,1.167472543,2.776536732,0.166593012
LCARS,1.181547501,1.248296108,5.755801267,0.201390321
LCARS_REV,1.181547501,1.248296108,5.792314534,0.177152457
SBTPD,1.181547501,1.248296108,5.778510713,0.177319726
SBTPD_REV,1.181547501,1.248296108,5.736117351,0.239039696
GLTPD,1.181547501,1.248296108,5.863951372,0.067055792
GLTPD_REV,1.181547501,1.248296108,5.85886427,0.077592123
MANAO,1.181547501,1.248296108,5.798412969,0.176817568
MANAO_REV,1.181547501,1.248296108,5.788981724,0.169867384
TAGURr,1.181547501,1.248296108,5.768197116,0.16624189
TAGURr_REV,1.181547501,1.248296108,5.759261741,0.196391286
TARTD,1.367653533,1.738420325,6.327058084,0.385285474
EDTXS2,0.269073681,1.492070235,6.217086394,0.825922026
RZ5PP,0.925689517,1.414702113,5.944892761,1.110777043
AMANK,0.505632993,1.069647604,3.949440226,0.051672212
ACMAMUT,1.029222445,1.003243657,3.127814522,0.26988014
DDGALK,0.505632993,1.069647604,3.966929555,0.017404502
AADDGT,1.029222445,1.003243657,3.181269803,0.237762128
ALLTN,1.276686067,1.335282043,3.807342821,0.075362395
UAPGR,0.985422607,1.0766443,3.694281557,0.375386253
CRNBTCT,1.221175532,0.938056209,2.428577394,0.075504664
CRNBTCT_REV,1.221175532,0.938056209,2.436344806,0.084066478
CRNCBCT,1.221175532,0.938056209,2.429611002,0.105484878
CRNCBCT_REV,1.221175532,0.938056209,2.436370151,0.076495374
CRNCDH,1.367653533,1.738420325,6.443745114,0.339536646
CRNCDH_REV,1.367653533,1.738420325,6.364551944,0.36643042
HBZOPT,-0.279806329,1.561710059,2.921286946,0.021903506
HETZK,0.505632993,1.069647604,3.940432135,0.061492845
AST,0.249457273,0.964625847,1.081271419,0.782272626
SGDS,1.088424481,1.223249557,3.906802656,0.214958743
CYNTAH,1.367653533,1.738420325,6.425530271,0.353485091
GSPMDS,-0.598686969,0.86164801,0.751536481,0.075479329
GUAD,1.117258642,0.598744702,1.332806734,0.558600249
FRUK,0.505632993,1.069647604,3.942061094,0.06964423
X5PL3E,1.73805555,1.474252424,4.575407239,0.293278211
DOGULNR,1.181547501,1.248296108,5.79032871,0.166827856
GSNK,0.505632993,1.069647604,3.939427366,0.147926051
ADCL,0.442116082,1.07079873,2.668378338,0.149388341
DHAPT,0.98815659,1.531418888,2.700457708,1.110921816
DURIK1,0.505632993,1.069647604,3.964137357,0.03257104
F6PA,1.409933123,1,1.409933123,1
F6PA_REV,0.742670014,1.647529993,3.652902865,0.332520873
AGMHE,1.73805555,1.474252424,4.630910065,0.26709106
GMHEPAT,0.409691186,1.167472543,2.740074935,0.178371143
IDOND,1.181547501,1.248296108,5.851422883,0.076752768
IDOND_REV,1.181547501,1.248296108,5.862776247,0.05130637
IDOND2,1.181547501,1.248296108,5.800214176,0.151335565
DMPPS,0.842909248,0.991679261,2.725529555,0.496074544
IPDPS,0.842909248,0.991679261,2.656716375,0.515732882
DHDPRy,0.985422607,1.0766443,3.681889565,0.389096408
TDPADGAT,0.561078692,1.304113758,2.836960952,0.248820584
M1PD,1.181547501,1.248296108,5.756870954,0.23428426
M1PD_REV,1.181547501,1.248296108,5.778672161,0.151949259
G3PD2,1.181547501,1.248296108,5.758090276,0.224979708
G3PD2_REV,1.181547501,1.248296108,5.775988602,0.174257665
FCLK,0.505632993,1.069647604,3.939433662,0.080531447
ACCOAL,0.781890829,1.13725516,3.353768297,0.702459128
UAMAGS,0.61956431,1.087220886,3.830406144,0.367701118
UGLYCH,0.935658111,1.304652564,3.896058742,0.205875408
3HPPPNH,0.131151703,1.025400395,3.472641554,0.69026163
UGMDDS,0.61956431,1.087220886,3.896454533,0.008276419
PRATPP,0.702544969,1.380360975,3.738846124,0.281200954
ASCBPL,1.244968471,1.456722069,4.436071573,0.235684128
