gene,rxnID,RMSE,ERROR
YJL097W,r_2169_rvs,2.706823456,0.005087062
YNR008W,r_2995_fwd,2.707268714,0.005252394
YAR071W,r_0116_2,2.678914474,0.005275992
YPL262W,r_0452_rvs,2.678827165,0.005308411
YNR008W,r_2962_rvs,2.707613073,0.00538026
YBR149W,r_0321,2.678600185,0.005392692
YDR377W,r_0226_2,2.678538239,0.005415694
YOL061W,r_0916_4,2.707862616,0.005472919
YDR072C,r_3355,2.6783765,0.00547575
YFL055W,r_1190_1_fwd,2.678240567,0.005526224
YDR046C,r_1224_4_fwd,2.678044061,0.00559919
YGR046W,r_4251_fwd,2.70832214,0.005643548
YGR177C,r_0161_1,2.708485621,0.005704251
YOR011W,r_1278_2_fwd,2.677699667,0.005727069
YDR508C,r_1935,2.708800046,0.005821002
YKR093W,r_4429_2_rvs,2.708993385,0.005892792
YML056C,r_0565_3,2.709014722,0.005900714
YPR140W,r_2647_fwd,2.709059488,0.005917337
YOL011W,r_3081,2.709067672,0.005920375
YDR072C,r_3408,2.676975392,0.005996004
YDR508C,r_1658,2.709529769,0.00609196
YNL267W,r_2842,2.709764301,0.006179045
YHR063C,r_0019,2.676346875,0.006229382
YNR008W,r_2889_fwd,2.71004899,0.006284755
YNR008W,r_3010_fwd,2.676010469,0.006354295
YBR068C,r_1223_1_rvs,2.710285991,0.006372757
YNL331C,r_4180_4_rvs,2.71034394,0.006394274
YBR145W,r_4670_1,2.710352511,0.006397457
YFR033C,r_0439_1,2.675667766,0.006481546
YDR242W,r_4230_rvs,2.710676588,0.006517792
YBR161W,r_0747_1,2.675513238,0.006538925
YHL036W,r_1214_6_rvs,2.675465767,0.006556552
YCR107W,r_4180_1_fwd,2.675416836,0.006574721
YOL020W,r_1219_5_fwd,2.675211179,0.006651084
YHR051W,r_0438_3,2.711092566,0.006672251
YMR296C,r_0993_2,2.711151511,0.006694139
YBL099W,r_0226_1,2.675014776,0.006724012
YDL236W,r_4220_fwd,2.674943111,0.006750622
YIL048W,r_3898_rvs,2.711636383,0.006874179
YMR189W,r_0506,2.711831213,0.006946523
YPR140W,r_2774_fwd,2.711920937,0.006979839
YHR137W,r_4660_fwd,2.6743003,0.006989309
YNL101W,r_1198_2,2.673968051,0.007112678
YMR165C,r_2350,2.673954586,0.007117677
YLR027C,r_1065,2.712602068,0.007232754
YMR208W,r_0735,2.712970404,0.007369523
YNR008W,r_2893_rvs,2.673067106,0.007447213
YKL004W,r_3467,2.713709547,0.007643979
YNL270C,r_1184_3_rvs,2.67246177,0.007671984
YDR135C,r_1168_1_rvs,2.71378872,0.007673377
YMR110C,r_4302_fwd,2.672263859,0.007745472
YEL041W,r_0771_1,2.672150456,0.00778758
YHL012W,r_1084_1_fwd,2.671799225,0.007917998
YBR204C,r_3295_1,2.671704352,0.007953226
YCR048W,r_2394_1,2.714547718,0.007955205
YDR367W,r_3431,2.671441717,0.008050746
YKL004W,r_3489,2.671278158,0.008111479
YMR189W,r_0501,2.671198141,0.00814119
YBR018C,r_1071_rvs,2.715075142,0.008151046
YGR240C,r_0886_2,2.671151232,0.008158608
YOR100C,r_1882,2.715100948,0.008160628
YCL025C,r_1199_1_fwd,2.67094242,0.008236143
YOR317W,r_2202_2_rvs,2.71536603,0.008259057
YMR298W,r_0263_2,2.715425496,0.008281138
YPR140W,r_2630_fwd,2.715427638,0.008281933
YPL104W,r_0221,2.715492124,0.008305878
YER019W,r_0611,2.715709602,0.008386631
YDR173C,r_0573,2.670508295,0.008397341
YBR180W,r_1228,2.716140079,0.008546474
YGR287C,r_0198_2,2.716146775,0.00854896
YBR205W,r_0192_2,2.716197894,0.008567942
YMR318C,r_4672_3,2.669943576,0.00860703
YIR037W,r_0483_5,2.716351114,0.008624835
YDR148C,r_0505_2,2.716476494,0.00867139
YMR110C,r_4292_fwd,2.716492175,0.008677213
YOR317W,r_2198_2_rvs,2.716717224,0.008760777
YMR101C,r_0294_2_fwd,2.669519011,0.008764678
YKL141W,r_1021_2_rvs,2.669519011,0.008764678
YDR352W,r_4161_2_rvs,2.669519011,0.008764678
YJR155W,r_4177_3_rvs,2.669519011,0.008764678
YLR446W,r_4283,2.669519011,0.008764678
YDR196C,r_0334,2.716897987,0.008827898
YPL147W,r_1236_fwd,2.717008719,0.008869014
YOR163W,r_0082,2.669048165,0.008939511
YNR072W,r_4395_14_rvs,2.66882775,0.009021354
YJR158W,p_5228_12_rvs,2.717431426,0.009025972
YDL142C,r_2558,2.717488206,0.009047055
YNR019W,r_2386_2,2.668691806,0.009071832
YFL018C,r_0507,2.717879948,0.009192515
YDR342C,r_2041_1,2.717929246,0.009210821
YMR162C,r_3818_2_fwd,2.668302738,0.0092163
YKR009C,r_2249,2.668283788,0.009223336
YGR209C,r_0883_1,2.668171694,0.009264958
YKL188C,r_2219,2.718472829,0.009412662
YNL101W,r_1222_2,2.667449675,0.009533056
YDL219W,r_4219_rvs,2.667299208,0.009588927
YGL062W,r_0958_2,2.667266792,0.009600963
YDL168W,r_0186_2,2.719160551,0.009668024
YAL060W,r_0003_fwd,2.719186826,0.00967778
YOR081C,r_2343_3,2.666951446,0.009718056
YGR094W,r_1090,2.719455985,0.009777723
YDL245C,r_1166_1,2.666784318,0.009780113
YMR243C,r_4195_1_rvs,2.719466023,0.009781451
YCR068W,r_3297_1,2.666679437,0.009819057
YML004C,r_0697,2.666335402,0.009946803
YNL219C,r_4314_fwd,2.719939692,0.009957331
YBR196C,r_0467_fwd,2.66629654,0.009961233
YDR367W,r_3436,2.72026987,0.010079932
YLR240W,r_2859,2.66574744,0.010165123
YER019W,r_0609,2.665680571,0.010189952
YLL012W,r_3253_2,2.720762547,0.010262871
YOL086C,r_0169_3,2.720967749,0.010339066
YOR332W,r_1086,2.72109119,0.010384901
YMR110C,r_4292_rvs,2.665138435,0.010391256
YPR140W,r_2662_fwd,2.665023934,0.010433772
YNL331C,r_4180_4_fwd,2.664918003,0.010473106
YNL003C,r_1256_rvs,2.721355638,0.010483095
YOL156W,r_1166_19,2.664824818,0.010507707
YGL104C,r_4168_2_fwd,2.721567135,0.010561627
YFL018C,r_0501,2.721648751,0.010591933
YJR048W,r_0001_2,2.664473202,0.010638268
Q0130,r_0226_2,2.664473202,0.010638268
YMR101C,r_0290_2,2.664473202,0.010638268
YER019W,r_0640,2.664473202,0.010638268
YDR178W,r_1021_1_rvs,2.664473202,0.010638268
YNR019W,r_2375_2,2.664473202,0.010638268
YPR140W,r_2675_fwd,2.664473202,0.010638268
YDR373W,r_2840,2.664473202,0.010638268
YKL212W,r_3174,2.664473202,0.010638268
YBR127C,r_1085,2.664473202,0.010638268
YIL013C,r_1162_1_fwd,2.664473202,0.010638268
YDR508C,r_1211_5_fwd,2.664473202,0.010638268
YKR039W,r_1218_5_rvs,2.664473202,0.010638268
YGR138C,r_1262_1_fwd,2.664473202,0.010638268
YKL188C,r_2227,2.664473202,0.010638268
YDR367W,r_3447,2.664473202,0.010638268
YKL004W,r_3477,2.664473202,0.010638268
YKL120W,r_1574_fwd,2.664473202,0.010638268
YMR162C,r_3813_2_rvs,2.664473202,0.010638268
YBR070C,r_4159_fwd,2.664473202,0.010638268
YOL165C,r_4176_5_fwd,2.664473202,0.010638268
YER042W,r_4186_fwd,2.664473202,0.010638268
YNL335W,r_4210_2_rvs,2.664473202,0.010638268
YPL280W,r_4236_4_fwd,2.664473202,0.010638268
YOR381W,r_4275_6_fwd,2.664473202,0.010638268
YDL245C,r_4395_1_fwd,2.664473202,0.010638268
YFL011W,p_5228_6_fwd,2.664473202,0.010638268
YNL104C,r_0025,2.664390654,0.010668919
YBR298C,r_1227_1,2.721995561,0.010720709
YNR008W,r_3000_fwd,2.664200682,0.010739459
YBR026C,r_2153,2.663729068,0.010914577
YGR177C,r_4690_1,2.722530886,0.010919483
YNR008W,r_2984_fwd,2.663524803,0.010990424
YDR483W,r_0192_3,2.723493852,0.011277048
YGL202W,r_0026_3,2.72367058,0.01134267
YBR069C,r_1205_2_rvs,2.723688893,0.01134947
YNR008W,r_2987_fwd,2.72426833,0.011564624
YJR057W,r_0363,2.724299596,0.011576234
YMR169C,r_4678_2_fwd,2.661903372,0.011592487
YKR076W,r_4208_rvs,2.724571364,0.011677146
YBR092C,r_1032,2.661668914,0.011679545
YDL080C,r_0072,2.661515362,0.011736562
YPR140W,r_2683_fwd,2.661471871,0.01175271
YMR243C,r_4195_1_fwd,2.724815219,0.011767693
YBR002C,r_0293_1,2.66129941,0.011816748
YER019W,r_0645,2.66129941,0.011816748
YKL141W,r_1021_2_fwd,2.66129941,0.011816748
YHR026W,r_1085,2.66129941,0.011816748
YBR293W,r_1212_2,2.66129941,0.011816748
YDR046C,r_1219_3_fwd,2.66129941,0.011816748
YDR367W,r_3480,2.66129941,0.011816748
YBR111C,r_4160_rvs,2.66129941,0.011816748
YCR107W,r_4177_1_rvs,2.66129941,0.011816748
YFL059W,r_4212_1_fwd,2.66129941,0.011816748
YLL051C,r_4276_rvs,2.66129941,0.011816748
YHR094C,p_5228_8_rvs,2.66129941,0.011816748
YER003C,r_0723_rvs,2.661162609,0.011867544
YDR367W,r_3496,2.661094249,0.011892927
YJR019C,r_0849,2.661074754,0.011900166
YLR174W,r_0659_fwd,2.660258462,0.012203269
YJR152W,r_4404_1_rvs,2.726169731,0.012270645
YNR041C,r_0555,2.726439596,0.01237085
YNR008W,r_2911_fwd,2.659764409,0.012386718
YMR208W,r_0738,2.726620054,0.012437857
YER019W,r_0653,2.726633967,0.012443023
YJL100W,r_2824_1,2.659462435,0.012498846
YJR019C,r_0844,2.659410907,0.012517979
YDR456W,r_1258_1_rvs,2.659326713,0.012549242
YPR140W,r_2691_fwd,2.726950408,0.012560523
YLR231C,r_0045,2.659262395,0.012573124
YIL048W,r_3893_fwd,2.659255631,0.012575636
YPR026W,r_0193_1,2.659103954,0.012631956
YPL111W,r_0206,2.65906853,0.012645109
YNR019W,r_0127_2,2.658996225,0.012671958
YNL052W,r_0438_4,2.727401078,0.012727864
YPR140W,r_2755_fwd,2.658594771,0.012821024
YMR261C,r_0195_2,2.728210015,0.013028235
YLR328W,r_0783_2,2.657890828,0.013082409
YIL013C,r_1161_1_fwd,2.65783692,0.013102426
YMR313C,r_3274_3,2.728451601,0.01311794
YOR081C,r_3292_4,2.657707327,0.013150546
YBR041W,r_2214_rvs,2.728583651,0.013166973
YDL015C,r_2181,2.728750027,0.013228751
Q0045,r_0438_2,2.657334023,0.01328916
YPR140W,r_2638_fwd,2.72905973,0.013343748
YKR072C,r_0906_1,2.656770655,0.013498347
YNL219C,r_4313_rvs,2.729837549,0.013632565
YPL040C,r_0666,2.729863157,0.013642074
YHR092C,r_2041_2,2.656224523,0.013701135
YOR317W,r_4679_1_fwd,2.730045157,0.013709653
YDR373W,r_2843,2.73007678,0.013721395
YGR062C,r_0438_5,2.730490949,0.013875183
YFR053C,r_0533_2,2.730542456,0.013894308
YLR160C,r_0680_4,2.730818642,0.01399686
YFL022C,r_0852,2.655100386,0.014118545
YER065C,r_0662,2.731232638,0.014150584
YKR039W,r_1907_fwd,2.731306564,0.014178034
YNR008W,r_2998_fwd,2.731444234,0.014229153
YBR263W,r_0503_rvs,2.654766689,0.014242452
YKR009C,r_2269,2.731497484,0.014248925
YLR172C,r_0359,2.654390348,0.014382194
YNL169C,r_2471,2.654308589,0.014412552
YOR245C,r_2393_3,2.731948309,0.014416324
YLR372W,r_2160,2.732345078,0.014563651
YPR074C,r_1050_2_fwd,2.653877444,0.014572643
YNR008W,r_2965_fwd,2.732390483,0.01458051
YBR029C,r_2442_fwd,2.732592961,0.014655694
YPR140W,r_2798_fwd,2.653555578,0.014692157
YBR084W,r_0733_rvs,2.653358283,0.014765416
YFR019W,r_2879,2.732937071,0.014783467
YLL028W,r_1263_2_rvs,2.653224168,0.014815215
YHL018W,r_4189_rvs,2.653006084,0.014896193
YHR208W,r_1088_rvs,2.652994876,0.014900355
YBR002C,r_0297_1,2.733505778,0.014994637
YBR018C,r_0459,2.733525598,0.015001997
YDR208W,r_2873,2.652612211,0.015042444
YDR072C,r_3377,2.733883412,0.015134859
YNR013C,r_3649_fwd,2.652306585,0.015155928
YDL166C,r_1729_fwd,2.652291677,0.015161464
YMR165C,r_2351,2.652285445,0.015163778
YDR236C,r_0966,2.652085628,0.015237973
YCR048W,r_0127_1,2.734241742,0.015267913
YBR132C,r_1260_1_fwd,2.734380932,0.015319596
YPR140W,r_2633_fwd,2.734561196,0.015386531
YDR343C,r_4395_3_fwd,2.734633127,0.01541324
YBR003W,r_1047,2.651563221,0.015431952
YPL212C,r_1095_4_fwd,2.734767305,0.015463063
YJL052W,r_0486_2_fwd,2.734786345,0.015470132
YJL097W,r_2172_fwd,2.734865972,0.015499699
YPR140W,r_2665_fwd,2.735025791,0.015559043
YFL018C,r_0506,2.735191138,0.015620439
YDR072C,r_3362,2.735260731,0.01564628
YNR008W,r_2893_fwd,2.735519204,0.015742255
YIL048W,r_3818_1_rvs,2.650397846,0.015864674
YKL004W,r_3490,2.650337112,0.015887226
YCR037C,r_1244_2_fwd,2.736016008,0.015926726
YPL188W,r_0766_3,2.650054137,0.015992298
YIL006W,r_1230,2.650045931,0.015995346
YLR410W,r_0092_1,2.736288654,0.016027964
YMR008C,r_3041,2.649940901,0.016034345
YKR009C,r_2276,2.73632045,0.01603977
YCL050C,r_1026,2.649855312,0.016066126
YPR140W,r_2655_fwd,2.649790717,0.01609011
YOL086C,r_4652_3,2.73646347,0.016092876
YNL038W,r_4234_rvs,2.649722198,0.016115553
YPR140W,r_2801_fwd,2.736580998,0.016136516
YOR108W,r_0024_2,2.736654335,0.016163747
YBR192W,r_1130,2.649559389,0.016176006
YDL067C,r_0438_2,2.736695165,0.016178908
YHL036W,r_1214_6_fwd,2.736772684,0.016207692
YGR244C,r_1022,2.736965917,0.016279443
YLL062C,r_0544_1,2.649275858,0.016281286
YDR272W,r_0553,2.737071983,0.016318826
YDR367W,r_3441,2.737095463,0.016327545
YCL025C,r_1183_2_rvs,2.649025511,0.016374244
YBL011W,r_2313_1,2.737254916,0.016386752
YBR097W,r_2854,2.648707831,0.016492204
YPL057C,r_0752_2,2.648573884,0.01654194
YOR011W,r_1147_2_fwd,2.737903121,0.016627441
YBR069C,r_1224_2_fwd,2.738088562,0.016696299
YDL168W,r_4670_2,2.73908824,0.017067495
YBR029C,r_2432_rvs,2.647125483,0.017079755
YLR345W,r_0448_1,2.739249661,0.017127433
YOR360C,r_0035,2.739304365,0.017147746
YDL120W,r_4217_rvs,2.739311729,0.01715048
YGR157W,r_2493_1,2.739388792,0.017179095
YPR140W,r_2810_fwd,2.739827394,0.017341955
YLR359W,r_0152_fwd,2.645933735,0.01752227
YPR140W,r_2631_rvs,2.645905689,0.017532684
YEL063C,r_1238_1_rvs,2.740369693,0.017543319
YJR133W,r_1091,2.740480832,0.017584587
YDL245C,r_1717_1_rvs,2.740624741,0.017638023
YBR293W,r_1221_1,2.645596052,0.017647657
YOL165C,r_4180_5_fwd,2.740845317,0.017719926
YCR107W,r_4180_1_rvs,2.741295468,0.017887075
YLR028C,r_0912_1_fwd,2.741332812,0.017900941
YDR503C,r_2367,2.741430049,0.017937046
YJL026W,r_0975_4,2.644791608,0.01794636
YOR245C,r_2397_3,2.741637695,0.018014149
YDR503C,r_2365,2.741761719,0.018060201
YER060W-A,r_1133_3,2.644398195,0.018092441
YML123C,r_3605_3_fwd,2.644348161,0.018111019
YPR140W,r_2811_fwd,2.644213707,0.018160944
YKL067W,r_0803_rvs,2.742096857,0.018184643
YKL004W,r_3458,2.742123659,0.018194595
YCR048W,r_2381_1,2.742318626,0.018266989
YLR304C,r_2305_rvs,2.742515267,0.018340005
YJR158W,r_1717_3_fwd,2.742524627,0.018343481
YJL097W,r_2171_fwd,2.742636585,0.018385053
YMR101C,r_0288_2,2.74280336,0.018446979
YBR029C,r_2437_fwd,2.643377796,0.018471331
YKR093W,r_4424_2_rvs,2.742958042,0.018504415
YBR177C,r_4631_1_fwd,2.742994733,0.018518039
YCL004W,r_2536,2.743351503,0.018650513
YMR165C,r_2349,2.743425133,0.018677853
YMR313C,r_3312,2.642812315,0.018681303
YLL018C-A,r_0438_5,2.642557155,0.018776049
YOL165C,r_4178_5_fwd,2.743775648,0.018808005
YMR322C,r_4236_2_fwd,2.743791471,0.01881388
YOR374W,r_4678_3_fwd,2.743804614,0.01881876
YJR048W,r_0438_3,2.743878416,0.018846165
YHR042W,r_0317,2.743954481,0.018874409
YNR019W,r_2369_2,2.744008856,0.018894599
YDR072C,r_3352,2.744109001,0.018931784
YKR067W,r_2313_2,2.642106116,0.018943526
YDR072C,r_3413,2.642015191,0.018977288
YKL146W,r_1222_1,2.74445829,0.019061481
YDR074W,r_0195_1,2.641743062,0.019078334
YCR028C,r_1241_fwd,2.64149327,0.019171086
YHR074W,r_0769_rvs,2.745036528,0.01927619
YNL092W,r_4312_fwd,2.640811621,0.019424194
YKL188C,r_2225,2.640802913,0.019427427
YJR049C,r_0771_2,2.74544764,0.019428842
YPR140W,r_2761_fwd,2.640632303,0.019490777
YMR271C,r_0820_2_rvs,2.640279231,0.019621878
YBR218C,r_0958_1,2.639999732,0.019725661
YDR533C,r_4236_1_rvs,2.746260218,0.019730566
YCR105W,r_4654_1,2.639906729,0.019760194
YKL004W,r_3488,2.746346229,0.019762503
YKL060C,r_0322_fwd,2.639741855,0.019821414
YLL041C,r_1021_3_fwd,2.746529878,0.019830695
YCL040W,r_0534_2,2.746550041,0.019838182
YMR313C,r_3282_3,2.639493947,0.019913467
YLR020C,r_3262,2.63926249,0.01999941
YGR170W,r_2483,2.639236013,0.020009242
YJR078W,r_0694,2.639227005,0.020012587
YKL132C,r_1031_1_fwd,2.747162312,0.020065528
YIL048W,r_3815_1_rvs,2.639053374,0.020077059
YNR008W,r_2903_fwd,2.747366674,0.020141411
YJR019C,r_0847,2.747374327,0.020144253
YLR304C,r_0280_rvs,2.638566667,0.020257781
YIL048W,r_3896_rvs,2.747699015,0.020264814
YBR121C,r_0512_1,2.63842905,0.02030888
YER015W,r_0412_rvs,2.747873118,0.020329461
YIL160C,r_2286,2.638324405,0.020347737
YPR113W,r_2460,2.638316177,0.020350792
YER056C,r_1108_1,2.747982962,0.020370248
YIL048W,r_3895_fwd,2.748063362,0.020400102
YCR098C,r_1170_fwd,2.637571751,0.020627209
YKR076W,r_4200_2_fwd,2.637515467,0.020648108
YDR284C,r_3228,2.74896382,0.020734457
YMR008C,r_3047_2,2.749508794,0.020936815
YCR083W,r_0551,2.749685009,0.021002246
YPL262W,r_0451_rvs,2.749716888,0.021014083
YDR367W,r_3452,2.636390823,0.021065707
YDR342C,r_1707_1_fwd,2.636227919,0.021126196
YFR019W,r_2878,2.636194651,0.021138548
YPR140W,r_2722_fwd,2.750071709,0.021145834
YER175C,r_0059,2.635994747,0.021212776
YBL068W,r_0916_3,2.750269037,0.021219105
YNR013C,r_1244_5_fwd,2.750415002,0.021273304
YKL004W,r_3482,2.750483809,0.021298853
YKR067W,r_2310,2.750853205,0.021436016
YNL009W,r_0661,2.750949609,0.021471812
YGR094W,r_1089,2.750983257,0.021484306
YMR110C,r_4301_fwd,2.634846947,0.021638973
YLR420W,r_0349_rvs,2.751406438,0.02164144
YBR115C,r_0678,2.634783848,0.021662402
YMR226C,r_0690,2.634669337,0.021704922
YPL147W,r_1774_rvs,2.751595018,0.021711463
YKL004W,r_3431,2.751698211,0.02174978
YHL016C,r_1273_fwd,2.634441735,0.021789434
YGL119W,r_0985,2.751818764,0.021794544
YDR367W,r_3491,2.751952873,0.02184434
YJL129C,r_1249_2_fwd,2.752034571,0.021874676
YER019W,r_0600,2.752175682,0.021927073
YOR192C,r_1270_3,2.634067811,0.021928278
