Value,Category,Type
410.0,GAN+<i>V</i><sub>syn</sub>,Number
418.0,GAN+<i>V</i><sub>syn</sub>,Number
417.0,GAN+<i>V</i><sub>syn</sub>,Number
422.0,GAN+<i>V</i><sub>syn</sub>,Number
415.0,GAN+<i>V</i><sub>syn</sub>,Number
410.0,GAN+<i>V</i><sub>syn</sub>,Number
407.0,GAN+<i>V</i><sub>syn</sub>,Number
420.0,GAN+<i>V</i><sub>syn</sub>,Number
400.0,GAN+<i>V</i><sub>syn</sub>,Number
417.0,GAN+<i>V</i><sub>syn</sub>,Number
429.0,GAN+<i>V</i><sub>syn</sub>,Number
409.0,GAN+<i>V</i><sub>syn</sub>,Number
419.0,GAN+<i>V</i><sub>syn</sub>,Number
418.0,GAN+<i>V</i><sub>syn</sub>,Number
55.1875,GAN,Extra
57.25,GAN,Extra
61.375,GAN,Extra
62.4375,GAN,Extra
57.75,GAN,Extra
59.4375,GAN,Extra
58.375,GAN,Extra
59.75,GAN,Extra
70.125,GAN,Extra
62.5,GAN,Extra
59.5625,GAN,Extra
58.875,GAN,Extra
61.8125,GAN,Extra
61.25,GAN,Extra
63.5625,GAN,Extra
56.6875,GAN,Extra
61.6875,GAN,Extra
60.625,GAN,Extra
61.0625,GAN,Extra
64.8125,GAN,Extra
60.4375,GAN,Extra
62.1875,GAN,Extra
61.4375,GAN,Extra
61.5,GAN,Extra
59.5625,GAN,Extra
59.5,GAN,Extra
59.0,GAN,Extra
62.25,GAN,Extra
57.8125,GAN,Extra
61.875,GAN,Extra
63.3125,GAN,Extra
62.0625,GAN,Extra
59.0,GAN,Extra
61.75,GAN,Extra
59.0625,GAN,Extra
60.5,GAN,Extra
62.0625,GAN,Extra
63.75,GAN,Extra
64.5625,GAN,Extra
61.6875,GAN,Extra
62.8125,GAN,Extra
59.375,GAN,Extra
60.6875,GAN,Extra
62.875,GAN,Extra
60.6875,GAN,Extra
60.5,GAN,Extra
62.125,GAN,Extra
60.0,GAN,Extra
62.3125,GAN,Extra
59.0,GAN,Extra
58.375,GAN,Extra
63.75,GAN,Extra
58.875,GAN,Extra
62.5625,GAN,Extra
59.625,GAN,Extra
61.75,GAN,Extra
60.4375,GAN,Extra
60.0625,GAN,Extra
61.375,GAN,Extra
62.8125,GAN,Extra
60.75,GAN,Extra
61.8125,GAN,Extra
61.5,GAN,Extra
63.375,GAN,Extra
61.75,GAN,Extra
60.75,GAN,Extra
60.25,GAN,Extra
61.75,GAN,Extra
60.8125,GAN,Extra
61.125,GAN,Extra
60.75,GAN,Extra
59.125,GAN,Extra
61.5,GAN,Extra
59.5625,GAN,Extra
58.9375,GAN,Extra
59.625,GAN,Extra
59.5,GAN,Extra
64.375,GAN,Extra
55.75,GAN,Extra
63.6875,GAN,Extra
61.1875,GAN,Extra
60.125,GAN,Extra
60.9375,GAN,Extra
60.8125,GAN,Extra
57.0625,GAN,Extra
58.0,GAN,Extra
61.25,GAN,Extra
61.125,GAN,Extra
61.625,GAN,Extra
64.25,GAN,Extra
56.8125,GAN,Extra
60.75,GAN,Extra
61.375,GAN,Extra
61.25,GAN,Extra
65.3125,GAN,Extra
59.1875,GAN,Extra
59.625,GAN,Extra
62.1875,GAN,Extra
63.3125,GAN,Extra
60.9375,GAN,Extra
28.81784098696056,GAN+<i>V</i><sub>syn</sub>,Extra
38.398999551071704,GAN+<i>V</i><sub>syn</sub>,Extra
34.76539465932116,GAN+<i>V</i><sub>syn</sub>,Extra
46.608209702883556,GAN+<i>V</i><sub>syn</sub>,Extra
40.109785836756615,GAN+<i>V</i><sub>syn</sub>,Extra
18.727607792253,GAN+<i>V</i><sub>syn</sub>,Extra
38.97442866713441,GAN+<i>V</i><sub>syn</sub>,Extra
33.938003904774106,GAN+<i>V</i><sub>syn</sub>,Extra
37.03824283431902,GAN+<i>V</i><sub>syn</sub>,Extra
29.464082470738035,GAN+<i>V</i><sub>syn</sub>,Extra
45.50335842058572,GAN+<i>V</i><sub>syn</sub>,Extra
25.890194710173752,GAN+<i>V</i><sub>syn</sub>,Extra
32.791302910402784,GAN+<i>V</i><sub>syn</sub>,Extra
50.71371843566401,GAN+<i>V</i><sub>syn</sub>,Extra
37.86905544088388,GAN+<i>V</i><sub>syn</sub>,Extra
38.07628896231617,GAN+<i>V</i><sub>syn</sub>,Extra
33.914469763225,GAN+<i>V</i><sub>syn</sub>,Extra
38.94533638636435,GAN+<i>V</i><sub>syn</sub>,Extra
31.50565532998348,GAN+<i>V</i><sub>syn</sub>,Extra
35.82004531439307,GAN+<i>V</i><sub>syn</sub>,Extra
33.59101676714989,GAN+<i>V</i><sub>syn</sub>,Extra
27.63279297506341,GAN+<i>V</i><sub>syn</sub>,Extra
39.997624195883006,GAN+<i>V</i><sub>syn</sub>,Extra
39.474486389837544,GAN+<i>V</i><sub>syn</sub>,Extra
34.161954979905296,GAN+<i>V</i><sub>syn</sub>,Extra
42.44533338269973,GAN+<i>V</i><sub>syn</sub>,Extra
40.64379959595777,GAN+<i>V</i><sub>syn</sub>,Extra
32.15062208215037,GAN+<i>V</i><sub>syn</sub>,Extra
34.03834771872743,GAN+<i>V</i><sub>syn</sub>,Extra
43.460576063085696,GAN+<i>V</i><sub>syn</sub>,Extra
35.97258794018753,GAN+<i>V</i><sub>syn</sub>,Extra
29.490566686328506,GAN+<i>V</i><sub>syn</sub>,Extra
31.552826435735227,GAN+<i>V</i><sub>syn</sub>,Extra
37.68210574506921,GAN+<i>V</i><sub>syn</sub>,Extra
35.04706081972531,GAN+<i>V</i><sub>syn</sub>,Extra
40.65878696659829,GAN+<i>V</i><sub>syn</sub>,Extra
34.04043547798453,GAN+<i>V</i><sub>syn</sub>,Extra
35.64554341059094,GAN+<i>V</i><sub>syn</sub>,Extra
27.154265850216927,GAN+<i>V</i><sub>syn</sub>,Extra
38.01494258270354,GAN+<i>V</i><sub>syn</sub>,Extra
40.12243423917545,GAN+<i>V</i><sub>syn</sub>,Extra
31.54671304976143,GAN+<i>V</i><sub>syn</sub>,Extra
35.213196870205856,GAN+<i>V</i><sub>syn</sub>,Extra
30.760239277168516,GAN+<i>V</i><sub>syn</sub>,Extra
53.616605305361375,GAN+<i>V</i><sub>syn</sub>,Extra
38.60260324823607,GAN+<i>V</i><sub>syn</sub>,Extra
33.25809052617321,GAN+<i>V</i><sub>syn</sub>,Extra
42.6330097900859,GAN+<i>V</i><sub>syn</sub>,Extra
32.887675773492475,GAN+<i>V</i><sub>syn</sub>,Extra
33.475353056070915,GAN+<i>V</i><sub>syn</sub>,Extra
40.06997786618546,GAN+<i>V</i><sub>syn</sub>,Extra
34.72607564219346,GAN+<i>V</i><sub>syn</sub>,Extra
39.715437868532646,GAN+<i>V</i><sub>syn</sub>,Extra
44.43202529553404,GAN+<i>V</i><sub>syn</sub>,Extra
37.26753667876434,GAN+<i>V</i><sub>syn</sub>,Extra
42.98643806024955,GAN+<i>V</i><sub>syn</sub>,Extra
39.519642636877734,GAN+<i>V</i><sub>syn</sub>,Extra
50.861726766732545,GAN+<i>V</i><sub>syn</sub>,Extra
36.89357800013784,GAN+<i>V</i><sub>syn</sub>,Extra
34.20388733323338,GAN+<i>V</i><sub>syn</sub>,Extra
38.6519676519944,GAN+<i>V</i><sub>syn</sub>,Extra
44.310206530158034,GAN+<i>V</i><sub>syn</sub>,Extra
40.8191154791246,GAN+<i>V</i><sub>syn</sub>,Extra
33.62845636430693,GAN+<i>V</i><sub>syn</sub>,Extra
39.19184991807419,GAN+<i>V</i><sub>syn</sub>,Extra
40.310328383861396,GAN+<i>V</i><sub>syn</sub>,Extra
30.36480166737373,GAN+<i>V</i><sub>syn</sub>,Extra
47.46061143354887,GAN+<i>V</i><sub>syn</sub>,Extra
36.42261009406122,GAN+<i>V</i><sub>syn</sub>,Extra
37.11497316557993,GAN+<i>V</i><sub>syn</sub>,Extra
35.70600856820014,GAN+<i>V</i><sub>syn</sub>,Extra
31.365630864108038,GAN+<i>V</i><sub>syn</sub>,Extra
29.26515033445376,GAN+<i>V</i><sub>syn</sub>,Extra
42.23593950418455,GAN+<i>V</i><sub>syn</sub>,Extra
36.79546658561242,GAN+<i>V</i><sub>syn</sub>,Extra
27.16741249996968,GAN+<i>V</i><sub>syn</sub>,Extra
34.5810526398865,GAN+<i>V</i><sub>syn</sub>,Extra
32.649814109778376,GAN+<i>V</i><sub>syn</sub>,Extra
36.88957475938539,GAN+<i>V</i><sub>syn</sub>,Extra
34.9159068674961,GAN+<i>V</i><sub>syn</sub>,Extra
32.649322182032556,GAN+<i>V</i><sub>syn</sub>,Extra
34.43813658739164,GAN+<i>V</i><sub>syn</sub>,Extra
34.394777284335824,GAN+<i>V</i><sub>syn</sub>,Extra
25.608783339026356,GAN+<i>V</i><sub>syn</sub>,Extra
39.578890851149296,GAN+<i>V</i><sub>syn</sub>,Extra
43.05925802752241,GAN+<i>V</i><sub>syn</sub>,Extra
31.60628436619461,GAN+<i>V</i><sub>syn</sub>,Extra
34.09025674745895,GAN+<i>V</i><sub>syn</sub>,Extra
35.56447433414345,GAN+<i>V</i><sub>syn</sub>,Extra
39.983201767942155,GAN+<i>V</i><sub>syn</sub>,Extra
36.32190603413103,GAN+<i>V</i><sub>syn</sub>,Extra
39.11712321199603,GAN+<i>V</i><sub>syn</sub>,Extra
42.29824627355807,GAN+<i>V</i><sub>syn</sub>,Extra
38.73839288661427,GAN+<i>V</i><sub>syn</sub>,Extra
43.09770247909277,GAN+<i>V</i><sub>syn</sub>,Extra
44.860977508564325,GAN+<i>V</i><sub>syn</sub>,Extra
32.768170466462195,GAN+<i>V</i><sub>syn</sub>,Extra
32.760547160754925,GAN+<i>V</i><sub>syn</sub>,Extra
33.25786398602944,GAN+<i>V</i><sub>syn</sub>,Extra
28.83647481814941,GAN+<i>V</i><sub>syn</sub>,Extra
0.386180255332702,GAN,Corr_All
0.38304692844697213,GAN,Corr_All
0.3747249845759572,GAN,Corr_All
0.37439403913007935,GAN,Corr_All
0.3706801566396757,GAN,Corr_All
0.37054297206476633,GAN,Corr_All
0.3703967142987864,GAN,Corr_All
0.37011922175337464,GAN,Corr_All
0.36942994431420095,GAN,Corr_All
0.369230790240502,GAN,Corr_All
0.36875210213925547,GAN,Corr_All
0.3687383462453695,GAN,Corr_All
0.36779615547186906,GAN,Corr_All
0.36754573014903286,GAN,Corr_All
0.36733923480138386,GAN,Corr_All
0.3668941062569752,GAN,Corr_All
0.3663260751687434,GAN,Corr_All
0.3658132135831508,GAN,Corr_All
0.3656426972069968,GAN,Corr_All
0.365478270986233,GAN,Corr_All
0.3654292035687997,GAN,Corr_All
0.3649935688344591,GAN,Corr_All
0.3649771897960634,GAN,Corr_All
0.36491266585768367,GAN,Corr_All
0.3645539768224432,GAN,Corr_All
0.3643199398826997,GAN,Corr_All
0.3641940464510882,GAN,Corr_All
0.3637294467580045,GAN,Corr_All
0.3637028812825755,GAN,Corr_All
0.3636320341542826,GAN,Corr_All
0.36358519002839046,GAN,Corr_All
0.36352317004817747,GAN,Corr_All
0.3634237288662678,GAN,Corr_All
0.36281430636758943,GAN,Corr_All
0.3627147394388823,GAN,Corr_All
0.3625937990027244,GAN,Corr_All
0.36250554416928255,GAN,Corr_All
0.3617788314458636,GAN,Corr_All
0.3616146248686908,GAN,Corr_All
0.36160093247566033,GAN,Corr_All
0.3615893323360544,GAN,Corr_All
0.3615592286955682,GAN,Corr_All
0.3615175173363473,GAN,Corr_All
0.3613488471898717,GAN,Corr_All
0.3611681771584452,GAN,Corr_All
0.36116565112152543,GAN,Corr_All
0.36097392322178634,GAN,Corr_All
0.3609434534817883,GAN,Corr_All
0.36092789570267986,GAN,Corr_All
0.3609228496925578,GAN,Corr_All
0.3609140228505784,GAN,Corr_All
0.3606359362592904,GAN,Corr_All
0.36047794358986657,GAN,Corr_All
0.3602462266782016,GAN,Corr_All
0.36022200027484824,GAN,Corr_All
0.36016827049318706,GAN,Corr_All
0.35989005540386815,GAN,Corr_All
0.3598381170748512,GAN,Corr_All
0.35974228050613355,GAN,Corr_All
0.35940393095667617,GAN,Corr_All
0.359280669685392,GAN,Corr_All
0.3589905899511192,GAN,Corr_All
0.35880371399552824,GAN,Corr_All
0.3583881365195049,GAN,Corr_All
0.35829290065960734,GAN,Corr_All
0.3579786446751323,GAN,Corr_All
0.3578995865507748,GAN,Corr_All
0.3576984312682616,GAN,Corr_All
0.3573622553927961,GAN,Corr_All
0.3572918232557192,GAN,Corr_All
0.3572201147841339,GAN,Corr_All
0.3571569466981118,GAN,Corr_All
0.357144775273359,GAN,Corr_All
0.35708568977718985,GAN,Corr_All
0.3569978110638683,GAN,Corr_All
0.35689119351334403,GAN,Corr_All
0.3568347810233864,GAN,Corr_All
0.3566562089924119,GAN,Corr_All
0.3564785626305578,GAN,Corr_All
0.3563621614256184,GAN,Corr_All
0.3563361983857248,GAN,Corr_All
0.35614413130575406,GAN,Corr_All
0.3561290451009648,GAN,Corr_All
0.3560956443168523,GAN,Corr_All
0.35607296005061534,GAN,Corr_All
0.35566156974909263,GAN,Corr_All
0.3554068626881936,GAN,Corr_All
0.3553365617299696,GAN,Corr_All
0.3551396928871824,GAN,Corr_All
0.35501568160106195,GAN,Corr_All
0.3549268042414841,GAN,Corr_All
0.35487359284977726,GAN,Corr_All
0.3548075453976304,GAN,Corr_All
0.35477749619272697,GAN,Corr_All
0.354775974411739,GAN,Corr_All
0.35436062274378927,GAN,Corr_All
0.35402448219957006,GAN,Corr_All
0.3539590807273024,GAN,Corr_All
0.35394199968571816,GAN,Corr_All
0.3530936658454461,GAN,Corr_All
0.39440857426597425,GAN+<i>V</i><sub>syn</sub>,Corr_All
0.38844806783408886,GAN+<i>V</i><sub>syn</sub>,Corr_All
