NAME,ENTRY,Gene_name,Protein_name_x,half_life_x,Protein_name_y,half_life_y,half_life_all_x,half_life_all_y,kdeg
YBR115C,P07702,YBR115C,P07702,3.237346475,,,3.237346475,3.237346475,0.214109669
YBR117C,P33315,YBR117C,P33315,28.70152952,P33315,,28.70152952,28.70152952,0.024150183
YBR121C,P38088,YBR121C,P38088,1.725813763,P38088,10.29021,1.725813763,10.29021,0.067359867
YBR126C,Q00764,YBR126C,Q00764,4.587761162,Q00764,9.026937,4.587761162,9.026937,0.076786531
YBR127C,P16140,YBR127C,P16140,2.813366089,P16140,9.617673,2.813366089,9.617673,0.072070155
YBR145W,P38113,YBR145W,P38113,2.914572365,P38113,20.00365,2.914572365,20.00365,0.034651035
YBR149W,P38115,YBR149W,P38115,3.707358173,P38115,9.011112,3.707358173,9.011112,0.076921381
YBR159W,P38286,YBR159W,P38286,2.821210097,,,2.821210097,2.821210097,0.245691443
YBR166C,P20049,YBR166C,P20049,2.189047939,P20049,9.988344,2.189047939,9.988344,0.069395606
YBR176W,P38122,YBR176W,P38122,1.902783504,P38122,9.818125,1.902783504,9.818125,0.070598733
YBR177C,P38295,YBR177C,P38295,2.500344617,P38295,7.678417,2.500344617,7.678417,0.090272146
YBR192W,P38127,YBR192W,,,P38127,8.144179,8.144179,8.144179,0.085109522
YBR196C,P12709,YBR196C,P12709,3.067509702,P12709,13.21671,3.067509702,13.21671,0.05244476
YBR199W,P38131,YBR199W,P38131,1.698222466,P38131,2.235179,1.698222466,2.235179,0.31010813
YBR204C,P38139,YBR204C,,,P38139,14.38887,14.38887,14.38887,0.048172454
YBR205W,P38130,YBR205W,P38130,2.393946419,P38130,7.106537,2.393946419,7.106537,0.097536561
YBR208C,P32528,YBR208C,P32528,142.34592,P32528,10.47358,142.34592,10.47358,0.06618054
YBR213W,P15807,YBR213W,,,P15807,15.60135,15.60135,15.60135,0.044428667
YBR218C,P32327,YBR218C,P32327,1.739449645,P32327,13.42958,1.739449645,13.42958,0.051613467
YBR221C,P32473,YBR221C,P32473,2.778326146,P32473,9.409131,2.778326146,9.409131,0.073667502
YBR222C,P38137,YBR222C,P38137,3.293175687,P38137,12.54116,3.293175687,12.54116,0.055269782
YBR229C,P38138,YBR229C,P38138,2.599522021,P38138,4.399456,2.599522021,4.399456,0.157552929
YBR235W,P38329,YBR235W,,,P38329,9.884689,9.884689,9.884689,0.070123317
YBR242W,P38331,YBR242W,P38331,0.789410766,P38331,3.201776,0.789410766,3.201776,0.216488343
YBR244W,P38143,YBR244W,P38143,1.717537869,P38143,4.698282,1.717537869,4.698282,0.147532051
YBR248C,P33734,YBR248C,P33734,2.399684111,P33734,15.06392,2.399684111,15.06392,0.046013732
YBR249C,P32449,YBR249C,P32449,1.670834712,P32449,13.89003,1.670834712,13.89003,0.049902497
YBR252W,P33317,YBR252W,P33317,1.928603605,P33317,11.13202,1.928603605,11.13202,0.062266074
YBR256C,P38145,YBR256C,P38145,2.819773269,P38145,19.98865,2.819773269,19.98865,0.034677038
YBR263W,P37292,YBR263W,P37292,1.78850855,P37292,9.132113,1.78850855,9.132113,0.075902169
YBR265W,P38342,YBR265W,,,P38342,4.373674,4.373674,4.373674,0.158481675
YBR281C,P38149,YBR281C,P38149,1.903683896,P38149,10.98327,1.903683896,10.98327,0.063109364
YBR291C,P38152,YBR291C,P38152,3.325156228,P38152,6.779279,3.325156228,6.779279,0.10224497
YCL004W,P25578,YCL004W,,,P25578,16.04842,16.04842,16.04842,0.043190992
YCL009C,P25605,YCL009C,P25605,2.103221203,P25605,11.1269,2.103221203,11.1269,0.062294725
