Gene,kdeg_x,kdeg_y,vsyn_x,vsyn_y
YBR110W,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR286C,0.185320188,0.077892576,3.75E-07,6.83E-07
YNL280C,0.310040533,0.102051249,9.98E-06,1.51E-05
YMR015C,0.613932966,0.328339425,6.24E-07,9.54E-07
YGL001C,0.297378022,0.057510417,9.98E-06,1.51E-05
YLR100W,0.293659513,0.051527559,1.09E-06,2.09E-06
YGR060W,0.684082647,0.25461953,8.54E-07,1.74E-06
YLR056W,0.563970868,0.322610412,8.59E-07,1.31E-06
YMR202W,0.310040533,0.102051249,9.98E-06,1.51E-05
YGL012W,0.320234488,0.05767388,7.59E-08,1.28E-07
YDL090C,0.206640034,0.098904615,9.41E-08,1.49E-07
YKL019W,0.52268834,0.072216078,7.77E-09,1.23E-08
YJR109C,0.639291187,0.032697719,4.06E-06,5.71E-06
YOR303W,1.037848277,0.161793925,9.98E-06,1.51E-05
YAR035W,0.310040533,0.102051249,9.98E-06,1.51E-05
YER024W,0.310040533,0.102051249,9.98E-06,1.51E-05
YML042W,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR088W,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR256C,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR297W,0.310040533,0.102051249,9.98E-06,1.51E-05
YMR272C,0.310040533,0.102051249,9.98E-06,1.51E-05
YHL003C,0.258479754,0.046573927,7.14E-08,1.34E-07
YMR298W,0.145784311,0.069800059,9.95E-08,2.50E-07
YKL008C,0.310040533,0.102051249,9.98E-06,1.51E-05
YLR307W,0.310040533,0.102051249,9.98E-06,1.51E-05
YLR308W,0.310040533,0.102051249,9.98E-06,1.51E-05
YBR023C,0.310040533,0.102051249,9.98E-06,1.51E-05
YBR038W,0.310040533,0.102051249,9.98E-06,1.51E-05
YNL192W,0.310040533,0.102051249,9.98E-06,1.51E-05
YLR133W,0.226377928,0.064454405,4.07E-07,5.01E-07
YGR202C,0.256699094,0.076462451,1.62E-07,4.01E-07
YPR060C,0.45228491,0.054813006,9.98E-06,1.51E-05
YGL148W,0.426880126,0.059015509,9.98E-06,1.51E-05
YLR304C,0.207284224,0.038347989,8.52E-06,2.04E-05
YBR002C,0.310040533,0.102051249,9.98E-06,1.51E-05
YMR101C,0.310040533,0.102051249,9.98E-06,1.51E-05
YNR001C,0.14911146,0.078781828,1.11E-05,2.40E-05
YCR005C,0.197828786,0.494252896,9.98E-06,1.51E-05
YDR044W,0.249841608,0.057404587,9.98E-06,1.51E-05
YBL039C,0.310040533,0.102051249,9.98E-06,1.51E-05
YJR103W,0.173417513,0.069378095,5.32E-07,8.97E-07
YFR055W,0.310040533,0.102051249,9.98E-06,1.51E-05
YGL184C,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR155W,0.432046125,0.067452227,1.96E-05,2.48E-05
YAL012W,0.392940951,0.056393363,1.41E-05,1.47E-05
YJR130C,0.310040533,0.102051249,9.98E-06,1.51E-05
YLR303W,0.263527552,0.020053702,0.000352258,0.000438222
YNL247W,0.410797799,0.063356832,7.00E-07,1.15E-06
YLR245C,0.310040533,0.102051249,9.98E-06,1.51E-05
