error,corr,pvalue,number,RMSE
4.073464107,0.417523366,7.63E-10,280.5625,4.11526229
4.113860484,0.432481247,1.11E-10,279.375,4.724758068
4.10206057,0.440191207,2.09E-09,277,5.689514475
3.958180243,0.422732393,1.14E-11,283,6.90120626
4.04167853,0.438590175,2.85E-11,276.1875,6.748338216
3.996827294,0.395640255,2.05E-10,279.75,3.613997536
3.94928547,0.400571647,9.95E-09,277.0625,5.033688204
4.131459115,0.443798327,1.00E-12,287.25,5.489795442
4.10647586,0.423907327,5.67E-10,277.625,4.118683047
3.998759139,0.404394708,7.14E-11,276.5,4.423107998
4.140399232,0.433786291,2.11E-12,286.25,4.38049542
4.002654289,0.414040326,8.32E-12,278.625,5.259053634
3.915135377,0.391492776,2.12E-07,276.0625,4.875727112
4.258107212,0.45809485,6.19E-11,271.125,4.340941402
4.134357135,0.43009418,3.59E-10,274.375,4.18034688
4.005208187,0.399008741,1.62E-08,278.4375,3.820105973
4.006842803,0.406902089,3.05E-09,273.875,4.536991773
3.97891241,0.398276922,2.09E-10,279.75,4.288200461
4.064929273,0.426945058,8.74E-12,280.875,5.286172868
4.044570773,0.435203503,3.03E-13,274.6875,6.472899617
4.03048368,0.41434154,5.10E-11,284,4.799288497
3.985726247,0.404456596,2.77E-10,280,4.759137237
3.988292306,0.412955523,7.38E-10,278.375,5.509604732
4.031356653,0.41510936,2.14E-09,275.9375,4.866991909
4.014355963,0.41533958,3.03E-11,278.25,5.23925648
4.076785937,0.424690301,3.04E-10,278.25,4.88205034
3.934608692,0.393791056,2.55E-10,275.625,4.797605734
4.076761492,0.419025196,4.08E-11,282.3125,4.361059966
4.048967455,0.419888235,1.17E-11,281.75,4.996480254
4.048982881,0.421496048,6.06E-09,284,5.155899003
4.075445338,0.431345476,6.69E-11,282.625,5.561154238
3.967676186,0.411608902,8.27E-10,272.4375,5.847372061
4.057707673,0.441234819,3.90E-12,272.25,6.848202627
4.094205122,0.436664549,1.25E-10,274.125,5.700121623
4.035707534,0.411000456,5.80E-09,272.9375,4.450891988
4.066344038,0.430024822,4.47E-11,275.0625,5.630393288
3.96426471,0.392020734,5.31E-09,276.75,4.087483301
4.093326081,0.427277347,5.10E-12,273.3125,4.843786888
3.982674247,0.411286579,8.30E-11,276,5.534810614
3.968584528,0.395291526,6.97E-10,274.625,4.320666807
4.139300476,0.425628671,1.73E-09,275.375,3.795162194
4.055859284,0.421065801,3.99E-12,277.375,5.022467274
3.984635089,0.407672646,1.89E-09,284.75,5.181291651
4.082307579,0.417669042,4.34E-12,275.625,4.194040814
4.009601698,0.415876904,6.59E-09,282.1875,5.471117729
4.050493724,0.433371626,8.79E-13,274.3125,6.306960985
4.014283923,0.40425709,2.83E-11,280.125,4.296345092
4.051921174,0.414578035,2.41E-10,277.0625,4.523055687
