geneID,yli_prot.1,proteinID
Yarrowia_lipolytica_Seq_2538,1.532875e-07,YGL142C
Yarrowia_lipolytica_Seq_2545,5.592605e-06,YFR015C
Yarrowia_lipolytica_Seq_2557,5.6393e-08,YGL119W
Yarrowia_lipolytica_Seq_2577,3.5290225e-06,YOR328W
Yarrowia_lipolytica_Seq_258,3.2979388e-05,YNL117W
Yarrowia_lipolytica_Seq_2616,1.1379987499999999e-06,YHR190W
Yarrowia_lipolytica_Seq_2622,7.8034325e-07,YMR058W
Yarrowia_lipolytica_Seq_2643,7.2600725e-07,YLR345W
Yarrowia_lipolytica_Seq_2658,2.1881055000000003e-06,YPL280W
Yarrowia_lipolytica_Seq_2693,1.5035731e-05,YHR104W
Yarrowia_lipolytica_Seq_2694,3.28490975e-06,YKL080W
Yarrowia_lipolytica_Seq_2702,5.456777175000001e-05,YBL030C
Yarrowia_lipolytica_Seq_2704,3.0381286000000002e-05,YML028W
Yarrowia_lipolytica_Seq_2712,6.90398625e-06,YML126C
Yarrowia_lipolytica_Seq_2723,1.6270545e-06,YMR226C
Yarrowia_lipolytica_Seq_2729,4.7702822500000005e-06,YPR035W
Yarrowia_lipolytica_Seq_2738,2.108403625e-05,YIL094C
Yarrowia_lipolytica_Seq_2744,1.3733014250000001e-05,YLR027C
Yarrowia_lipolytica_Seq_2785,5.159085500000001e-06,YDL015C
Yarrowia_lipolytica_Seq_2797,7.9482775e-07,YER026C
Yarrowia_lipolytica_Seq_2803,2.8571351999999998e-05,YBR218C
Yarrowia_lipolytica_Seq_2806,8.4426985e-06,YGR199W
Yarrowia_lipolytica_Seq_2822,2.201721e-06,YEL024W
Yarrowia_lipolytica_Seq_283,3.7590822500000003e-06,YDR019C
Yarrowia_lipolytica_Seq_2830,1.1553780750000002e-05,YKL217W
Yarrowia_lipolytica_Seq_2832,4.5445200000000005e-07,YLR189C
Yarrowia_lipolytica_Seq_2833,4.0420400000000004e-07,YPR127W
Yarrowia_lipolytica_Seq_2856,5.018906299999999e-05,YKL085W
Yarrowia_lipolytica_Seq_286,8.84632725e-06,YGL202W
Yarrowia_lipolytica_Seq_2871,4.5637452500000005e-06,YHR020W
Yarrowia_lipolytica_Seq_2878,1.4973080999999999e-05,YDL131W
Yarrowia_lipolytica_Seq_2887,6.8316245e-06,Geotrichum_candidum_Seq_6125
Yarrowia_lipolytica_Seq_2895,2.96576075e-05,YGL205W
Yarrowia_lipolytica_Seq_2900,1.694914225e-05,YKL035W
Yarrowia_lipolytica_Seq_2922,1.37052265e-05,YBR263W
Yarrowia_lipolytica_Seq_2925,5.17616975e-06,YJL167W
Yarrowia_lipolytica_Seq_2933,2.2883796499999996e-05,YMR083W
Yarrowia_lipolytica_Seq_297,1.8065954500000002e-05,YNL037C
Yarrowia_lipolytica_Seq_2981,3.118964275e-05,YOR136W
Yarrowia_lipolytica_Seq_3003,7.206917999999999e-07,YPR026W
Yarrowia_lipolytica_Seq_3024,1.6542905750000005e-05,YLR355C
Yarrowia_lipolytica_Seq_3030,1.202470725e-05,YCL009C
Yarrowia_lipolytica_Seq_3033,2.6174435e-06,YNL333W
Yarrowia_lipolytica_Seq_3040,2.707436e-06,YML059C
Yarrowia_lipolytica_Seq_3048,2.3717004e-05,YDR050C
Yarrowia_lipolytica_Seq_3117,2.1427275e-07,YOL049W
Yarrowia_lipolytica_Seq_3155,8.4860625e-08,YKL209C
Yarrowia_lipolytica_Seq_3166,2.08232525e-06,YNL247W
Yarrowia_lipolytica_Seq_3179,9.22214e-07,YML075C
Yarrowia_lipolytica_Seq_3197,7.713751249999999e-06,YMR145C
Yarrowia_lipolytica_Seq_3201,6.69955925e-06,Metschnikowia_matae_maris_Seq_1638
Yarrowia_lipolytica_Seq_3205,5.790025e-08,YEL042W
Yarrowia_lipolytica_Seq_3234,4.8415075e-07,YBR256C
Yarrowia_lipolytica_Seq_3253,1.817103e-06,Geotrichum_candidum_Seq_6512
Yarrowia_lipolytica_Seq_326,2.61812425e-06,YER073W
Yarrowia_lipolytica_Seq_3261,4.035425e-07,YOR176W
Yarrowia_lipolytica_Seq_3263,7.2803859e-05,YKL060C
Yarrowia_lipolytica_Seq_3289,1.29816475e-06,YIL074C
Yarrowia_lipolytica_Seq_3331,1.52800375e-06,YGL055W
Yarrowia_lipolytica_Seq_3369,1.1932545999999999e-05,YGL205W
Yarrowia_lipolytica_Seq_3371,2.26396525e-06,YOR168W
Yarrowia_lipolytica_Seq_3373,1.34595325e-06,YOR065W
