error,corr,pvalue,number,error_num,RMSE
2.758848358974669,0.356265256790388,7.312942157000829e-08,216.0,18.0,0.0
2.76130420938494,0.3561532517085657,7.922821633908026e-08,215.0,22.0,0.0
2.793354263094527,0.3560424564419829,6.956705881800027e-08,217.0,18.0,0.0
2.607906040998408,0.356032106076502,9.880718129150897e-08,212.0,20.0,0.0
2.566129496064702,0.3560007550150133,9.238280003883932e-08,213.0,17.0,0.0
2.704261262193924,0.355972131662199,8.052272474946775e-08,215.0,18.0,0.0
2.674084636443777,0.355902466204287,1.1495607572071987e-07,210.0,22.0,0.0
2.72567586842608,0.3557726579453471,1.0109448460110421e-07,212.0,20.0,0.0
2.691672890961355,0.3557224240902927,8.829906705390068e-08,214.0,13.0,0.0
2.7288057497484752,0.3556578814015884,1.350573076624783e-07,208.0,20.0,0.0
2.654957685842768,0.3556171363713202,8.31191994747279e-08,215.0,14.0,0.0
2.602274926603915,0.3554182659445817,1.2858864375358678e-07,209.0,14.0,0.0
2.8011354267520945,0.3553438422813374,9.791576503395487e-08,213.0,16.0,0.0
2.741342725643997,0.3552814697358792,1.055649198988609e-07,212.0,17.0,0.0
2.7333289318178857,0.3551595063875003,8.658531240692762e-08,215.0,20.0,0.0
2.633581961225955,0.3550759443543133,1.1524252904759925e-07,211.0,14.0,0.0
2.846656109558942,0.3550445682382072,1.0054077433912274e-07,213.0,24.0,0.0
2.726957017487402,0.3550122814119774,1.0082797847784652e-07,213.0,19.0,0.0
2.731930140141489,0.3549481996667391,8.823226071389687e-08,215.0,17.0,0.0
2.6131694331755084,0.3549185679993611,7.69821379175541e-08,217.0,18.0,0.0
2.752311909826848,0.3548842039170228,8.873696379675911e-08,215.0,20.0,0.0
2.6424576309455574,0.3548697679132461,1.445723243428622e-07,208.0,15.0,0.0
2.747191332202003,0.3546335321042814,1.0425652555012477e-07,213.0,18.0,0.0
2.8400579375619666,0.3543921694709391,8.65028886969477e-08,216.0,22.0,0.0
2.737463584358688,0.3543807387120497,5.714328381414299e-08,222.0,15.0,0.0
2.685112315379938,0.3541458212958657,8.251533149945699e-08,217.0,17.0,0.0
2.6938270118033025,0.3541065071122442,1.344263472299343e-07,210.0,19.0,0.0
2.700685974271942,0.3540536957062917,1.662240000707739e-07,207.0,15.0,0.0
2.784985539550945,0.3540486438291182,1.0977212829990727e-07,213.0,20.0,0.0
2.6822615814800352,0.3539743369626132,1.3597799557343613e-07,210.0,13.0,0.0
2.8074877767296766,0.3538973265507378,1.1920765953622174e-07,212.0,22.0,0.0
2.643472288200837,0.3536748660413359,7.497868829269899e-08,219.0,18.0,0.0
2.6937088858290097,0.3534041491055306,1.1617436750900497e-07,213.0,18.0,0.0
2.8369751091193747,0.3533858790766597,1.3356302302438194e-07,211.0,22.0,0.0
2.6383920530624767,0.3531201696452524,1.3668656573065453e-07,211.0,15.0,0.0
2.827876115356585,0.353065385175477,9.089658886960302e-08,217.0,20.0,0.0
2.736253385317589,0.3529691946796223,9.82035788187907e-08,216.0,18.0,0.0
2.866997568624756,0.3528798866383262,9.898656225356647e-08,216.0,22.0,0.0
2.743799918006956,0.3527397855658017,1.2314880866043548e-07,213.0,19.0,0.0
2.7376773575799005,0.3526746638245765,1.5218065286510618e-07,210.0,21.0,0.0
2.6724383693502776,0.3522591688915573,1.472972907987411e-07,211.0,20.0,0.0
2.601383641329148,0.3522083947843369,1.381564962470058e-07,212.0,16.0,0.0
2.703066032149265,0.3521782704243039,1.128098650867558e-07,215.0,17.0,0.0
2.669789710406494,0.3520093560139326,1.8480981097230054e-07,208.0,18.0,0.0
2.678787868995687,0.3520049223836826,1.2265308639598282e-07,214.0,14.0,0.0
2.725847061977256,0.3519151900730848,1.739884930785573e-07,209.0,18.0,0.0
2.706196689134683,0.3518966026808,1.3258109521980345e-07,213.0,21.0,0.0
2.7133949983409806,0.3516599723693545,1.904050683784146e-07,208.0,20.0,0.0
2.8578668335341,0.3516176663213422,1.107152191857333e-07,216.0,21.0,0.0
2.666852896796683,0.3515551074033692,1.3659540389612213e-07,213.0,17.0,0.0
2.631880192628853,0.3515065616476516,1.2813642290801164e-07,214.0,21.0,0.0
2.668641186373916,0.3514116624394193,1.1275197069788222e-07,216.0,17.0,0.0
2.8292328833406346,0.3513911896702025,1.3856348740582636e-07,213.0,18.0,0.0
2.7118756886451343,0.3508392235613201,1.358487749072128e-07,214.0,24.0,0.0
2.6049610674254904,0.3508343256671085,1.3590699429540044e-07,214.0,20.0,0.0
2.823170549480563,0.350831755557937,1.1868064781987397e-07,216.0,18.0,0.0
2.7392484660219765,0.3507569008691483,1.795154156115126e-07,210.0,20.0,0.0
2.7191714826541253,0.3506677972639138,1.379007730464038e-07,214.0,16.0,0.0
2.7341704277985603,0.3506650472141845,1.204396821637974e-07,216.0,18.0,0.0
