protein,region,n_species,Y_lipolytica,K_lactis,K_marxianus,S_cerevisiae
YGR155W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR157W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR170W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR171C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR175C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR177C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YGR180C,S_cerevisiae,1,0,0,0,1
YGR183C,Y_lipolytica_and_K_marxianus_and_S_cerevisiae,3,1,0,1,1
YGR185C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR191W,S_cerevisiae,1,0,0,0,1
YGR192C,S_cerevisiae,1,0,0,0,1
YGR193C,Y_lipolytica_and_K_lactis_and_S_cerevisiae,3,1,1,0,1
YGR194C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR199W,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
YGR202C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR204W,S_cerevisiae,1,0,0,0,1
YGR208W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR209C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR216C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR224W,Y_lipolytica_and_K_lactis,2,1,1,0,0
YGR227W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR234W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR240C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR243W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR244C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR247W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR248W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR254W,S_cerevisiae,1,0,0,0,1
YGR255C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR256W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR260W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR264C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR267C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR277C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YGR282C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
