protein,Y_lipolytica,K_lactis,K_marxianus,S_cerevisiae
YFL022C,-0.25078627791784225,-1.2159465232549749,-0.09817666515767079,1.564909466330488
YFL030W,-0.5439627997888686,-0.6194760849619237,-0.5679672178349027,1.7314061025856942
YFL045C,1.393773760008291,0.17151368433801548,-1.416250607506265,-0.14903683684004312
YFR015C,-0.28185937879814293,1.6815811250306874,-0.46192209203391643,-0.9377996541986263
YFR030W,0.3827738007201704,-1.6257465770020558,1.089429559668953,0.1535432166129326
YFR044C,0.9662008454382577,-1.0088037938099221,-0.9905936108561209,1.0331965592277863
YGL001C,-1.3484062933764482,-0.044165787834298614,-0.08160256018652333,1.4741746413972694
YGL009C,-0.5548840147734764,-0.9389401145308434,-0.17361493843568276,1.6674390677400026
YGL012W,0.4752340548261961,0.8137677131508158,0.4234813076333404,-1.712483075610355
YGL026C,1.5600265145722212,-1.2034245734664437,-0.013219024828121616,-0.34338291627765793
YGL040C,-0.7180784809527104,-0.6372956245267781,-0.36147080323053876,1.716844908710027
YGL055W,-1.647740041862961,0.06303148297325349,0.6798172226890914,0.9048913362006129
YGL065C,-1.5914648912345943,0.4218201914021227,1.1349463651028304,0.034698334729640484
YGL080W,0.11865749698419283,-1.4812691678329204,0.024264448573265346,1.338347222275463
YGL125W,1.1250374011144453,-0.2645380510663842,0.6407500681867432,-1.5012494182348042
YGL148W,1.4963535521000964,-0.8586732980346786,-0.9592650489194217,0.32158479485400393
YGL167C,-1.109786395073164,-0.6656209730741544,0.27562231036651963,1.499785057780797
YGL202W,-0.39416853171544114,1.1691781844117572,-1.4308967854926322,0.6558871327963166
YGL234W,-1.024867053189703,0.27537755168834965,-0.7638832549829808,1.5133727564843342
YGL245W,1.2105937191408143,-0.24700409957105532,-1.4840920073517014,0.5205023877819407
YGL253W,-1.7054767603541854,0.28448994570163766,0.7306518668194248,0.6903349478331233
YGR019W,-0.916413735248771,1.029296007573179,0.9668780689098869,-1.0797603412342935
YGR032W,-1.0034355560932582,-0.996274164016195,1.0236812375756061,0.9760284825338462
YGR061C,-0.5747821976814801,1.416170940884291,0.38866271363018273,-1.2300514568329945
YGR088W,0.7086395760801617,0.6026228692405643,0.41089843666162645,-1.7221608819823513
YGR155W,-0.7462483105961605,-1.2197924287828446,1.0892319396041164,0.876808799774888
YGR157W,-0.20006303702320377,-1.0948982281339152,-0.33300657083553953,1.6279678359926588
YGR185C,0.890953011160305,-1.4614173496171263,-0.3884692785275488,0.9589336169843692
YGR209C,-0.32643053470941535,0.8948207359346617,0.9264256587761793,-1.4948158600014243
YGR240C,-0.32901506701111205,-1.4622233665014042,0.6223205254944942,1.168917908018022
YGR244C,-0.44894021810407325,-1.0834170065355262,-0.08546712933740076,1.6178243539769979
YGR248W,-0.5575591829053701,-0.438340056949404,1.722914538620945,-0.727015298766171
YGR255C,0.14856124659837408,0.9396459054899862,0.5745781761483075,-1.6627853282366685
YGR256W,1.3729210417496156,-1.2964301153823827,0.426206546254664,-0.5026974726218956
YGR264C,-0.4480627765451794,1.7182035001607094,-0.777175519027375,-0.49296520458815496
YGR282C,-1.728013190732286,0.5487333961652536,0.6832124778056463,0.49606731676138566
YHL011C,0.606800198349861,-0.20673755384660106,-1.524612018802171,1.124549374298906
YHL032C,0.9342007027024843,-0.10301986325085931,-1.5927108810444925,0.7615300415928677
YHR007C,1.0417456519327966,-0.36695515562579994,0.7923035620356675,-1.4670940583426648
YHR019C,-0.18216351579551746,1.6170313580852587,-0.31581023032014055,-1.1190576119695979
YHR020W,0.2599126889612213,1.3146331663674407,-0.09279913163695377,-1.4817467236917017
YHR025W,-1.208389559773318,1.5435793743902952,-0.3922961321340656,0.057106317517089264
YHR037W,0.9975452668667751,-0.8929868478573888,-1.10156746794766,0.9970090489382731
YHR042W,-0.3902518948752898,-0.9256283839187337,-0.3728714581732523,1.6887517369672762
YHR104W,0.8513616738567553,0.3458801107993152,0.5056563155726934,-1.7028981002287615
YHR137W,0.7499102376573673,-0.7583016348820332,1.2005606216642857,-1.1921692244396223
