all_gene,prot.1,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17,prot.18,prot.19,prot.2,prot.20,prot.21,prot.22,prot.23,prot.24,prot.25,prot.26,prot.27,prot.28,prot.29,prot.3,prot.30,prot.31,prot.32,prot.33,prot.34,prot.35,prot.36,prot.37,prot.38,prot.39,prot.4,prot.40,prot.41,prot.42,prot.5,prot.6,prot.7,prot.8,prot.9
YPL019C,2.08217e-09,2.20803e-09,1.89998e-09,1.78788e-09,2.02474e-09,2.01133e-09,2.05838e-09,2.78198e-09,3.13186e-09,2.25494e-09,3.81178e-09,1.85179e-09,5.73806e-09,3.49154e-09,2.13022e-09,2.89816e-09,3.89365e-09,2.82326e-09,1.59167e-09,1.96877e-09,1.10286e-09,2.00853e-09,1.5208e-09,2.03096e-09,1.42915e-09,2.40284e-09,1.36373e-09,2.58647e-09,2.29149e-09,2.40854e-09,1.97168e-09,2.65695e-09,2.13507e-09,1.54129e-09,2.79774e-09,2.91297e-09,3.37508e-09,1.84518e-09,1.3805e-09,1.4679e-09,1.54913e-09,1.70712e-09
YLR447C,4.27319e-07,5.97115e-07,4.61666e-07,5.90106e-07,6.02844e-07,5.4524e-07,5.45496e-07,1.00866e-06,1.1468e-06,3.41283e-07,1.12426e-06,4.16998e-07,1.82398e-06,1.11691e-06,3.17499e-07,5.24059e-07,3.8215e-07,4.21642e-07,2.54992e-07,5.54317e-07,5.12361e-07,8.39165e-07,2.89389e-07,7.66844e-07,3.51473e-07,3.7058e-07,3.99283e-07,8.85378e-07,8.26407e-07,6.76918e-07,3.62615e-07,3.46124e-07,4.72239e-07,3.81656e-07,1.80913e-06,1.29693e-06,1.09221e-06,3.61213e-07,3.2034e-07,3.0999e-07,4.53199e-07,5.95065e-07
YPL045W,3.18928e-08,2.60266e-08,2.164e-08,2.418e-08,2.47127e-08,2.45308e-08,2.59016e-08,3.18131e-08,2.83627e-08,2.60101e-08,2.78526e-08,2.83201e-08,2.57445e-08,3.08907e-08,4.26601e-08,5.91048e-08,5.68802e-08,5.76732e-08,2.5388e-08,2.91532e-08,1.43472e-08,2.92948e-08,3.15878e-08,3.26949e-08,3.58831e-08,4.6684e-08,3.6844e-08,4.00093e-08,3.46303e-08,3.76736e-08,2.93401e-08,4.10528e-08,3.0343e-08,2.87209e-08,2.86737e-08,3.85357e-08,3.24811e-08,3.21593e-08,2.91203e-08,2.36e-08,2.51252e-08,1.63191e-08
YMR077C,4.73128e-09,5.06608e-09,3.98941e-09,3.88692e-09,4.31211e-09,3.96077e-09,4.82761e-09,4.67226e-09,4.94687e-09,4.58923e-09,4.56225e-09,4.53703e-09,4.37166e-09,5.20368e-09,4.14813e-09,7.44764e-09,1.33663e-08,1.06627e-08,4.62656e-09,5.23624e-09,3.82984e-09,5.14739e-09,6.49499e-09,6.56381e-09,5.26207e-09,7.09402e-09,6.04865e-09,7.8e-09,5.99544e-09,7.26956e-09,5.06011e-09,7.12285e-09,5.79067e-09,4.86047e-09,5.87239e-09,7.60076e-09,6.70645e-09,5.8746e-09,4.36322e-09,4.25595e-09,4.24517e-09,6.21685e-09
YKL041W,3.39253e-08,3.96336e-08,3.36389e-08,3.07685e-08,3.33737e-08,3.60189e-08,3.82058e-08,4.12767e-08,5.61513e-08,4.33099e-08,5.87117e-08,3.44306e-08,4.46536e-08,5.55996e-08,3.91219e-08,6.08076e-08,3.92267e-08,3.87752e-08,3.26691e-08,3.99735e-08,2.62943e-08,4.00796e-08,3.15752e-08,4.75544e-08,4.88142e-08,4.55709e-08,4.79968e-08,5.03529e-08,4.60925e-08,4.92127e-08,3.97288e-08,4.95604e-08,3.69951e-08,2.91442e-08,6.17666e-08,5.2975e-08,6.107e-08,3.7514e-08,3.12645e-08,2.68278e-08,2.76254e-08,4.35353e-08
YJL154C,5.67579e-08,4.8552e-08,4.02144e-08,3.99325e-08,4.26027e-08,3.8888e-08,4.57244e-08,4.64073e-08,4.58556e-08,4.37255e-08,4.56951e-08,4.87593e-08,4.83638e-08,5.08956e-08,7.69912e-08,9.0294e-08,9.02517e-08,8.04228e-08,3.7123e-08,4.71547e-08,2.8488e-08,4.99753e-08,4.94362e-08,5.7547e-08,5.14928e-08,6.67024e-08,5.37202e-08,7.41738e-08,5.66517e-08,6.51462e-08,4.55859e-08,6.48085e-08,3.97212e-08,5.43767e-08,4.27343e-08,5.92947e-08,4.67776e-08,5.61554e-08,4.91647e-08,3.90908e-08,4.15893e-08,2.60487e-08
YDR495C,2.59768e-09,2.81654e-09,2.45095e-09,2.26581e-09,2.60299e-09,2.22593e-09,2.41641e-09,3.13553e-09,3.0973e-09,3.42066e-09,3.1375e-09,2.22362e-09,3.36706e-09,3.40542e-09,2.76136e-09,3.44002e-09,3.48659e-09,3.58917e-09,2.12586e-09,2.35404e-09,1.71244e-09,2.63796e-09,1.84973e-09,2.93344e-09,3.16197e-09,4.72278e-09,4.04761e-09,3.88195e-09,2.84336e-09,3.54558e-09,2.41906e-09,2.88392e-09,2.22632e-09,2.49166e-09,2.63377e-09,3.84821e-09,2.01734e-09,2.68938e-09,2.02726e-09,2.01513e-09,2.43998e-09,1.73994e-09
YPR173C,7.34033e-08,7.33923e-08,7.5614e-08,6.88949e-08,6.6916e-08,7.29302e-08,7.31191e-08,9.26041e-08,1.01618e-07,8.73238e-08,1.23091e-07,6.35958e-08,1.04807e-07,9.3941e-08,9.7492e-08,1.37606e-07,1.13628e-07,9.73072e-08,5.9233e-08,7.15198e-08,5.67252e-08,8.93779e-08,8.19892e-08,9.30183e-08,9.23117e-08,1.21791e-07,7.73628e-08,1.17064e-07,1.09292e-07,9.09946e-08,6.11429e-08,8.79341e-08,5.81624e-08,6.44219e-08,1.32318e-07,1.13784e-07,1.01005e-07,8.30162e-08,5.57938e-08,5.67688e-08,6.4435e-08,8.56558e-08
YDR200C,4.37094e-09,4.27684e-09,3.41435e-09,4.23396e-09,3.22751e-09,4.10373e-09,3.84459e-09,5.18978e-09,4.37905e-09,3.57475e-09,4.85019e-09,4.19452e-09,3.69904e-09,4.10821e-09,4.95385e-09,5.06595e-09,5.8005e-09,6.91491e-09,4.42694e-09,5.03952e-09,2.15542e-09,4.70324e-09,4.44341e-09,5.13081e-09,5.54749e-09,7.53569e-09,5.96075e-09,6.37787e-09,5.31234e-09,5.6595e-09,4.93109e-09,5.04197e-09,4.47691e-09,5.32032e-09,5.02132e-09,4.43143e-09,4.6982e-09,5.04316e-09,4.54824e-09,3.55127e-09,4.07575e-09,2.73679e-09
YNL246W,1.53418e-07,1.48989e-07,1.19608e-07,1.30825e-07,1.3756e-07,1.39897e-07,1.56303e-07,1.73052e-07,1.75531e-07,1.34153e-07,1.79453e-07,1.53859e-07,1.16982e-07,1.80986e-07,2.53658e-07,2.8232e-07,2.97083e-07,2.53494e-07,1.51523e-07,1.85922e-07,8.69596e-08,1.73074e-07,1.54685e-07,2.02868e-07,2.23201e-07,2.45347e-07,2.0396e-07,2.20657e-07,1.92013e-07,2.16188e-07,1.6252e-07,2.26915e-07,1.60797e-07,1.953e-07,1.95389e-07,2.08514e-07,1.92142e-07,2.10128e-07,1.78323e-07,1.26319e-07,1.40197e-07,1.22575e-07
YJL012C,3.36183e-07,3.43688e-07,2.87832e-07,3.03871e-07,3.48408e-07,3.58359e-07,4.05517e-07,4.95592e-07,5.04176e-07,4.60736e-07,5.0985e-07,3.17577e-07,4.46694e-07,4.20023e-07,4.94107e-07,6.03052e-07,6.90958e-07,5.84555e-07,2.80788e-07,3.50188e-07,1.92925e-07,3.83419e-07,3.40837e-07,4.18107e-07,2.84641e-07,4.13116e-07,3.14904e-07,5.3429e-07,4.4e-07,4.59411e-07,3.26366e-07,4.52157e-07,2.92964e-07,2.86392e-07,4.60866e-07,5.37015e-07,5.05483e-07,2.86527e-07,2.51302e-07,2.74909e-07,2.8047e-07,2.87874e-07
