all_gene,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9
YLR363C,,,,,,,,,
YJR112W,,,,,,,,,
YOR206W,2.71E-07,3.16E-07,4.19E-07,4.56E-07,3.43E-07,4.03E-07,4.28E-07,3.83E-07,3.75E-07
YNR053C,1.61E-07,2.01E-07,3.45E-07,5.01E-07,4.37E-07,5.87E-07,6.30E-07,7.88E-07,7.72E-07
YER002W,3.09E-07,3.81E-07,6.34E-07,8.28E-07,7.02E-07,8.75E-07,9.17E-07,9.04E-07,8.78E-07
YDR432W,4.01E-06,4.05E-06,5.14E-06,5.91E-06,4.69E-06,5.19E-06,4.93E-06,5.47E-06,5.30E-06
YKL162C,,,,,,,,,
YOL042W,3.95E-07,2.98E-07,2.34E-07,3.03E-07,,,,,1.92E-07
YBR089C-A,2.19E-06,2.32E-06,2.68E-06,2.93E-06,1.93E-06,2.51E-06,1.67E-06,1.59E-06,1.37E-06
YIL164C,,,,,,,,,
YHR077C,3.97E-09,3.67E-09,,4.39E-09,2.32E-09,,3.13E-09,3.02E-09,
YOR056C,3.12E-07,3.43E-07,4.76E-07,5.50E-07,4.62E-07,5.72E-07,6.42E-07,5.94E-07,5.65E-07
YNL175C,4.94E-07,5.35E-07,8.36E-07,1.09E-06,9.29E-07,1.17E-06,1.24E-06,1.23E-06,1.23E-06
YNL110C,9.17E-07,9.95E-07,1.55E-06,1.88E-06,1.62E-06,1.95E-06,1.91E-06,1.88E-06,1.83E-06
YOL144W,,,,,,,,,
YER068W,9.53E-08,1.05E-07,1.37E-07,1.57E-07,1.41E-07,1.30E-07,1.52E-07,1.33E-07,1.11E-07
YOR209C,1.17E-06,1.14E-06,1.36E-06,1.51E-06,1.14E-06,1.27E-06,1.26E-06,1.38E-06,1.30E-06
YNL251C,4.62E-07,5.18E-07,7.09E-07,8.39E-07,6.13E-07,6.43E-07,6.59E-07,6.60E-07,6.11E-07
YNL129W,6.65E-08,,,,,,,,
YEL019C,,,,,,,,,
YML023C,,,,,,,,,
YHR133C,,,,,,,,,
YBR261C,3.88E-07,3.85E-07,4.86E-07,6.50E-07,4.87E-07,5.71E-07,5.25E-07,5.25E-07,5.77E-07
YPR031W,,,,,,,,,
YKL068W,1.41E-07,1.69E-07,2.18E-07,1.88E-07,1.27E-07,,,,1.51E-07
YIL115C,1.37E-07,1.38E-07,1.48E-07,1.64E-07,1.13E-07,1.37E-07,1.31E-07,1.26E-07,1.16E-07
YJL039C,2.84E-08,3.14E-08,2.21E-08,3.01E-08,2.59E-08,3.02E-08,2.28E-08,2.69E-08,2.96E-08
YKL067W,1.42E-05,1.66E-05,1.56E-05,1.71E-05,1.36E-05,1.56E-05,1.92E-05,1.68E-05,1.11E-05
YPL174C,,,,,,,,,
YJL126W,,,,,,,,,
YGR089W,,,,5.99E-09,,,,,
YKL151C,1.63E-06,1.38E-06,1.15E-06,9.07E-07,3.71E-07,2.49E-07,2.33E-07,2.30E-07,1.98E-07
YLR002C,7.28E-08,6.57E-08,1.11E-07,1.09E-07,7.17E-08,9.32E-08,9.99E-08,8.94E-08,8.43E-08
YPL093W,6.21E-07,8.01E-07,1.32E-06,1.74E-06,1.55E-06,1.92E-06,2.05E-06,2.43E-06,2.36E-06
YGR145W,8.68E-08,9.28E-08,1.17E-07,1.41E-07,1.18E-07,1.36E-07,1.48E-07,1.57E-07,1.63E-07
YHR072W-A,3.01E-06,2.84E-06,3.52E-06,4.07E-06,3.28E-06,3.90E-06,4.09E-06,4.14E-06,4.05E-06
YOL041C,2.98E-07,3.54E-07,4.88E-07,5.99E-07,5.07E-07,6.23E-07,6.23E-07,6.46E-07,6.29E-07
YPL043W,2.17E-07,1.91E-07,2.32E-07,2.55E-07,3.45E-07,3.20E-07,3.57E-07,3.78E-07,3.73E-07
YDL213C,2.93E-07,3.11E-07,4.77E-07,5.56E-07,4.98E-07,5.66E-07,5.51E-07,4.77E-07,4.69E-07
YNR009W,,,,,,,,,
YMR133W,,,,,,,,,
R0020C,4.53E-07,5.67E-07,6.67E-07,8.40E-07,7.08E-07,7.75E-07,8.99E-07,5.51E-07,7.75E-07
YAR007C,7.64E-07,7.81E-07,9.17E-07,1.00E-06,7.77E-07,8.37E-07,7.94E-07,7.51E-07,6.43E-07
YJL173C,1.17E-06,1.15E-06,1.18E-06,,7.73E-07,9.02E-07,9.68E-07,1.07E-06,
