all_gene,prot.1
YJR005W,4.35001E-06
YFR014C,3.65363E-06
YGR159C,0.000207237
YNR013C,5.42383E-05
YNR012W,4.84434E-06
YJL172W,6.52145E-05
YAR015W,0.000305044
YAR019C,8.65959E-07
YAR014C,6.09132E-06
YML010W,6.2154E-05
YGL119W,4.48406E-06
YGL035C,2.4611E-06
YLR148W,8.09915E-06
YDR483W,2.44053E-05
YOR099W,2.80906E-05
YGR029W,8.96522E-06
YEL061C,2.79139E-06
YNL137C,1.02312E-05
YGL070C,5.79902E-06
YNL113W,1.38812E-05
YAL032C,4.16325E-06
YAL033W,1.56854E-05
YHR089C,3.55978E-05
YMR267W,1.05696E-05
YER065C,0.008965533
YOR136W,0.000298558
YEL012W,3.0065E-06
YKL216W,0.000119052
YKL215C,2.90541E-05
YBL039C,9.78253E-05
YKL096W,9.10479E-06
YKL095W,1.21959E-06
YKL094W,1.06355E-05
YKL007W,1.65952E-05
YMR152W,8.5057E-06
YKL117W,7.08168E-05
YKL116C,3.32131E-06
YGR028W,5.37988E-06
YPL155C,2.91284E-06
YGL148W,0.000116161
YKL003C,2.24333E-07
YDL205C,1.39004E-05
YDR498C,5.3763E-06
YDR329C,7.00188E-06
YDR036C,2.77839E-05
YNL037C,0.000248275
YLR286C,1.28672E-05
YPR086W,1.65432E-05
YGR246C,1.02217E-06
YPL204W,1.94401E-05
YER177W,0.000667124
YBR200W,1.08784E-05
YLL045C,0.001663059
YBR023C,1.65286E-05
YKR002W,1.18044E-05
YBL023C,1.7252E-05
YML105C,1.19088E-05
YLR274W,1.40582E-05
YDR353W,0.000178742
YBR275C,9.13761E-06
YPL048W,0.000132916
YKL019W,8.17944E-06
YHR190W,8.96875E-05
YER003C,0.00011047
YPR120C,1.24411E-06
YMR271C,4.09009E-07
YDR497C,4.09005E-06
YOL103W,7.14168E-06
YDR164C,1.3269E-05
YOR317W,7.21756E-05
YPR103W,3.84248E-05
YFR050C,1.53122E-05
YPR019W,1.87405E-05
YMR080C,3.89344E-05
YGL143C,1.85036E-06
YGR218W,0.000105342
YKL016C,4.47769E-05
YNL117W,5.10025E-06
YAL030W,1.32476E-06
YFL001W,4.10039E-06
YJR139C,0.000481632
YBR114W,1.94135E-06
YGR220C,1.29548E-05
YAL012W,0.00067824
YAL017W,6.45174E-06
YAL011W,4.83586E-06
YAL014C,2.03159E-06
YAL015C,9.5004E-07
YAL019W,1.52941E-05
YAL022C,2.97266E-06
YAL023C,0.000190489
YAL016W,4.76551E-05
YAL021C,3.05987E-05
YAL013W,3.4015E-06
YKL080W,0.00013835
YLL026W,0.000177113
YDR074W,2.63957E-05
