all_gene,prot.1,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17,prot.18,prot.19,prot.2,prot.20,prot.21,prot.22,prot.23,prot.24,prot.25,prot.26,prot.27,prot.28,prot.29,prot.3,prot.30,prot.31,prot.32,prot.33,prot.34,prot.35,prot.36,prot.37,prot.38,prot.39,prot.4,prot.40,prot.41,prot.42,prot.5,prot.6,prot.7,prot.8,prot.9
YBL007C,1.39988E-07,1.94489E-07,1.59431E-07,1.46268E-07,1.48182E-07,1.49391E-07,1.72966E-07,1.87979E-07,2.05722E-07,1.622E-07,1.81685E-07,1.35576E-07,1.76237E-07,2.14678E-07,2.10024E-07,2.52086E-07,2.55964E-07,2.06038E-07,1.1941E-07,1.53783E-07,1.11481E-07,1.87721E-07,1.47769E-07,1.90536E-07,1.6174E-07,2.12149E-07,1.79473E-07,2.42026E-07,2.06662E-07,1.97762E-07,1.44726E-07,1.75443E-07,1.3689E-07,1.67149E-07,2.1835E-07,2.47205E-07,2.19802E-07,1.80799E-07,1.29587E-07,1.17094E-07,1.17127E-07,1.77356E-07
YLL026W,2.31217E-05,1.38308E-05,1.12244E-05,1.18805E-05,8.46252E-06,8.17826E-06,8.76331E-06,8.54836E-06,7.92795E-06,6.86734E-06,7.79969E-06,2.34468E-05,7.11387E-06,8.0666E-06,2.5985E-05,2.63112E-05,2.8612E-05,2.90747E-05,1.86049E-05,2.22031E-05,9.37686E-06,1.74308E-05,2.12556E-05,1.61716E-05,1.16889E-05,1.36568E-05,1.11692E-05,2.04487E-05,1.8319E-05,1.72899E-05,1.89526E-05,2.17629E-05,2.31568E-05,1.88354E-05,2.56305E-05,2.87956E-05,2.63695E-05,1.87855E-05,1.65789E-05,1.03329E-05,1.35225E-05,1.3235E-05
YOL082W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGL079W,3.00851E-08,0,3.57301E-08,3.26922E-08,3.90548E-08,3.36765E-08,2.8883E-08,5.0125E-08,5.3732E-08,0,7.09592E-08,3.91162E-08,0,6.85109E-08,1.00949E-07,4.44525E-08,7.38837E-08,7.26135E-08,0,4.55895E-08,2.33941E-08,5.37703E-08,4.07851E-08,4.16588E-08,5.71306E-08,8.4508E-08,0,5.91285E-08,6.84309E-08,0,4.68622E-08,4.25544E-08,4.51795E-08,5.36733E-08,7.88337E-08,0,6.49354E-08,4.7767E-08,3.19355E-08,0,3.32246E-08,2.69878E-08
YLR260W,2.79985E-09,3.26479E-09,2.75873E-09,3.07577E-09,3.1253E-09,3.11571E-09,3.52675E-09,4.25188E-09,4.08678E-09,3.76598E-09,4.41266E-09,2.8596E-09,4.09177E-09,4.62663E-09,5.22481E-09,6.65003E-09,1.09678E-08,8.59803E-09,3.86457E-09,4.5638E-09,2.14568E-09,3.99914E-09,3.19886E-09,4.43057E-09,4.4055E-09,6.87447E-09,5.37987E-09,5.45707E-09,4.59372E-09,4.61809E-09,4.63633E-09,4.91198E-09,4.25197E-09,4.8993E-09,3.94201E-09,5.70112E-09,5.18063E-09,4.11686E-09,4.14073E-09,2.3288E-09,2.98309E-09,5.22881E-09
YDR499W,8.15499E-10,0,0,6.96934E-10,7.48519E-10,7.23302E-10,0,1.04669E-09,9.22957E-10,0,8.06284E-10,7.57004E-10,0,0,1.29589E-09,3.24005E-09,1.49936E-09,1.27794E-09,0,0,4.88136E-10,1.07661E-09,5.92018E-10,0,1.50859E-09,1.65161E-09,0,1.28806E-09,1.17596E-09,0,9.79877E-10,1.56393E-09,8.468E-10,1.30393E-09,1.08217E-09,0,0,1.53478E-09,0,0,0,4.72456E-10
YLR104W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL146W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YHR002W,4.63003E-09,6.12819E-09,4.56482E-09,5.33611E-09,5.83637E-09,4.69241E-09,5.67988E-09,6.98215E-09,6.9867E-09,6.27894E-09,6.13571E-09,4.96316E-09,6.39034E-09,7.27853E-09,1.16589E-08,1.42683E-08,1.44974E-08,1.30591E-08,6.03977E-09,7.7471E-09,3.58712E-09,7.26265E-09,5.06491E-09,6.76664E-09,1.03817E-08,1.53659E-08,1.18375E-08,9.05145E-09,8.25849E-09,8.50625E-09,6.88395E-09,9.95224E-09,7.00818E-09,7.81017E-09,7.81768E-09,8.19075E-09,6.41237E-09,8.51499E-09,7.63018E-09,4.46028E-09,4.34631E-09,3.44394E-09
YPL055C,1.26673E-09,1.57806E-09,1.39918E-09,1.51775E-09,1.7203E-09,2.33408E-09,1.70817E-09,2.56546E-09,3.39899E-09,2.20988E-09,2.65702E-09,1.0984E-09,2.21821E-09,2.4763E-09,1.53348E-09,1.92845E-09,5.23672E-11,9.10896E-10,1.4945E-09,1.7366E-09,7.51317E-10,1.20465E-09,1.80595E-09,1.35338E-09,1.38647E-09,1.24544E-09,2.05773E-09,1.81848E-09,1.40194E-09,1.37114E-09,1.25922E-09,1.71303E-09,1.04729E-09,1.72193E-09,3.42902E-10,1.6057E-09,1.73131E-09,1.83744E-09,1.59673E-09,1.08084E-09,1.24751E-09,2.37246E-09
