criteria,pearson,p value,number,extra,rmse
4.034782858813478,0.46544894693820704,6.793800556694592e-14,274.5625,63.0625,13.85115326097263
4.075989967881827,0.4387817293762368,2.2215301276414742e-10,273.3125,64.75,13.984805686111098
4.053468633600924,0.4726880474248713,8.489519044369526e-14,280.3125,64.1875,14.110254774030077
4.0989641662719185,0.465969839691347,7.800682420441946e-15,279.125,69.625,13.85115326097263
4.000664467269045,0.4680775426900894,4.704318665302517e-15,276.875,64.375,14.151487112091631
4.306873053877357,0.4085494497405736,9.692714870065663e-10,260.6875,68.4375,13.852350089049276
3.98883917753768,0.47360936596395253,1.2740618725304259e-15,268.9375,61.3125,14.112222713339026
4.0020914303447315,0.4734744126011155,7.04890331833854e-13,280.25,64.3125,13.85115326097263
4.031973157234109,0.4790469645649928,1.8044478416907106e-14,268.9375,63.25,13.85115326097263
4.385725128512126,0.43755155892016384,1.1303981781491345e-11,265.625,75.4375,13.923655857380032
4.483432977215184,0.4168625506042176,2.3941900707181368e-09,267.1875,75.875,13.852350089049274
4.177847761462074,0.43723130974280294,4.58733363500411e-12,272.0625,68.4375,13.791842265044348
3.9772012391961207,0.4737928632999264,6.218011121637477e-15,272.25,61.8125,13.85115326097263
4.01324061881828,0.4441263523632139,7.906696521092678e-13,277.0625,64.5625,13.85115326097263
3.9237882974537888,0.47483532965879727,1.2135028091355108e-15,269.8125,60.5,14.118055211322751
4.570769802885244,0.43773641595492535,4.023439571043584e-12,269.0,80.125,14.146131621428767
3.96798782329032,0.45824639928230815,2.567960605663636e-14,276.5625,64.875,14.111860691789644
3.942881038789696,0.45353086650062274,1.5713870363739155e-13,275.5,63.4375,13.85115326097263
4.678549871336103,0.4031125640480843,1.7643454215645527e-10,258.625,79.8125,14.112222713339026
3.9723451465720734,0.47269178251402866,2.320794534692098e-15,277.1875,64.1875,13.85115326097263
3.983917982535816,0.46185906882691674,3.037456457993334e-14,272.0625,63.4375,13.85115326097263
4.032462754249972,0.4788951466302337,5.024935457247888e-14,279.25,67.8125,13.85115326097263
4.056531968359987,0.4667704028128596,1.9520210494136948e-14,278.1875,64.625,14.15396638297006
4.183494472045976,0.43828715850735595,1.8583210483068105e-11,263.25,66.4375,13.984805686111098
4.046214227101351,0.4508364390415357,1.5541419867478963e-13,276.625,66.625,14.156199989348666
4.085751496605982,0.4411316189789852,1.4749289306820095e-11,274.5,67.0,14.150599343327638
3.8674757516872886,0.4593466576971054,8.919491928720783e-15,273.25,60.0,14.157205579876493
3.964572223707392,0.4668109857719733,2.1602123551643635e-13,280.125,63.0625,14.157205579876488
3.9656097571982927,0.4877803955684019,2.230533846033534e-15,278.8125,64.375,14.110254774030077
4.5090845281526954,0.4252635151310053,3.799020127442198e-11,267.0625,78.5,14.112222713339028
4.455246307009015,0.41277401387816853,2.2371397195501005e-11,263.5625,76.1875,14.08798069117004
4.187939307927476,0.4556378657461948,1.824522939256517e-13,277.25,69.75,13.85115326097263
4.009675530728132,0.4532987685697558,1.5714320508447122e-13,277.0,66.375,13.854432170530051
3.9543596483652217,0.461967731223888,3.3490199092104256e-14,269.0,59.0625,14.137444766146452
4.107534127456433,0.4802347162971444,1.1517599193504284e-14,271.6875,65.625,13.889479173666412
4.444194854643658,0.4162002844333509,1.3740926559442468e-10,272.6875,76.6875,14.08798069117004
4.226306441841029,0.431842667789379,7.404344505419505e-13,267.75,67.75,14.157205579876493
3.9702303187142367,0.45873023476773706,1.622953249087807e-13,267.0625,62.6875,13.85115326097263
4.097160690697427,0.44353905037375024,1.3780891120038808e-10,275.5625,65.75,14.139715351018712
4.094814086189604,0.42858026321515375,1.0503660543474919e-10,275.3125,67.5,13.717737715869264
3.897226009773008,0.4814796351380314,3.9575409614438294e-16,272.4375,61.6875,14.146131621428767
4.060879904154012,0.49167584251170826,2.463504095576672e-13,267.3125,65.25,13.984805686111098
4.203160020506317,0.4540380531765515,5.014247936116161e-13,269.25,69.0625,13.936832650333828
4.11663734837853,0.43188062742617533,8.855680100104889e-12,266.25,67.5,14.134512629172187
3.970037942617592,0.4468319590185629,2.078323748344105e-11,273.1875,64.8125,13.85115326097263
4.173988846116788,0.45390959346507986,9.887659562800375e-14,272.9375,72.75,14.15095582073228
4.032383684194639,0.4598624034378647,1.14184364241845e-13,273.625,62.875,14.10607515663319
4.006064317721668,0.44422135550700054,2.9971159938801333e-13,274.1875,64.625,14.15272136417877
4.009892458247343,0.4510104097096914,7.32384036820847e-14,280.9375,63.8125,13.984805686111098
4.04380661995154,0.4394472916764784,3.0896027136226616e-11,264.75,64.1875,14.152721364178772
3.974667620572876,0.44837642429667146,6.139652283955994e-12,271.5,64.375,13.984805686111097
4.04941141448778,0.45273081523472974,1.2585549031972406e-13,278.0625,67.625,13.930011386981628
4.281902458229244,0.41695710759279286,2.4264170947248817e-07,269.9375,70.75,13.85115326097263
4.003706656577929,0.46336930455851544,5.024849844371582e-13,270.75,64.125,14.153146823557522
3.9977727945702406,0.47625309590433457,7.994170481210948e-14,266.875,65.0,14.110254774030077
4.3097392797119864,0.4418137511214162,4.845630739843557e-11,263.0625,70.375,14.108465788455872
3.9758409224977136,0.49573334833337823,1.4558232105254227e-14,269.5,63.25,13.984805686111098
4.283568224531953,0.4147442299359874,1.0587367048818039e-10,280.875,72.5,13.981477070353304
3.8874456384080007,0.46028805945488127,2.9239266732832624e-13,276.4375,61.375,14.157205579876493
3.955604209267856,0.46754465565402714,1.1635244120381534e-13,265.3125,64.25,14.108581782232225
4.073785907736647,0.44917897047093575,1.2186046159021665e-12,275.625,67.9375,13.984805686111098
3.951649186310751,0.469580537141386,9.43126592057437e-15,269.5,61.125,14.112222713339026
4.191568862486905,0.44298601779331753,3.1245156973947605e-09,261.8125,70.25,14.14017983185219
4.135078270021059,0.45794377093541583,1.0100934074242878e-12,269.625,67.1875,14.112222713339026
4.144325174811556,0.45885570338971565,1.6476822139521496e-14,274.0,68.375,14.111059163330069
4.039464035654473,0.46178201405003894,3.175139952704882e-12,274.0,67.625,14.112597269223947
4.091563630014673,0.4747488143906242,2.4170107101354454e-13,267.6875,64.3125,14.1511404242989
4.126417410891803,0.4821676567139624,1.876248321256613e-12,275.4375,67.25,14.153155362018026
3.9181311090529714,0.4887586990337085,9.436936597454363e-16,270.3125,60.5,13.92940281865307
3.920265832314201,0.4732154182146516,3.266182086612642e-15,270.4375,62.0625,14.108581782232225
4.063261292469967,0.4534448456209983,1.3632166387974702e-12,273.3125,64.6875,14.153155362018026
4.051433898515892,0.4636750284535851,7.52658814608968e-13,270.1875,63.5625,13.85115326097263
3.8775894581453985,0.48377517947432463,3.3547936213344937e-17,280.0625,62.5625,13.851478380922476
4.0566382457927395,0.4602183147952056,4.0329738394351964e-14,269.375,64.75,14.114434892338885
3.9323125675478927,0.4819114192687928,4.471842321211212e-14,278.625,63.1875,13.984805686111098
3.9952086765569663,0.4588725028462042,6.932927459408633e-12,276.8125,64.6875,14.14995738700381
4.3157858621257414,0.4440436616879538,1.3924543322098252e-11,267.625,72.5,14.111318811273582
4.093757955838863,0.4720459878776263,2.7685606693767576e-12,265.75,65.25,14.114565208532897
4.015974703804694,0.4552739398956268,5.3046469477014815e-14,272.4375,63.875,13.854432170530051
3.989296426125671,0.4634671457543658,1.5618065630907503e-13,273.75,61.875,14.110595180313124
3.986558803219937,0.45725190135525623,3.919095800997641e-14,277.0625,63.375,14.157205579876488
4.055016657465768,0.4818009732031782,7.115190476951668e-15,269.625,65.8125,13.851478380922476
4.472855271789553,0.4167283867010293,1.3712636763028092e-11,280.5625,80.75,13.905341826649776
4.0594313828987225,0.4695278630619893,7.552204753477498e-12,277.5625,68.125,14.100587464084116
4.185373503632176,0.46259400383737126,6.203126118449852e-14,271.25,70.4375,14.143516793513632
4.143778591105996,0.4701255246961694,2.054002716627506e-12,282.4375,69.5,14.111318811273588
