NAME,ENTRY
YJL052W,P00360
YJL060W,P47039
YJL068C,P40363
YJL071W,P40360
YJL088W,P05150
YJL091C,P47026
YJL097W,P40857
YJL100W,P42951
YJL101C,P32477
YJL121C,P46969
YJL126W,P47016
YJL129C,P12685
YJL130C,P07259
YJL133W,P10566
YJL134W,P47013
YJL137C,P47011
YJL139C,P26725
YJL153C,P11986
YJL155C,P32604
YJL166W,P08525
YJL167W,P08524
YJL168C,P46995
YJL196C,P39540
YJL198W,P39535
YJL200C,P39533
YJL212C,P40897
YJL214W,P40886
YJL216C,P40884
YJL219W,P40885
YJL221C,P0CW41
YJR001W,P47082
YJR009C,P00358
YJR010W,P08536
YJR013W,P47088
YJR016C,P39522
YJR019C,P41903
YJR024C,P47095
YJR025C,P47096
YJR040W,P37020
YJR048W,P00044
YJR049C,P21373
YJR051W,P21375
YJR057W,P00572
YJR069C,P47119
YJR073C,P05375
YJR077C,P23641
YJR078W,P47125
YJR095W,P33303
YJR103W,P38627
YJR104C,P00445
YJR105W,P47143
YJR109C,P03965
YJR110W,P47147
YJR121W,P00830
YJR130C,P47164
YJR131W,P32906
YJR133W,P47165
YJR137C,P47169
YJR139C,P31116
YJR143C,P46971
YJR148W,P47176
YJR149W,P47177
YJR152W,P15365
YJR153W,P47180
YJR155W,P47182
YJR158W,P47185
YJR159W,P35497
YJR160C,P0CE00
YKL001C,Q02196
YKL004W,P36107
YKL008C,P28496
YKL016C,P30902
YKL019W,P29703
YKL024C,P15700
YKL026C,P36014
YKL029C,P36013
YKL035W,P32861
YKL055C,P35731
YKL060C,P14540
YKL067W,P36010
YKL069W,P36088
YKL080W,P31412
YKL085W,P17505
YKL087C,Q00873
YKL088W,P36076
YKL094W,P28321
YKL103C,P14904
YKL104C,P14742
YKL106W,Q01802
YKL120W,P32332
YKL127W,P33401
YKL132C,P36001
YKL140W,P34163
YKL141W,P33421
YKL146W,P36062
YKL148C,Q00711
YKL150W,P36060
YKL152C,P00950
YKL165C,P36051
YKL174C,P36029
YKL181W,P32895
YKL182W,P07149
YKL184W,P08432
YKL188C,P34230
YKL192C,P32463
YKL194C,P07236
YKL211C,P00937
YKL212W,P32368
YKL215C,P28273
YKL216W,P28272
YKL217W,P36035
YKL218C,P36007
YKL220C,P36033
YKR009C,Q02207
YKR031C,P36126
YKR039W,P19145
YKR043C,P36136
YKR052C,P23500
YKR053C,P23501
YKR058W,P36143
YKR061W,P33550
YKR066C,P00431
YKR067W,P36148
YKR069W,P36150
YKR072C,P36024
YKR076W,P36156
YKR080W,Q02046
YKR089C,P36165
YKR093W,P32901
YKR097W,P10963
YLL001W,P54861
YLL012W,Q07804
YLL015W,P14772
YLL018C,P04802
YLL018C-A,Q3E731
YLL028W,Q07824
YLL031C,Q07830
YLL041C,P21801
YLL043W,P23900
YLL048C,P32386
YLL051C,Q12473
YLL052C,P0CD90
YLL053C,P0CD98
YLL057C,Q12358
YLL058W,Q12198
YLL060C,Q12390
YLL061W,Q12372
YLL062C,Q12525
YLR011W,Q07923
YLR017W,Q07938
YLR020C,Q07950
YLR027C,P23542
YLR028C,P54113
YLR038C,Q01519
YLR043C,P22217
YLR044C,P06169
YLR047C,Q12209
YLR056W,P32353
YLR057W,Q12205
YLR058C,P37291
YLR060W,P15624
YLR070C,Q07993
YLR081W,P13181
YLR089C,P52893
YLR092W,Q12325
YLR099C,Q12385
YLR100W,Q12452
YLR109W,P38013
YLR130C,Q12436
YLR133W,P20485
YLR134W,P16467
YLR138W,Q99271
YLR142W,P09368
YLR143W,Q12429
YLR146C,Q12455
YLR151C,Q12524
YLR153C,P52910
YLR155C,P0CZ17
YLR157C,P0CX77
YLR158C,P0CX78
YLR160C,P0CX79
YLR164W,Q06236
YLR172C,P32469
YLR174W,P41939
YLR180W,P10659
YLR189C,Q06321
YLR201C,Q05779
YLR209C,Q05788
YLR211C,Q05789
YLR214W,P32791
YLR231C,Q05979
YLR237W,Q05998
YLR239C,Q06005
YLR240W,P22543
YLR244C,Q01662
YLR245C,Q06549
YLR258W,P27472
YLR260W,Q06147
YLR284C,Q05871
YLR285W,Q05874
YLR286C,P29029
YLR295C,Q12349
YLR299W,Q05902
YLR300W,P23776
YLR303W,P06106
YLR304C,P19414
YLR305C,P37297
YLR307W,Q06702
YLR308W,Q06703
YLR328W,Q06178
YLR342W,P38631
YLR345W,Q06137
YLR348C,Q06143
YLR350W,Q06144
YLR351C,P49954
YLR354C,P15019
YLR355C,P06168
YLR359W,Q05911
YLR360W,Q05919
YLR372W,P40319
YLR377C,P09201
YLR382C,P11325
YLR386W,Q06708
YLR395C,P04039
YLR410W,Q06685
YLR420W,P20051
YLR432W,P50095
YLR438W,P07991
YLR446W,Q06204
YLR447C,P32366
YLR450W,P12684
YML004C,P50107
YML008C,P25087
YML022W,P49435
YML035C,P15274
YML042W,P32796
YML054C,P00175
YML056C,P50094
YML059C,Q04958
YML070W,P54838
YML075C,P12683
YML081C-A,P81450
YML082W,Q04533
YML086C,P54783
YML100W,P38427
YML106W,P13298
YML110C,P49017
YML120C,P32340
YML123C,P25297
YML125C,Q12746
YML126C,P54839
YMR006C,Q03674
YMR008C,P39105
YMR009W,Q03677
YMR011W,P23585
YMR013C,P20048
YMR015C,P54781
YMR020W,P50264
YMR041C,Q04212
YMR054W,P37296
YMR056C,P04710
YMR058W,P38993
YMR062C,Q04728
YMR083W,P07246
YMR084W,A2P2R3
YMR087W,Q04299
YMR088C,Q04301
YMR099C,Q03161
YMR101C,Q03175
YMR105C,P37012
YMR108W,P07342
YMR110C,Q04458
YMR113W,Q12676
YMR120C,P38009
YMR145C,P40215
YMR162C,Q12674
YMR165C,P32567
YMR169C,P54114
YMR170C,P47771
YMR189W,P49095
YMR202W,P32352
YMR205C,P16862
YMR207C,P32874
YMR208W,P07277
YMR210W,Q03649
YMR217W,P38625
YMR220W,P24521
YMR226C,Q05016
YMR241W,Q04013
YMR243C,P20107
YMR246W,P47912
YMR250W,Q04792
YMR251W,Q05827
YMR256C,P10174
YMR261C,P38426
YMR267W,P28239
YMR271C,P30402
YMR272C,Q03529
YMR278W,Q03262
YMR281W,P23797
YMR289W,Q03266
YMR293C,Q03557
YMR296C,P25045
YMR298W,Q03579
YMR300C,P04046
YMR301C,P40416
YMR303C,P00331
YMR306W,Q04952
YMR313C,P40308
YMR318C,Q04894
YMR319C,P40988
YMR322C,Q04902
YMR323W,P42222
YNL003C,P38921
YNL009W,P53982
YNL029C,P53966
YNL036W,P53615
YNL037C,P28834
YNL038W,P53961
YNL045W,Q10740
YNL048W,P53954
YNL052W,P00424
YNL054W,P53950
YNL065W,P53943
YNL071W,P12695
YNL073W,P32048
YNL092W,P53934
YNL101W,P50944
YNL104C,P06208
YNL106C,P50942
YNL117W,P30952
YNL129W,P53915
YNL130C,P17898
YNL141W,P53909
YNL142W,P41948
YNL169C,P39006
YNL191W,P53871
YNL192W,P08004
YNL202W,P32573
YNL219C,P53868
YNL220W,P80210
YNL229C,P23202
YNL241C,P11412
YNL247W,P53852
YNL256W,P53848
YNL267W,P39104
YNL268W,P32487
YNL270C,P38971
YNL274C,P53839
YNL275W,P53838
YNL277W,P08465
YNL280C,P32462
YNL292W,P48567
YNL316C,P32452
YNL318C,P42833
YNL325C,P42837
YNL331C,P42884
YNL333W,P53824
YNL334C,P53823
YNL335W,P0CH64
YNR001C,P00890
YNR008W,P40345
YNR012W,P27515
YNR013C,P27514
YNR016C,Q00955
YNR019W,P53629
YNR027W,P53727
YNR030W,P53730
YNR033W,P37254
YNR041C,P32378
YNR043W,P32377
YNR050C,P38999
YNR056C,P53744
YNR057C,P53630
YNR058W,P50277
YNR060W,P53746
YNR067C,P53753
YNR072W,P53631
YNR073C,P0CX09
YOL011W,Q08108
YOL020W,P38967
YOL033W,P48525
YOL049W,Q08220
YOL052C,P21182
YOL055C,Q08224
YOL058W,P22768
YOL059W,P41911
YOL061W,Q12265
YOL064C,P32179
YOL065C,Q08227
YOL066C,Q12362
YOL068C,P53685
YOL075C,Q08234
YOL077W-A,P81451
YOL086C,P00330
YOL092W,Q12010
YOL096C,P27680
YOL097C,Q12109
YOL103W,P30606
YOL122C,P38925
YOL126C,P22133
YOL130W,Q08269
YOL136C,Q12471
YOL140W,P18544
YOL143C,P50861
YOL151W,Q12068
YOL152W,Q12333
YOL156W,P54862
YOL157C,Q08295
YOL165C,Q08361
YOR002W,Q12001
YOR011W,Q08409
YOR025W,P53687
YOR040W,Q12320
YOR054C,Q08438
YOR065W,P07143
YOR067C,P40351
YOR071C,Q08485
YOR074C,P06785
YOR081C,Q12043
YOR095C,Q12189
YOR099W,P27810
YOR100C,Q12289
YOR108W,Q12166
YOR109W,Q12271
YOR120W,P14065
YOR125C,P41735
YOR126C,P41734
YOR128C,P21264
YOR130C,Q12375
YOR136W,P28241
YOR142W,P53598
YOR143C,P35202
YOR149C,Q04174
YOR155C,Q99312
YOR161C,Q12412
YOR163W,Q99321
YOR168W,P13188
YOR171C,Q12246
YOR175C,Q08548
YOR176W,P16622
YOR180C,Q08558
YOR184W,P33330
YOR190W,P32603
YOR192C,Q08579
YOR196C,P32875
YOR202W,P06633
YOR209C,P39683
YOR221C,Q12283
YOR222W,Q99297
YOR226C,Q12056
YOR236W,P07807
YOR241W,Q08645
YOR245C,Q08650
YOR251C,Q08686
YOR253W,Q08689
YOR270C,P32563
YOR273C,Q12256
YOR278W,P06174
YOR283W,Q12040
YOR285W,Q12305
YOR286W,Q08742
YOR303W,P07258
YOR306C,Q08777
YOR311C,Q12382
YOR316C,P32798
YOR317W,P30624
YOR321W,P47190
YOR323C,P54885
YOR332W,P22203
YOR334W,Q01926
YOR335C,P40825
YOR347C,P52489
YOR348C,P15380
YOR360C,P06776
YOR374W,P46367
YOR375C,P07262
YOR377W,P40353
YOR381W,Q08905
YOR384W,Q08908
YOR388C,Q08911
YOR391C,Q08914
YOR393W,P0CX10
YPL015C,P53686
YPL023C,P46151
YPL028W,P41338
YPL036W,P19657
YPL040C,P48526
YPL053C,P54070
YPL057C,P33300
YPL059W,Q02784
YPL060W,Q02783
YPL061W,P54115
YPL069C,Q12051
YPL076W,P46961
YPL078C,P05626
YPL087W,Q02896
YPL088W,Q02895
YPL091W,P41921
YPL092W,P41930
YPL095C,Q02891
YPL096C-A,P62651
YPL097W,P48527
YPL104W,P15179
YPL110C,Q02979
YPL111W,P00812
YPL117C,P15496
YPL120W,Q02948
YPL132W,P19516
YPL134C,Q03028
YPL135W,Q03020
YPL147W,P41909
YPL148C,Q12036
YPL160W,P26637
YPL172C,P21592
YPL175W,P32363
YPL188W,Q06892
YPL189W,Q08929
YPL206C,Q08959
YPL212C,Q12211
YPL214C,P41835
YPL227C,P40350
YPL231W,P19097
YPL234C,P32842
YPL244C,Q12520
YPL252C,Q12184
YPL258C,Q08975
YPL262W,P08417
YPL265W,P53388
YPL268W,P32383
YPL271W,P21306
YPL273W,Q08985
YPL274W,Q08986
YPL280W,Q08992
YPL281C,P0CX11
YPR001W,P43635
YPR002W,Q12428
YPR003C,P53394
YPR006C,Q12031
YPR011C,Q12251
YPR020W,Q12233
YPR021C,Q12482
YPR026W,P48016
YPR033C,P07263
YPR035W,P32288
YPR036W,P41807
YPR047W,P08425
YPR058W,P32331
YPR060C,P32178
YPR062W,Q12178
YPR069C,Q12074
YPR074C,P23254
YPR081C,Q06817
YPR113W,P06197
YPR118W,Q06489
YPR121W,Q06490
YPR127W,Q06494
YPR128C,Q06497
YPR138C,P53390
YPR139C,Q06508
YPR140W,Q06510
YPR145W,P49089
YPR156C,Q06451
YPR159W,P32486
YPR160W,P06738
YPR165W,P06780
YPR167C,P18408
YPR170W-B,P0C5R9
YPR183W,P14020
YPR184W,Q06625
YPR191W,P07257
YPR192W,P0CD91
YPR193C,Q06592
